date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.05221128,0.5638004138
2000-01-04,999.9,1031.69,986.31,1021.14,0.12483149,1.268890863
2000-01-05,1020.25,1049.13,1007.36,1030.9,0.21866313,2.3435531894
2000-01-06,1024.5,1061.54,1010.55,1058.15,0.23174386,2.6133515327000003
2000-01-07,1065.23,1122.41,1057.7,1104.81,0.35406648,4.285721167799999
2000-01-10,1113.91,1155.67,1083.17,1137.3,0.34936737,4.2219031104
2000-01-11,1137.63,1140.97,1064.52,1074.48,0.20589156,2.4699882491
2000-01-12,1065.67,1083.96,1030.09,1040.0,0.1635776,1.7974843015000002
2000-01-13,1040.38,1054.61,1021.8,1032.77,0.10702744,1.0893749823999999
2000-01-14,1032.82,1047.73,1015.26,1023.88,0.08374437,0.8734340046
2000-01-17,1020.41,1049.24,1005.3,1039.96,0.1028868,1.1097374648
2000-01-18,1042.43,1072.21,1025.56,1052.7,0.1421844,1.7240966728
2000-01-19,1054.1,1092.42,1045.06,1072.65,0.24720594,3.2543054338
2000-01-20,1074.72,1102.42,1054.44,1078.87,0.23877254,2.9360266107
2000-01-21,1084.02,1108.72,1056.58,1078.53,0.31326427,3.8877090932
2000-01-24,1081.22,1122.32,1057.12,1112.39,0.39314559,5.0094677154000005
2000-01-25,1117.8,1153.68,1086.3,1114.59,0.36951384,4.5585783711
2000-01-26,1113.51,1146.2,1095.06,1121.57,0.22963953,3.0111921238
2000-01-27,1125.39,1156.05,1099.61,1122.74,0.25377991,3.2619598858999996
2000-01-28,1125.0,1178.69,1105.84,1157.56,0.34657567,4.8127246427
2000-02-14,1200.67,1268.98,1179.71,1261.27,0.45818331,6.6082634403
2000-02-15,1274.96,1336.88,1206.74,1239.53,0.52926886,7.859908174400001
2000-02-16,1237.43,1286.72,1185.99,1230.16,0.41383821,6.0577751525
2000-02-17,1236.82,1300.35,1169.89,1201.81,0.60180182,8.0568883063
2000-02-18,1181.99,1237.55,1139.22,1196.89,0.36644559,5.0640264693
2000-02-21,1204.57,1267.42,1170.55,1232.7,0.41413686,5.7098173680999995
2000-02-22,1237.56,1264.4,1159.49,1170.17,0.28997739,3.7931060558
2000-02-23,1158.7,1209.78,1138.48,1183.4,0.38656548,4.7184657408
2000-02-24,1184.05,1234.03,1170.47,1216.2,0.46000354,5.6921448391
2000-02-25,1218.29,1235.68,1178.77,1194.31,0.26726089,3.5979433463999997
2000-02-28,1195.28,1252.96,1177.8,1230.02,0.36680067,5.284287248
2000-02-29,1252.75,1281.66,1204.06,1247.98,0.37955092,5.3329205881
