date,open,high,low,close,volume,amount
2021-12-13,1808.47,1826.47,1783.15,1800.34,1.30901149,11.1323804377
2021-12-14,1794.78,1807.28,1772.75,1789.41,1.02739757,8.3378600702
2021-12-15,1785.22,1820.21,1769.77,1794.16,1.33191285,10.9251666016
2021-12-16,1797.59,1820.06,1777.95,1796.38,1.46055115,9.8714054087
2021-12-17,1802.67,1812.06,1760.66,1772.33,1.44463948,12.3236642471
2021-12-20,1764.74,1795.09,1737.63,1758.0,1.74268878,12.6422099578
2021-12-21,1752.06,1814.98,1744.81,1801.76,2.06880521,13.026732170799999
2021-12-22,1802.52,1818.55,1764.91,1780.26,1.79745649,20.940289340699998
2021-12-23,1775.37,1788.71,1743.39,1750.88,1.28705687,14.010565525499999
2021-12-24,1751.03,1766.35,1704.74,1728.16,1.45570571,17.0578325591
2021-12-27,1732.15,1769.89,1718.0,1753.5,1.32164222,14.081433688299999
2021-12-28,1757.18,1777.48,1734.76,1749.31,1.37884504,12.3858175747
2021-12-29,1753.93,1783.02,1721.2,1750.96,1.93139148,15.6874411821
2021-12-30,1747.09,1789.09,1725.42,1761.81,1.93022262,20.4039170181
2021-12-31,1773.12,1803.66,1744.38,1777.23,2.08462456,18.8614373944
2022-01-04,1775.74,1838.59,1757.99,1812.0,2.35237432,21.4274649723
2022-01-05,1808.08,1872.48,1781.13,1845.96,3.60396288,28.575946563200002
2022-01-06,1844.99,1891.06,1804.39,1847.07,3.92386653,29.114689268000003
2022-01-07,1840.79,1868.06,1803.41,1814.13,2.6271632,22.0372613663
2022-01-10,1818.25,1858.75,1787.4,1834.22,1.76469018,19.944136875999998
2022-01-11,1837.01,1879.75,1824.17,1853.22,2.84880393,21.4426054941
2022-01-12,1858.43,1887.66,1818.59,1850.78,3.05084583,23.6488864385
2022-01-13,1847.0,1885.64,1817.96,1844.57,2.98786148,20.2521069729
2022-01-14,1840.37,1859.95,1802.18,1814.29,1.99300652,18.8230204231
2022-01-17,1809.64,1834.46,1786.31,1812.03,1.85871632,14.2263914424
2022-01-18,1812.46,1829.57,1763.14,1778.34,1.97527873,14.443617160499999
