date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.01223844,0.1320685584
2000-01-04,1005.31,1033.15,988.97,1026.7,0.02800925,0.2993093246
2000-01-05,1023.85,1056.79,1012.6,1025.85,0.04664275,0.5147397895
2000-01-06,1023.47,1067.66,1011.5,1064.05,0.04367305,0.468746832
2000-01-07,1072.91,1116.78,1063.15,1099.86,0.09940714,1.160806125
2000-01-10,1106.59,1115.8,1073.72,1102.67,0.09787945,1.1185727939
2000-01-11,1107.56,1133.36,1054.14,1072.26,0.13231281,1.4584370641
2000-01-12,1072.05,1098.97,1031.34,1039.29,0.09118693,0.9633974273999999
2000-01-13,1043.86,1067.88,1030.3,1044.87,0.03931259,0.4175551086
2000-01-14,1047.98,1071.19,1029.25,1047.06,0.08061449,0.79385695
2000-01-17,1039.85,1067.99,1034.33,1055.86,0.05637724,0.5651536106
2000-01-18,1060.44,1103.49,1047.59,1077.38,0.05795517,0.6174737393
2000-01-19,1075.35,1087.34,1059.88,1069.24,0.05363594,0.5704765327
2000-01-20,1072.6,1113.96,1063.66,1108.17,0.0778463,0.817809048
2000-01-21,1112.92,1129.22,1081.54,1093.18,0.10458551,1.1380583996
2000-01-24,1098.37,1118.77,1061.63,1093.62,0.10544499,1.2058022411
2000-01-25,1100.2,1119.08,1069.44,1089.62,0.07205284,0.8104125742
2000-01-26,1091.21,1109.53,1068.26,1090.0,0.04806781,0.5257756507
2000-01-27,1100.31,1129.7,1065.92,1090.99,0.13273688,1.4370676737
2000-01-28,1092.9,1109.08,1069.54,1094.0,0.11816995,1.2781152775
2000-02-14,1119.15,1201.21,1112.4,1199.19,0.17754873,2.1515477758
2000-02-15,1222.88,1262.85,1162.69,1177.57,0.2740337,3.5675515304000003
2000-02-16,1178.71,1226.08,1144.66,1201.47,0.22354904,2.9420459056
2000-02-17,1230.86,1279.95,1139.01,1188.15,0.37183487,5.1119590522000005
2000-02-18,1205.14,1240.72,1133.22,1200.78,0.20330433,2.7873212579000004
2000-02-21,1199.0,1252.86,1167.72,1220.26,0.19760395,2.5102645376
2000-02-22,1223.95,1245.51,1172.85,1187.59,0.15108094,1.8689442669
2000-02-23,1176.1,1190.03,1131.71,1150.78,0.09388373,1.1677113079
2000-02-24,1139.5,1183.04,1136.02,1175.28,0.07864212,0.9896993470000001
2000-02-25,1179.2,1200.81,1157.52,1177.77,0.08590847,1.0953157247
2000-02-28,1173.61,1226.04,1163.44,1206.38,0.14755452,1.9903471981
2000-02-29,1218.16,1246.28,1173.93,1203.12,0.18102757,2.0251248231
2000-03-01,1212.17,1240.41,1173.67,1205.92,0.14724142,1.8100946879
2000-03-02,1207.22,1248.96,1192.04,1225.69,0.16388944,2.0356630479
2000-03-03,1239.62,1271.58,1221.4,1240.85,0.22112899,3.1152199260000004
2000-03-06,1251.23,1301.27,1206.7,1221.53,0.2558462,3.1915566542000002
2000-03-07,1212.17,1248.11,1189.36,1231.0,0.1483472,1.7699322199
2000-03-08,1235.61,1267.82,1217.52,1247.15,0.11794853,1.453471596
2000-03-09,1251.41,1257.36,1214.2,1221.29,0.0859477,1.0394461375
2000-03-10,1220.53,1235.94,1192.44,1202.99,0.07154952,0.8540316973000001
2000-03-13,1202.37,1237.72,1186.93,1231.83,0.07251141,0.8845082756
2000-03-14,1214.56,1230.46,1167.08,1211.52,0.1279173,1.4263477005
2000-03-15,1208.76,1239.35,1194.51,1214.05,0.09020977,1.0730229656999999
2000-03-16,1207.23,1216.85,1144.56,1157.33,0.08278232,0.9594446711
2000-03-17,1147.91,1188.98,1143.15,1179.88,0.06382626,0.7446416081999999
2000-03-20,1158.42,1233.2,1144.1,1223.28,0.10843419,1.3556623366
2000-03-21,1225.35,1262.07,1206.87,1245.81,0.20102952,2.7536991912
2000-03-22,1245.75,1266.54,1217.15,1245.87,0.11667544,1.4119485577000002
2000-03-23,1248.47,1275.24,1234.79,1261.7,0.13499242,1.671895747
2000-03-24,1267.78,1290.19,1224.88,1236.86,0.15869733,1.9701002671
2000-03-27,1246.61,1306.4,1234.72,1284.74,0.17735391,2.2253431371
2000-03-28,1305.09,1349.5,1269.4,1309.81,0.22056575,2.8134592919
2000-03-29,1321.6,1339.82,1275.24,1308.43,0.17272483,2.2729008572
2000-03-30,1309.48,1346.31,1289.93,1318.44,0.18711312,2.3376173588999998
2000-03-31,1316.9,1343.23,1288.45,1303.58,0.1638997,2.0724041589
2000-04-03,1308.25,1351.82,1288.99,1305.74,0.14451035,1.796631885
2000-04-04,1300.29,1309.81,1262.75,1266.6,0.1052875,1.2644120088
2000-04-05,1262.01,1294.26,1245.91,1277.53,0.08223265,0.9968199732999999
2000-04-06,1291.89,1319.45,1274.77,1306.35,0.0943301,1.1869842679
2000-04-07,1313.65,1345.78,1298.03,1328.39,0.1580466,2.0401825363999997
2000-04-10,1341.6,1367.7,1321.82,1335.2,0.12430731,1.6142671995
2000-04-11,1332.04,1344.83,1299.83,1313.02,0.0951695,1.233093995
2000-04-12,1313.85,1336.74,1285.16,1306.05,0.07939359,1.0132113611
2000-04-13,1312.6,1347.32,1293.99,1328.34,0.12529136,1.7292535244999998
2000-04-14,1335.1,1356.09,1301.1,1325.51,0.23209859,3.2259325157
2000-04-17,1318.4,1320.45,1264.63,1283.6,0.12228914,1.5775945637
2000-04-18,1311.76,1320.57,1265.53,1289.58,0.01154721,0.15505409
2000-04-19,1327.37,1360.6,1316.42,1344.91,0.18400749,2.2444565441999997
2000-04-20,1345.31,1379.92,1330.03,1352.58,0.17373908,2.1017062952
2000-04-21,1357.83,1373.0,1324.84,1334.79,0.14338686,1.8022571724
2000-04-24,1338.45,1360.59,1308.05,1326.11,0.1029152,1.2835869579
2000-04-25,1328.58,1347.27,1307.43,1322.54,0.06482701,0.8107566096
2000-04-26,1327.68,1351.38,1303.43,1318.19,0.08822907,1.0962258808
2000-04-27,1320.74,1332.55,1281.55,1285.53,0.09384004,1.1585022439
2000-04-28,1285.2,1309.4,1268.17,1301.33,0.08890776,1.1223848599
2000-05-08,1315.11,1336.07,1279.34,1304.47,0.10614952,1.4175274022
2000-05-09,1310.37,1320.98,1276.58,1286.54,0.08778507,1.1487933201
2000-05-10,1281.56,1289.68,1229.73,1235.04,0.06955823,0.8584501535
2000-05-11,1234.19,1251.38,1208.49,1213.98,0.05557929,0.6617561406
2000-05-12,1217.73,1237.9,1200.6,1210.85,0.05013357,0.6009017699
2000-05-15,1213.83,1232.21,1189.97,1211.98,0.04619856,0.5606331452000001
2000-05-16,1211.81,1240.36,1208.25,1230.41,0.04480051,0.5632799948
2000-05-17,1231.42,1239.73,1201.65,1207.53,0.04335148,0.5242835398
2000-05-18,1217.18,1259.52,1199.54,1241.93,0.10991274,1.510881325
2000-05-19,1261.35,1299.54,1243.4,1290.07,0.15501257,2.2151796424000003
2000-05-22,1298.32,1341.26,1283.68,1324.3,0.14816352,2.0183246851
2000-05-23,1335.84,1353.11,1301.07,1328.12,0.13537889,1.7541415977
2000-05-24,1331.77,1373.4,1312.25,1347.63,0.1580783,2.006918302
2000-05-25,1354.86,1392.7,1338.85,1373.8,0.24313837,2.902486301
2000-05-26,1381.38,1401.54,1340.33,1368.81,0.18205293,2.3122839165999998
2000-05-29,1370.24,1391.96,1353.26,1366.24,0.14657373,1.9538720272
2000-05-30,1370.62,1397.99,1326.82,1343.02,0.15387961,2.1062834224
2000-05-31,1341.72,1390.53,1325.74,1363.07,0.12780202,1.7304181061000001
2000-06-01,1366.35,1387.46,1340.41,1358.26,0.10242043,1.310124971
2000-06-02,1359.58,1385.3,1338.05,1367.4,0.09848713,1.2496740068
2000-06-05,1367.71,1392.9,1324.14,1340.28,0.11644828,1.4909353033000001
2000-06-06,1337.99,1366.39,1330.23,1358.24,0.06634974,0.8585391991
2000-06-07,1361.27,1383.72,1344.38,1369.5,0.11621779,1.3687768149000001
2000-06-08,1370.79,1390.22,1349.43,1370.71,0.08373046,1.0524039794
2000-06-09,1383.97,1402.19,1344.6,1355.81,0.0954225,1.2491225321
2000-06-12,1358.25,1376.02,1329.61,1363.77,0.08425592,1.1615668555
2000-06-13,1370.3,1389.38,1355.09,1383.39,0.07362648,0.9852440414
2000-06-14,1389.3,1402.76,1361.2,1380.66,0.11737408,1.3698584293
2000-06-15,1379.79,1412.64,1366.88,1393.18,0.12357779,1.4718215973
2000-06-16,1395.12,1404.27,1360.0,1370.63,0.1289523,1.5869053262000001
2000-06-19,1367.66,1391.87,1356.69,1378.77,0.10405045,1.3070092036
2000-06-20,1381.06,1394.66,1344.2,1353.72,0.08213169,1.0295508965
2000-06-21,1354.22,1374.95,1341.1,1367.94,0.05247395,0.6452894765
2000-06-22,1374.47,1387.21,1349.93,1357.38,0.06955813,0.9029221587
2000-06-23,1358.77,1373.28,1344.18,1362.77,0.07329955,0.9263207004
2000-06-26,1366.08,1404.26,1359.86,1392.1,0.1125536,1.3745575293
2000-06-27,1397.91,1412.89,1377.62,1395.35,0.11067669,1.3305464261
2000-06-28,1395.76,1419.16,1374.04,1395.96,0.10173624,1.2006497317
2000-06-29,1398.1,1422.56,1365.73,1394.25,0.21231508,2.5509282903
2000-06-30,1395.98,1417.14,1371.77,1382.21,0.22385118,2.7097525701
2000-07-03,1379.71,1405.79,1355.63,1367.42,0.1435545,1.7596980105000002
2000-07-04,1365.19,1389.01,1344.74,1373.21,0.0808213,0.9706911156999999
2000-07-05,1378.18,1406.79,1367.49,1388.25,0.09449494,1.1429030473000001
2000-07-06,1385.71,1395.16,1363.92,1374.03,0.05833175,0.7085428606999999
2000-07-07,1373.62,1395.54,1364.95,1388.91,0.06975413,0.8537306854000001
2000-07-10,1397.72,1432.76,1383.61,1419.61,0.12682828,1.5676871574000002
2000-07-11,1423.96,1437.22,1393.73,1417.4,0.08752974,1.1225075566
2000-07-12,1416.48,1431.11,1401.03,1411.09,0.08492665,1.0778982287999999
2000-07-13,1417.39,1444.38,1388.24,1411.42,0.13445223,1.7401692865
2000-07-14,1412.53,1434.28,1389.1,1417.18,0.12615952,1.6904717099000002
2000-07-17,1417.95,1429.5,1379.32,1393.56,0.1062744,1.4127806484
2000-07-18,1394.08,1408.78,1377.85,1392.58,0.07130829,0.8713399915000001
2000-07-19,1394.99,1421.26,1387.66,1402.84,0.06476331,0.803260833
2000-07-20,1404.01,1414.46,1376.4,1391.57,0.05508199,0.7115576103
2000-07-21,1390.86,1414.37,1384.64,1400.26,0.05549968,0.7522490528
2000-07-24,1405.33,1414.34,1374.86,1385.68,0.05718377,0.7515308734999999
2000-07-25,1383.9,1408.5,1369.78,1395.41,0.0543597,0.691617202
2000-07-26,1393.84,1425.06,1388.67,1411.05,0.06810084,0.8744927458
2000-07-27,1420.18,1430.76,1391.74,1402.74,0.07036667,0.9192492703
2000-07-28,1399.8,1420.76,1387.32,1401.98,0.06328792,0.7935811681999999
2000-07-31,1399.62,1420.57,1385.84,1416.6,0.0723224,0.9313292741
2000-08-01,1418.1,1445.83,1407.43,1425.77,0.09103496,1.2933211006999998
2000-08-02,1427.35,1447.59,1411.38,1424.17,0.07391389,1.0209726451
2000-08-03,1424.24,1446.96,1418.49,1430.7,0.09971917,1.342119333
2000-08-04,1431.72,1445.81,1395.02,1402.27,0.11856265,1.5210799875
2000-08-07,1397.18,1429.96,1385.24,1422.6,0.08529759,1.1001636708
2000-08-08,1426.6,1436.16,1398.53,1411.69,0.09036772,1.1456297054
2000-08-09,1411.27,1444.28,1400.2,1422.27,0.10643073,1.489537464
2000-08-10,1423.29,1438.62,1401.66,1414.67,0.08839475,1.2094716251
2000-08-11,1415.14,1435.69,1399.07,1421.95,0.08033512,1.1215500099
2000-08-14,1426.65,1460.95,1420.05,1446.85,0.08927816,1.2697920676999999
2000-08-15,1450.99,1461.41,1419.27,1443.83,0.06681975,0.9415031323
2000-08-16,1442.21,1451.17,1422.84,1432.46,0.05700123,0.7866481814
2000-08-17,1435.28,1454.11,1416.81,1437.77,0.07619726,1.0322976240000001
2000-08-18,1439.59,1457.41,1426.15,1441.16,0.0867415,1.1566553431
2000-08-21,1446.58,1471.51,1430.19,1454.29,0.12368841,1.6495711029
2000-08-22,1453.63,1466.47,1417.3,1419.96,0.10109202,1.3744345883000002
2000-08-23,1412.46,1429.97,1341.51,1402.55,0.1477499,1.9049147472999999
2000-08-24,1403.42,1430.08,1383.31,1411.78,0.13097897,1.7750633153
2000-08-25,1416.48,1440.7,1405.51,1431.84,0.11071923,1.388014809
2000-08-28,1439.65,1479.4,1426.24,1460.97,0.19929854,2.49475834
2000-08-29,1465.49,1483.69,1447.53,1468.39,0.11716984,1.5878100847999999
2000-08-30,1469.39,1498.43,1441.8,1470.71,0.16328203,2.1231727708
2000-08-31,1462.88,1480.64,1433.48,1446.13,0.19507874,2.4804035400999997
2000-09-01,1439.47,1464.24,1417.49,1434.95,0.15606588,1.9366431261000001
2000-09-04,1438.44,1458.06,1400.09,1436.1,0.10956506,1.3604895103999999
2000-09-05,1443.62,1461.49,1399.75,1413.85,0.10802289,1.4460008972
2000-09-06,1408.99,1430.92,1379.85,1392.91,0.09514685,1.2732897895
2000-09-07,1395.53,1430.37,1390.54,1406.55,0.06370352,0.8559733892
2000-09-08,1416.25,1427.31,1380.35,1397.08,0.05185765,0.6564791359000001
2000-09-11,1402.85,1422.39,1384.15,1413.41,0.04854881,0.6241210191
2000-09-12,1415.83,1435.55,1400.47,1425.66,0.04452389,0.6061501186
2000-09-13,1426.43,1442.07,1411.37,1427.29,0.07344739,1.0638354244
2000-09-14,1429.04,1441.69,1410.88,1424.09,0.04187714,0.5762723322
2000-09-15,1422.53,1445.86,1405.47,1428.88,0.06651747,1.0046717717
2000-09-18,1424.91,1442.27,1399.45,1406.11,0.06039306,0.7992765290999999
2000-09-19,1394.03,1406.05,1358.17,1373.3,0.06296504,0.8580322568000001
2000-09-20,1372.95,1396.11,1359.32,1380.9,0.03821756,0.5195697686999999
2000-09-21,1381.84,1402.31,1362.1,1374.15,0.04422236,0.6590461002
2000-09-22,1367.24,1388.21,1351.67,1361.11,0.04488081,0.6319611950999999
2000-09-25,1363.07,1385.0,1339.14,1351.9,0.04011508,0.5081038062
2000-09-26,1354.78,1376.72,1345.56,1362.04,0.04122791,0.5854575001
2000-09-27,1365.06,1385.33,1348.87,1378.24,0.03990629,0.5538706985
2000-09-28,1376.29,1383.41,1347.37,1354.94,0.04682591,0.6923089486
2000-09-29,1353.03,1386.95,1350.48,1377.0,0.05230809,0.7571410101999999
2000-10-09,1363.13,1409.98,1357.86,1406.4,0.0891042,1.2553764249
2000-10-10,1413.86,1441.96,1398.02,1430.37,0.11632508,1.6952168619999999
2000-10-11,1433.57,1448.79,1399.57,1417.0,0.11559685,1.7589553043000001
2000-10-12,1414.01,1448.01,1395.3,1422.98,0.10352314,1.5899676418000002
2000-10-13,1424.03,1434.8,1400.38,1408.88,0.08383519,1.2604948787
2000-10-16,1409.84,1427.6,1392.09,1404.72,0.0566601,0.8382512479
2000-10-17,1399.5,1433.9,1388.19,1416.41,0.04138702,0.5855539231
2000-10-18,1421.21,1429.67,1399.05,1417.6,0.04175258,0.6074368784
2000-10-19,1422.95,1431.4,1394.48,1404.55,0.04394719,0.6269610587
2000-10-20,1405.66,1425.94,1394.09,1412.16,0.05287387,0.7445930663
2000-10-23,1419.39,1444.68,1407.77,1436.19,0.06223815,0.9302392873
2000-10-24,1439.37,1456.28,1422.86,1435.47,0.05396208,0.7993785363
2000-10-25,1435.47,1452.59,1422.46,1444.01,0.0542882,0.7645754628
2000-10-26,1445.99,1470.33,1427.67,1449.78,0.09536406,1.5925638909
2000-10-27,1445.59,1474.55,1438.18,1461.09,0.1189329,2.0301763845
2000-10-30,1469.9,1500.62,1456.35,1485.28,0.12284705,2.0686267308
2000-10-31,1483.52,1504.6,1452.93,1467.09,0.11780758,1.9118897527
2000-11-01,1461.34,1485.49,1451.87,1473.28,0.06078849,0.9767800811
2000-11-02,1481.36,1497.44,1458.97,1466.17,0.06541922,1.0696257163
2000-11-03,1467.99,1477.82,1447.72,1457.29,0.04470611,0.6462442025
2000-11-06,1456.23,1477.17,1446.47,1466.93,0.04377122,0.6356637768
2000-11-07,1467.37,1481.91,1456.65,1467.31,0.03656324,0.5299936195
2000-11-08,1468.7,1491.68,1458.68,1477.73,0.05820093,0.8383630456000001
2000-11-09,1480.12,1493.09,1461.56,1480.85,0.06189801,0.9299792735
2000-11-10,1482.28,1497.48,1471.36,1485.03,0.07135989,1.0258034494
2000-11-13,1488.25,1507.53,1474.94,1501.05,0.08571547,1.2483369501000001
2000-11-14,1504.37,1551.86,1490.53,1530.24,0.110245,1.7253886113999999
2000-11-15,1532.19,1553.66,1516.38,1530.4,0.09468038,1.3994025489
2000-11-16,1531.73,1562.21,1519.84,1546.87,0.11516334,1.7780763816999998
2000-11-17,1551.71,1572.15,1532.89,1552.07,0.09974684,1.4534208380000002
