date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.01187445,0.16158780039999998
2000-01-04,1006.27,1030.73,993.4,1027.91,0.02825381,0.4295738748
2000-01-05,1027.73,1065.69,1021.62,1039.95,0.05972446,1.082056547
2000-01-06,1048.23,1090.72,1035.04,1087.72,0.06361724,1.1810708565999999
2000-01-07,1114.34,1146.51,1099.85,1140.57,0.09993895,1.8184868311000002
2000-01-10,1160.28,1170.9,1131.71,1157.15,0.21989612,2.5885400059
2000-01-11,1169.12,1176.27,1084.63,1107.01,0.17487537,2.0844098336
2000-01-12,1096.96,1112.58,1058.79,1065.05,0.12773605,1.4282781650999998
2000-01-13,1064.19,1075.2,1039.27,1044.48,0.06830975,0.7561738845999999
2000-01-14,1053.69,1064.46,1032.41,1044.96,0.04974404,0.5619166647
2000-01-17,1039.68,1072.28,1029.45,1064.97,0.07054425,0.9351091709
2000-01-18,1067.07,1081.91,1049.83,1060.91,0.05387551,0.7530190362000001
2000-01-19,1057.61,1077.69,1039.11,1060.26,0.0675228,0.7375590128
2000-01-20,1063.34,1085.09,1046.47,1073.31,0.06021974,0.7372552871
2000-01-21,1072.19,1114.02,1048.49,1081.26,0.1252499,1.6443698359
2000-01-24,1079.65,1096.45,1041.09,1072.76,0.10646791,1.4560155911000001
2000-01-25,1070.81,1100.65,1045.27,1078.59,0.08176027,1.2960116795999999
2000-01-26,1079.45,1099.08,1062.3,1080.66,0.07563806,0.8825339731999999
2000-01-27,1082.71,1141.45,1070.78,1129.65,0.2028135,2.8299270202999995
2000-01-28,1135.24,1189.66,1115.25,1163.31,0.2326268,3.1836155124000003
2000-02-14,1209.86,1276.08,1203.65,1274.7,0.12381914,2.0378125352
2000-02-15,1324.5,1367.2,1269.76,1285.99,0.14926678,2.9711900282
2000-02-16,1303.42,1318.93,1237.41,1263.98,0.16515065,2.8484476549
2000-02-17,1292.22,1349.48,1178.3,1262.93,0.4564587,7.8623977887
2000-02-18,1233.51,1313.91,1186.5,1295.93,0.23215574,3.5917117761000004
2000-02-21,1311.18,1398.3,1255.88,1347.66,0.30331859,4.9938935226
2000-02-22,1343.23,1377.87,1257.81,1262.04,0.17707824,2.735079575
2000-02-23,1232.78,1268.26,1201.67,1221.44,0.14623487,1.9933435355000002
2000-02-24,1217.77,1270.46,1205.28,1256.84,0.11674727,1.5240233958000002
2000-02-25,1258.87,1297.23,1228.39,1257.42,0.13301503,2.0160857068
2000-02-28,1262.85,1331.27,1246.32,1314.16,0.1662999,2.6701566991
2000-02-29,1322.66,1357.69,1246.37,1314.43,0.21992168,3.7308572026999998
2000-03-01,1323.29,1356.2,1279.12,1304.18,0.14306627,2.2777300092
2000-03-02,1303.06,1375.31,1265.04,1349.95,0.22510308,5.2476179592
2000-03-03,1360.02,1404.99,1341.92,1379.59,0.15194832,3.123466811
2000-03-06,1389.92,1411.34,1310.7,1318.73,0.22727257,3.7643782782999997
2000-03-07,1307.01,1373.23,1289.0,1359.63,0.09748983,1.6055113151
2000-03-08,1359.46,1406.17,1336.67,1391.17,0.13132743,2.3475663506999997
2000-03-09,1399.45,1432.33,1341.25,1376.89,0.15067393,2.5322707898
2000-03-10,1380.72,1407.56,1348.37,1365.47,0.10174769,1.5820065576
2000-03-13,1362.51,1410.23,1351.4,1393.22,0.08017389,1.3354857178
2000-03-14,1369.23,1372.93,1300.59,1347.89,0.11093682,1.8464446982
2000-03-15,1340.11,1373.62,1313.54,1334.96,0.07252774,1.0946185658
2000-03-16,1329.44,1343.33,1266.51,1281.01,0.10280566,1.6237302792
2000-03-17,1276.01,1329.07,1272.71,1319.47,0.09684616,1.6434379875999998
2000-03-20,1305.25,1358.47,1286.79,1337.84,0.11856779,1.9237699651
2000-03-21,1338.45,1370.67,1317.94,1354.92,0.08614114,1.4233091963
2000-03-22,1350.64,1383.3,1326.15,1354.84,0.08266323,1.3200444726
2000-03-23,1364.48,1410.18,1346.64,1399.23,0.11639802,1.8594662388
2000-03-24,1406.72,1420.29,1356.1,1367.44,0.11575405,1.7515936674
2000-03-27,1383.29,1408.27,1360.04,1393.24,0.09427639,1.3941675689
2000-03-28,1400.2,1433.52,1364.31,1402.02,0.1282627,1.845203809
2000-03-29,1398.78,1426.59,1365.64,1390.51,0.11009637,1.5659747553999999
2000-03-30,1391.82,1424.33,1373.75,1400.42,0.11485756,1.659237199
2000-03-31,1407.5,1425.07,1378.01,1400.16,0.12827202,1.822773548
2000-04-03,1401.72,1430.2,1379.63,1390.43,0.12680185,1.7558057312
2000-04-04,1403.9,1420.92,1361.25,1389.46,0.18698406,2.4655385922
2000-04-05,1391.63,1416.13,1362.88,1394.57,0.11902808,1.5653057909
2000-04-06,1400.44,1431.26,1392.86,1421.22,0.12020401,1.7175091366
2000-04-07,1440.26,1447.59,1399.9,1414.39,0.11569995,1.5209294809
2000-04-10,1420.23,1432.9,1394.06,1414.78,0.08566101,1.2121177898
2000-04-11,1420.56,1442.49,1389.0,1411.58,0.08004955,1.1929082689
2000-04-12,1411.16,1426.11,1374.48,1390.16,0.06587823,0.9278825144
2000-04-13,1388.63,1419.21,1380.42,1407.04,0.05823511,0.8259772989
2000-04-14,1412.04,1428.56,1392.47,1409.73,0.11346844,1.5494026365
2000-04-17,1410.4,1424.87,1370.17,1393.96,0.13378777,1.9918273706
2000-04-18,1398.33,1423.43,1378.32,1408.07,0.04881511,0.94409792
2000-04-19,1412.31,1445.53,1399.61,1429.9,0.06400993,1.1096989339
2000-04-20,1431.5,1455.43,1411.79,1440.76,0.06493013,1.1584587012
2000-04-21,1442.24,1475.5,1406.11,1427.09,0.07519562,1.22739539
2000-04-24,1417.72,1439.17,1392.57,1412.77,0.05588453,0.7958950512999999
2000-04-25,1406.84,1428.24,1391.21,1410.92,0.04752062,0.6450092155
2000-04-26,1410.87,1426.39,1391.76,1408.19,0.03261394,0.544531725
2000-04-27,1402.64,1416.24,1384.32,1394.61,0.03333125,0.5336821048
2000-04-28,1392.77,1430.0,1375.58,1423.5,0.04560427,0.9989414083
2000-05-08,1398.61,1434.22,1373.81,1415.63,0.0379111,0.445310624
2000-05-09,1414.2,1434.49,1370.74,1401.71,0.06145512,1.1311478869
2000-05-10,1394.23,1404.57,1356.58,1370.65,0.05746402,0.9371233938
2000-05-11,1368.24,1378.8,1330.43,1351.26,0.03609582,0.49465407689999996
2000-05-12,1353.73,1366.52,1313.29,1332.9,0.03948012,0.5921137988
2000-05-15,1335.63,1348.16,1288.21,1309.35,0.03435793,0.4664893224
2000-05-16,1320.98,1334.96,1299.77,1324.22,0.02956949,0.40789844270000003
2000-05-17,1325.53,1342.1,1307.65,1320.83,0.03249566,0.401820182
2000-05-18,1322.0,1352.71,1306.43,1345.16,0.0360161,0.5053738359000001
2000-05-19,1348.35,1366.38,1333.11,1355.61,0.06311535,0.9269085115000001
2000-05-22,1360.35,1396.21,1339.39,1383.51,0.07430977,1.1903081626
2000-05-23,1381.03,1392.86,1359.88,1375.28,0.0413308,0.6237325593999999
2000-05-24,1375.98,1414.59,1364.15,1398.76,0.0765709,1.2302678616
2000-05-25,1409.28,1440.17,1391.35,1426.47,0.07955528,1.3869086246
2000-05-26,1424.87,1447.58,1394.38,1423.14,0.07655668,1.2101902821
2000-05-29,1422.86,1446.52,1394.65,1430.95,0.07094131,1.2240958768999999
2000-05-30,1431.48,1473.62,1396.1,1426.55,0.07213364,1.3078198276000002
2000-05-31,1425.16,1465.41,1411.67,1452.87,0.0626831,1.1369626255
2000-06-01,1456.26,1470.48,1402.23,1436.74,0.05167921,0.8875409563
2000-06-02,1441.08,1461.44,1422.87,1448.08,0.06825355,0.9719186590000001
2000-06-05,1450.47,1464.98,1410.78,1434.0,0.07006024,1.1591178306
2000-06-06,1435.4,1476.79,1420.46,1468.36,0.05747549,0.9844575698
2000-06-07,1476.33,1499.19,1452.93,1477.79,0.07202109,1.2263694905
2000-06-08,1484.87,1490.91,1448.24,1458.44,0.04717328,0.6987867047
2000-06-09,1461.45,1468.18,1421.36,1441.12,0.08092978,1.06198598
2000-06-12,1434.03,1448.55,1407.4,1432.2,0.04196747,0.671355225
2000-06-13,1436.06,1450.59,1411.98,1438.0,0.04473394,0.7436276834000001
2000-06-14,1437.56,1451.39,1418.02,1436.98,0.0559725,0.7967302484000001
2000-06-15,1435.07,1457.1,1416.4,1446.06,0.07766983,1.1183785998
2000-06-16,1458.58,1485.24,1437.89,1450.96,0.11370405,1.7048544956
2000-06-19,1451.24,1470.76,1428.66,1448.69,0.07916685,1.2468200332
2000-06-20,1439.45,1455.28,1400.46,1415.79,0.05903816,0.8989356432
2000-06-21,1419.52,1460.11,1400.49,1433.34,0.05829267,0.9236507393000001
2000-06-22,1435.07,1461.46,1428.17,1443.05,0.06447712,1.0585573675
2000-06-23,1445.35,1461.69,1428.84,1448.42,0.04711893,0.7622677224
