date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.06974004,0.6784755977
2000-01-04,1004.91,1031.96,995.56,1021.33,0.07285033,0.7236924431
2000-01-05,1021.27,1051.53,1003.3,1030.78,0.14244037,1.4524488278999999
2000-01-06,1030.87,1074.33,1013.75,1058.82,0.1437173,1.4371896899
2000-01-07,1063.3,1095.03,1049.95,1084.16,0.21813174,2.0552002913
2000-01-10,1092.55,1133.62,1067.94,1119.18,0.22974766,2.2923303208
2000-01-11,1119.45,1157.9,1071.25,1103.11,0.50588762,5.0839320543
2000-01-12,1099.84,1122.06,1057.56,1072.89,0.27073647,2.6833576754
2000-01-13,1075.04,1090.59,1037.53,1046.37,0.14967818,1.6528609163999999
2000-01-14,1039.18,1072.22,1011.42,1037.23,0.11326389,1.253745845
2000-01-17,1038.71,1062.6,1020.37,1048.1,0.079271,0.8398966718
2000-01-18,1049.57,1064.79,1030.33,1044.2,0.06674796,0.6751073681
2000-01-19,1042.04,1079.07,1032.64,1069.85,0.07225398,0.7519508065
2000-01-20,1070.99,1098.32,1056.78,1084.07,0.09185988,0.90590998
2000-01-21,1086.84,1104.23,1057.49,1072.13,0.14084331,1.3628567654
2000-01-24,1073.72,1108.05,1043.91,1089.68,0.36145167,3.2054438444
2000-01-25,1096.51,1118.96,1061.96,1083.35,0.24412838,2.2582126602
2000-01-26,1086.72,1117.59,1064.29,1093.24,0.19221019,1.8053533676
2000-01-27,1095.95,1122.5,1075.86,1094.11,0.16019319,1.4901335935
2000-01-28,1098.54,1120.59,1077.32,1104.41,0.22026163,1.9145744796000002
2000-02-14,1151.15,1209.86,1124.56,1204.7,0.34928785,3.4383492019
2000-02-15,1209.53,1274.4,1155.55,1199.75,0.6001125,6.083352497000001
2000-02-16,1203.46,1255.69,1157.05,1234.14,0.59788247,6.0763506128
2000-02-17,1270.3,1317.13,1156.75,1205.93,0.79029622,8.511184836
2000-02-18,1200.01,1265.78,1156.13,1247.3,0.44958176,4.905436306
2000-02-21,1267.5,1326.98,1223.68,1276.95,0.7141854,8.140531708500001
2000-02-22,1285.67,1310.46,1197.34,1205.57,0.3732386,3.9636727931999998
2000-02-23,1193.22,1217.48,1138.31,1158.24,0.2879396,2.780317259
2000-02-24,1157.17,1206.02,1150.13,1190.85,0.1963951,1.9364425103
2000-02-25,1195.06,1217.0,1162.33,1187.24,0.22662511,2.0799221639
2000-02-28,1179.64,1235.63,1158.73,1224.07,0.33296559,3.3412420413
2000-02-29,1241.04,1256.84,1177.74,1209.12,0.2804784,2.8742758874
2000-03-01,1210.95,1241.73,1169.03,1204.29,0.19155608,1.8781727872999998
2000-03-02,1203.42,1232.67,1180.05,1205.44,0.16963025,1.6232442073
2000-03-03,1213.68,1247.17,1193.36,1226.85,0.29111337,3.1415490722
2000-03-06,1232.99,1250.05,1167.41,1177.26,0.25503489,2.5766362505
2000-03-07,1164.45,1195.3,1143.56,1185.2,0.12789654,1.2442784167
2000-03-08,1187.47,1218.62,1171.87,1209.38,0.13428284,1.4188864315
2000-03-09,1215.58,1228.3,1171.01,1192.99,0.13759393,1.4224440455
2000-03-10,1194.58,1205.44,1156.22,1173.66,0.11296838,1.0756101262
2000-03-13,1168.17,1199.4,1160.14,1190.57,0.13498258,1.4954488165000002
2000-03-14,1178.52,1209.37,1132.84,1193.18,0.2304033,2.3039607889
2000-03-15,1195.24,1233.08,1175.4,1208.65,0.23001376,2.4368618592
2000-03-16,1196.86,1219.89,1138.64,1164.51,0.17137663,1.6364276932
2000-03-17,1158.69,1209.99,1151.5,1201.92,0.15624535,1.6683285775
2000-03-20,1184.26,1246.26,1175.13,1236.08,0.23660371,2.4577670558
2000-03-21,1235.01,1270.29,1203.73,1234.49,0.31570266,3.435326968
2000-03-22,1237.91,1275.76,1211.02,1249.24,0.27785905,3.0064249216000003
2000-03-23,1249.43,1285.19,1224.95,1262.68,0.33064159,3.4712242798000004
2000-03-24,1263.96,1286.56,1228.23,1237.9,0.30081906,3.095902583
2000-03-27,1236.26,1313.5,1232.28,1303.18,0.44433128,4.8994534339
2000-03-28,1314.54,1352.03,1273.93,1307.6,0.54587209,5.1269840817
2000-03-29,1308.33,1328.59,1259.12,1299.31,0.33656705,3.4430091144
2000-03-30,1300.99,1320.69,1269.61,1300.13,0.28113889,2.9549216795
2000-03-31,1294.12,1337.54,1273.88,1305.19,0.35623167,3.59945669
2000-04-03,1306.39,1337.29,1282.82,1304.38,0.2260795,2.4140467238
2000-04-04,1297.95,1300.04,1251.34,1266.35,0.16539089,1.6464830869
2000-04-05,1256.99,1286.32,1242.53,1268.8,0.12081254,1.2785326342
2000-04-06,1274.77,1307.62,1264.24,1296.45,0.15336652,1.5512547528
2000-04-07,1306.93,1333.16,1286.13,1316.68,0.20957267,2.2015583196
2000-04-10,1317.34,1353.15,1299.91,1334.25,0.23995817,2.6026807322
2000-04-11,1343.84,1357.56,1298.85,1307.42,0.19395988,2.1110088971
2000-04-12,1322.18,1356.54,1285.66,1334.68,0.3977698,3.8035248770999996
2000-04-13,1340.19,1389.97,1321.4,1364.74,0.40145883,4.5837650082
2000-04-14,1369.1,1383.49,1321.11,1340.15,0.32240698,3.445226748
2000-04-17,1325.22,1359.86,1284.63,1322.85,0.44348941,4.4234121721
2000-04-18,1327.72,1352.86,1289.65,1325.27,0.10688525,1.26918231
2000-04-19,1340.14,1365.55,1308.81,1346.82,0.22858671,2.5347126332
2000-04-20,1347.97,1380.53,1329.66,1354.47,0.28666765,2.9272310075
2000-04-21,1360.57,1368.25,1325.32,1339.13,0.17993861,1.8257090375999998
2000-04-24,1336.37,1352.33,1299.05,1319.67,0.16474589,1.7036766072
2000-04-25,1318.32,1345.68,1300.19,1321.26,0.13288299,1.4230527703
2000-04-26,1328.26,1347.25,1312.04,1322.45,0.16546936,1.734787281
2000-04-27,1324.1,1337.09,1293.82,1305.46,0.18253365,1.8780260199
2000-04-28,1301.96,1331.32,1286.05,1321.04,0.20441254,2.1190185414
2000-05-08,1330.62,1345.09,1299.25,1312.61,0.11675055,1.1740563864
2000-05-09,1320.36,1331.32,1278.62,1303.64,0.13907896,1.4355930637
2000-05-10,1304.15,1307.02,1242.41,1256.82,0.10850842,1.2001684387
2000-05-11,1248.6,1261.53,1199.45,1210.52,0.08760683,0.8293355698
2000-05-12,1218.31,1235.75,1195.29,1205.82,0.06266833,0.6196303905
2000-05-15,1206.68,1225.29,1181.57,1200.02,0.06719886,0.6762305794
