date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.05415576,0.46782837899999996
2000-01-04,1000.6,1042.05,987.39,1032.21,0.14706367,1.2593906465
2000-01-05,1034.01,1062.75,1017.97,1038.7,0.20926709,1.7631642067
2000-01-06,1034.91,1084.07,1022.56,1078.93,0.30740773,2.6810142283
2000-01-07,1088.91,1129.41,1075.05,1113.8,0.50791602,4.442476751
2000-01-10,1124.17,1148.58,1095.2,1133.92,0.52197293,5.0482286354
2000-01-11,1137.47,1150.38,1074.39,1089.73,0.45503934,4.2938546823
2000-01-12,1082.44,1107.11,1043.85,1055.35,0.33712435,3.2574970155000003
2000-01-13,1059.54,1073.96,1036.76,1055.73,0.1807911,1.5512794118000002
2000-01-14,1057.16,1071.86,1032.77,1044.79,0.2882709,2.0446731741
2000-01-17,1044.89,1070.89,1025.42,1060.4,0.25936029,2.0837515472
2000-01-18,1061.23,1098.36,1047.27,1069.45,0.28381118,2.5485993832
2000-01-19,1067.86,1091.89,1056.89,1079.29,0.2519571,1.9068347497
2000-01-20,1081.49,1110.45,1068.86,1093.7,0.27695008,2.4565341486000003
2000-01-21,1094.98,1111.57,1063.07,1079.6,0.35318863,2.9451904875
2000-01-24,1078.22,1111.69,1052.1,1095.76,0.3722384,3.0605109224000002
2000-01-25,1101.16,1137.2,1079.97,1105.63,0.36496066,3.1179430379000004
2000-01-26,1112.11,1145.28,1095.87,1120.73,0.49889542,4.6602996059
2000-01-27,1124.09,1152.28,1097.97,1129.79,0.57908249,5.3978677077
2000-01-28,1138.94,1161.44,1112.54,1141.7,0.58652804,5.3617115532
2000-02-14,1182.64,1242.85,1162.3,1240.05,0.75931594,7.56611411
2000-02-15,1266.87,1289.37,1200.8,1216.16,0.98837428,9.7819517445
2000-02-16,1224.15,1240.94,1166.27,1211.81,1.02801152,11.4375627978
2000-02-17,1231.0,1280.14,1155.21,1195.88,1.15070041,11.7593648191
2000-02-18,1195.52,1223.76,1144.5,1197.45,0.5811878,6.167157484500001
2000-02-21,1197.36,1244.73,1158.8,1213.7,0.67004951,7.3557089033
2000-02-22,1221.45,1264.86,1173.13,1188.68,0.58770294,6.038102347100001
2000-02-23,1180.34,1208.43,1140.48,1167.21,0.6089944,5.2681349134
2000-02-24,1162.38,1222.62,1150.13,1198.42,0.72672487,5.6199113512
2000-02-25,1202.56,1237.93,1176.04,1204.13,0.61493803,5.2211279142
2000-02-28,1219.94,1275.82,1204.84,1260.84,0.90147507,8.4786330764
2000-02-29,1274.29,1303.66,1208.52,1253.97,0.89039404,8.4213854057
2000-03-01,1259.03,1289.55,1221.95,1250.8,1.00336609,10.6336430701
2000-03-02,1248.4,1295.23,1221.59,1268.83,1.12398961,9.6285569901
2000-03-03,1278.36,1332.63,1253.89,1295.47,1.34222776,11.2677371674
2000-03-06,1313.58,1350.22,1248.43,1264.45,1.15306196,10.4277396115
2000-03-07,1255.54,1303.89,1223.04,1284.22,0.98555448,8.4004240543
2000-03-08,1286.37,1327.91,1262.63,1308.34,0.81463444,7.2732089125
2000-03-09,1309.08,1362.4,1286.95,1332.36,0.99594801,9.9642818181
2000-03-10,1332.83,1356.75,1275.76,1289.36,0.76431502,7.182350641499999
2000-03-13,1283.13,1323.14,1264.26,1301.01,0.71639519,5.9697613558
2000-03-14,1288.62,1304.9,1223.7,1264.78,0.86648941,6.965643231900001
2000-03-15,1260.62,1297.14,1238.14,1263.2,0.55059893,4.8847372476999995
2000-03-16,1256.01,1262.43,1182.82,1194.84,0.45107929,3.9052684251999996
2000-03-17,1188.3,1237.2,1182.37,1227.53,0.37621301,3.3241095595999997
2000-03-20,1219.85,1267.65,1199.37,1257.49,0.43437686,4.1397460639
2000-03-21,1260.04,1293.81,1233.99,1271.01,0.60570764,5.4690597936000005
2000-03-22,1272.06,1305.06,1245.46,1272.7,0.48739448,4.7340623678
2000-03-23,1274.17,1304.85,1250.2,1286.51,0.46691743,4.4670400007
2000-03-24,1294.53,1317.12,1258.04,1269.03,0.6231806,5.8357284888
2000-03-27,1268.45,1327.82,1262.04,1318.62,0.73173888,6.562926395800001
2000-03-28,1338.55,1380.43,1304.43,1351.63,1.83284451,13.779061222100001
2000-03-29,1357.15,1373.36,1298.18,1334.7,1.32676499,9.868222744199999
2000-03-30,1341.67,1373.51,1314.25,1356.58,0.80106948,7.0644826204
2000-03-31,1364.12,1385.6,1327.55,1348.8,0.86025946,7.570880174
2000-04-03,1348.29,1391.49,1326.93,1346.36,0.70013747,6.3334952331
2000-04-04,1341.12,1372.48,1305.34,1336.79,0.69664034,5.740391702799999
2000-04-05,1342.87,1382.82,1320.26,1358.97,0.63752394,5.5034057562
2000-04-06,1371.63,1403.38,1351.25,1385.96,0.87534011,7.7086322126999995
2000-04-07,1389.98,1431.9,1368.37,1406.41,0.80573944,7.3388693674
2000-04-10,1422.65,1451.54,1390.99,1426.38,0.88326146,7.7334499963
2000-04-11,1429.08,1456.61,1390.81,1415.39,0.85306334,7.8599325341999995
2000-04-12,1417.5,1437.31,1362.73,1401.32,0.53016989,4.9480059528
2000-04-13,1404.01,1443.79,1385.24,1419.42,0.59902654,5.2498044032
2000-04-14,1428.04,1465.44,1400.58,1429.88,0.79425017,7.711941296699999
2000-04-17,1422.89,1442.96,1370.6,1401.58,0.85583834,7.9360843673
2000-04-18,1400.98,1432.7,1371.68,1413.16,0.22003882,2.32776127
2000-04-19,1417.32,1446.99,1399.8,1418.34,0.51944871,5.1485431369
2000-04-20,1412.25,1445.71,1394.61,1418.76,0.51434697,5.228003004800001
2000-04-21,1422.99,1450.13,1391.17,1410.06,0.59874628,6.0649108134
2000-04-24,1408.4,1427.12,1375.67,1395.05,0.45630548,4.478973316
2000-04-25,1395.07,1430.9,1371.02,1404.72,0.48056431,4.5231994131999995
2000-04-26,1404.5,1434.0,1388.3,1403.56,0.56245037,4.927574371
2000-04-27,1404.54,1417.72,1355.92,1366.67,0.38246958,3.5840111637
2000-04-28,1365.96,1388.6,1348.89,1374.4,0.36178616,3.3798523779000003
2000-05-08,1381.77,1401.81,1353.95,1378.35,0.23214174,2.4045462511
2000-05-09,1376.89,1399.68,1342.21,1361.8,0.32936129,3.2188109860000003
2000-05-10,1358.98,1365.05,1306.0,1312.57,0.30120945,2.561858603
2000-05-11,1306.07,1327.8,1273.78,1284.7,0.27538559,2.558187792
2000-05-12,1284.78,1312.94,1270.64,1282.64,0.23484869,2.126458842
2000-05-15,1284.7,1297.35,1252.12,1267.35,0.16797654,1.4817390396
2000-05-16,1266.79,1298.34,1260.43,1285.0,0.15057954,1.4204798106
2000-05-17,1288.35,1307.05,1268.99,1283.77,0.17243944,1.6657517471
2000-05-18,1283.91,1319.06,1268.14,1308.27,0.17158848,1.8710479412
2000-05-19,1315.17,1338.47,1293.18,1328.27,0.2842475,2.8644947328
2000-05-22,1331.51,1379.82,1321.39,1366.52,0.43060561,4.5147161192
2000-05-23,1375.1,1432.59,1359.92,1412.18,0.8029656,8.0293054847
2000-05-24,1403.68,1473.76,1388.57,1442.49,0.88408651,7.9289818176999995
2000-05-25,1470.36,1500.2,1434.5,1466.4,1.05411621,10.3584011188
2000-05-26,1479.15,1526.75,1446.47,1501.96,1.84691944,17.217621568
2000-05-29,1508.67,1551.39,1481.19,1510.71,1.52098094,13.6466100053
2000-05-30,1518.74,1556.82,1472.27,1485.43,0.99345129,9.9580463482
2000-05-31,1480.39,1536.85,1456.06,1516.95,0.85798957,8.4299939427
2000-06-01,1534.19,1557.45,1494.67,1520.8,0.75765665,8.1477574424
2000-06-02,1523.45,1553.53,1503.05,1528.27,0.70742361,7.5111939356
2000-06-05,1533.09,1584.39,1482.21,1502.37,1.00300217,9.9967554504
2000-06-06,1502.32,1533.06,1469.52,1506.34,0.81766078,7.8845927597
2000-06-07,1514.43,1542.73,1497.73,1519.95,0.58323839,5.972894825
2000-06-08,1523.98,1539.39,1478.55,1501.42,0.61269038,6.189390299299999
2000-06-09,1499.23,1524.87,1472.13,1488.63,0.48751902,4.9309208937
2000-06-12,1483.12,1518.55,1458.57,1500.98,0.47408874,4.7362751945
2000-06-13,1511.49,1582.21,1499.57,1574.55,0.84157044,8.8690851136
2000-06-14,1579.33,1603.1,1539.13,1562.8,0.82084102,8.8389982147
2000-06-15,1562.68,1618.49,1544.14,1589.17,0.77273913,7.968807809099999
2000-06-16,1591.76,1629.66,1552.58,1576.87,1.06678265,11.150346716500001
2000-06-19,1582.27,1618.47,1548.63,1572.13,0.83547891,8.9158088503
