date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.02165896,0.2596779419
2000-01-04,994.43,1023.23,978.94,1019.96,0.02822301,0.3148960173
2000-01-05,1020.67,1083.21,1008.12,1056.14,0.09849843,1.2655816371
2000-01-06,1050.18,1102.64,1038.75,1099.98,0.07195963,0.9185367319
2000-01-07,1105.2,1174.95,1097.57,1154.58,0.14267838,1.9833055334
2000-01-10,1162.51,1179.93,1139.17,1167.2,0.10433104,1.4046466785
2000-01-11,1167.48,1171.7,1087.6,1124.83,0.0748201,0.9801775059000001
2000-01-12,1107.06,1124.52,1066.11,1082.65,0.0517749,0.640517125
2000-01-13,1078.24,1090.69,1050.71,1069.37,0.02689781,0.3279860382
2000-01-14,1064.72,1082.42,1033.46,1040.82,0.01977872,0.23274808019999998
2000-01-17,1032.96,1074.43,1023.49,1068.36,0.02783256,0.2956380702
2000-01-18,1068.69,1085.41,1035.78,1059.56,0.04508529,0.5178791245000001
2000-01-19,1060.36,1096.84,1042.48,1083.65,0.06184207,0.8051120764
2000-01-20,1083.08,1120.74,1070.82,1110.9,0.0713361,0.9424126919
2000-01-21,1126.99,1168.72,1103.24,1129.58,0.14910805,2.1843916319
2000-01-24,1132.79,1173.21,1107.69,1159.15,0.13587003,1.945962885
2000-01-25,1161.33,1216.91,1135.23,1155.72,0.15140163,2.3288534619
2000-01-26,1159.44,1169.18,1125.13,1150.18,0.06003205,0.8112145181999999
2000-01-27,1148.01,1196.71,1135.45,1184.04,0.13457039,1.9968497628
2000-01-28,1194.97,1226.11,1155.26,1196.77,0.14307652,2.0590062029
2000-02-14,1225.22,1310.79,1206.61,1308.24,0.15010034,2.2601824344
2000-02-15,1326.42,1413.06,1252.8,1304.35,0.23350972,3.8124396587000002
2000-02-16,1292.61,1333.95,1212.46,1308.48,0.19263992,2.9593486349
2000-02-17,1355.66,1397.41,1193.45,1202.97,0.24152107,3.7473391455000002
2000-02-18,1185.11,1276.0,1168.59,1261.79,0.14131409,2.1175168034
2000-02-21,1260.05,1288.08,1191.89,1252.33,0.18282887,2.6087679362
2000-02-22,1241.9,1283.31,1200.23,1224.01,0.1418778,2.012881709
2000-02-23,1203.96,1257.3,1191.59,1229.54,0.12529062,1.7469964172999999
2000-02-24,1237.05,1323.11,1228.78,1302.13,0.23099829,3.1256600952999998
2000-02-25,1313.34,1345.02,1264.8,1306.26,0.19586469,3.0166792308
2000-02-28,1324.05,1403.12,1315.45,1385.63,0.20895955,3.3020814195
2000-02-29,1397.84,1468.59,1360.7,1423.07,0.20693557,3.7292510775
2000-03-01,1417.01,1432.7,1337.92,1351.13,0.134542,1.980760529
2000-03-02,1342.38,1400.61,1305.29,1358.88,0.15168201,2.239318029
2000-03-03,1377.61,1412.25,1341.41,1376.22,0.13136765,1.9149734743
2000-03-06,1384.46,1397.36,1291.91,1298.8,0.11483285,1.6611633921000002
2000-03-07,1282.87,1332.07,1268.76,1321.72,0.06965208,0.9756662572
2000-03-08,1328.07,1388.41,1313.88,1371.19,0.08743883,1.4942687119
2000-03-09,1372.45,1415.12,1354.0,1375.33,0.0998487,1.6690122680000001
2000-03-10,1380.46,1410.42,1327.77,1351.0,0.09949772,1.5225550344999998
2000-03-13,1353.82,1415.76,1335.97,1407.71,0.09476081,1.5539789675
2000-03-14,1359.71,1417.32,1313.6,1399.08,0.13405374,2.2636228577
2000-03-15,1388.62,1437.58,1362.97,1395.44,0.13595553,2.2985566087000002
2000-03-16,1387.11,1399.73,1325.06,1343.83,0.08098326,1.3331688945
2000-03-17,1323.0,1404.36,1307.78,1384.65,0.09306213,1.4938888028
2000-03-20,1371.86,1499.34,1351.78,1492.21,0.23275001,3.6469979058999997
2000-03-21,1540.71,1569.93,1461.09,1507.28,0.21599693,3.4377228433
2000-03-22,1511.43,1557.89,1476.76,1524.52,0.18134553,2.7218306838
2000-03-23,1529.33,1587.88,1504.96,1567.97,0.20109955,3.342106133
2000-03-24,1574.46,1628.18,1523.35,1566.96,0.17685101,2.9232731131
2000-03-27,1588.38,1628.86,1556.27,1602.52,0.10825362,1.847986736
2000-03-28,1641.72,1682.66,1554.16,1610.81,0.21778986,3.6083135219
2000-03-29,1613.88,1657.56,1538.95,1611.09,0.14521646,2.4426428236
2000-03-30,1611.41,1666.63,1581.03,1649.01,0.14507711,2.4041463519999997
2000-03-31,1644.01,1672.01,1584.58,1614.36,0.15815591,2.4816225091
2000-04-03,1610.8,1634.69,1569.73,1608.14,0.12934521,2.0924618401
2000-04-04,1599.53,1633.03,1556.17,1601.32,0.11599846,2.0878745306
2000-04-05,1599.98,1637.62,1562.07,1599.0,0.07947101,1.1759116159
2000-04-06,1600.33,1673.61,1583.23,1658.75,0.11360811,2.056098263
2000-04-07,1671.66,1696.8,1632.4,1659.74,0.0862446,1.30040785
2000-04-10,1667.05,1691.83,1633.15,1652.24,0.12726833,1.7096701337
2000-04-11,1660.71,1669.16,1606.46,1629.28,0.07566114,1.1787003256
2000-04-12,1629.22,1650.79,1576.17,1607.96,0.07849737,1.2632936172
2000-04-13,1607.15,1630.59,1577.57,1609.77,0.07256919,1.2075908689000001
2000-04-14,1608.61,1638.85,1563.25,1619.82,0.07767214,1.3008771653
2000-04-17,1606.22,1633.86,1528.79,1556.75,0.09294537,1.6508247663
2000-04-18,1567.78,1609.99,1532.22,1566.14,0.02658768,0.35000111
2000-04-19,1585.23,1625.11,1570.21,1598.25,0.08853512,1.4430819254
2000-04-20,1599.8,1641.5,1586.43,1621.3,0.0626115,1.019834371
2000-04-21,1625.48,1648.46,1573.72,1608.58,0.078588,1.2352663225
2000-04-24,1610.33,1635.63,1566.93,1597.83,0.11099576,1.66341075
2000-04-25,1603.32,1624.9,1557.79,1590.99,0.06615314,1.0182156996
2000-04-26,1591.28,1616.37,1532.89,1577.82,0.04632773,0.7272281835
2000-04-27,1576.5,1592.1,1542.26,1552.21,0.05271029,0.7617154284000001
2000-04-28,1550.53,1592.45,1539.18,1584.16,0.04189746,0.6457619806
2000-05-08,1594.64,1606.18,1555.32,1571.3,0.02428345,0.3935361275
2000-05-09,1573.05,1583.03,1523.58,1531.18,0.03065882,0.547260691
2000-05-10,1525.42,1537.32,1463.88,1478.86,0.02455312,0.4226710694
2000-05-11,1462.74,1496.31,1431.49,1467.3,0.04200405,0.702351242
2000-05-12,1465.98,1510.74,1455.4,1492.37,0.06300286,1.1873119067
2000-05-15,1489.65,1512.62,1452.77,1484.79,0.03186339,0.5057274381
2000-05-16,1478.54,1522.01,1473.45,1503.01,0.03264649,0.5833555412
