date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.06711252,0.8675428125
2000-01-04,994.75,1030.87,983.27,1024.14,0.10577806,1.5797689818
2000-01-05,1022.9,1042.11,1003.6,1018.29,0.1092808,1.6189783765
2000-01-06,1013.2,1065.15,999.95,1058.9,0.17169694,2.5718439128
2000-01-07,1067.8,1105.12,1049.77,1097.29,0.29057422,4.3781905125
2000-01-10,1103.53,1145.33,1082.72,1128.66,0.31615408,4.9508035284
2000-01-11,1133.84,1152.74,1075.46,1097.24,0.22247708,3.6977351281
2000-01-12,1087.18,1113.13,1046.88,1066.16,0.14244438,2.2451490348
2000-01-13,1064.71,1084.51,1043.26,1061.57,0.08158737,1.3268094302
2000-01-14,1063.3,1081.75,1039.97,1055.16,0.07791818,1.2675210829999999
2000-01-17,1054.93,1097.68,1043.51,1088.95,0.12042179,2.249139284
2000-01-18,1088.8,1107.22,1060.33,1075.61,0.14257276,2.4331159394
2000-01-19,1074.98,1116.13,1059.56,1101.18,0.13308761,2.2106395745
2000-01-20,1094.12,1139.38,1082.67,1125.25,0.24573356,4.2087215675
2000-01-21,1128.13,1158.86,1098.52,1121.09,0.39542275,6.5371192635
2000-01-24,1124.1,1173.61,1100.46,1154.84,0.25281001,4.111404466600001
2000-01-25,1159.07,1184.82,1118.71,1137.45,0.21882301,3.5654929066000003
2000-01-26,1135.74,1153.37,1108.72,1129.17,0.12836946,2.1525607831
2000-01-27,1134.51,1179.81,1107.82,1154.02,0.26706152,4.4708364802
2000-01-28,1161.23,1185.51,1129.99,1165.52,0.27644714,4.5301389971
2000-02-14,1205.53,1270.4,1189.37,1265.36,0.53247154,9.1395644098
2000-02-15,1291.09,1338.74,1216.69,1246.48,0.57247251,10.1222289655
2000-02-16,1254.69,1277.12,1187.79,1223.52,0.48680301,8.6850855406
2000-02-17,1240.37,1287.01,1137.09,1174.89,0.55501818,9.5358611574
2000-02-18,1160.1,1211.65,1131.15,1200.19,0.41436569,6.6426584986
2000-02-21,1214.62,1266.7,1167.24,1224.03,0.44686123,7.5663386483
2000-02-22,1221.47,1268.87,1176.47,1202.96,0.30336809,4.9689389184
2000-02-23,1193.0,1241.87,1156.76,1193.75,0.31684225,5.291100006000001
2000-02-24,1200.39,1267.43,1187.3,1246.96,0.41209246,6.6024621574
2000-02-25,1260.4,1303.71,1223.77,1253.13,0.38812619,6.7589971412
2000-02-28,1252.43,1329.67,1240.29,1310.97,0.45758519,7.8058777687
2000-02-29,1317.36,1340.74,1244.17,1271.66,0.35882362,6.1054060037
2000-03-01,1280.72,1307.24,1225.4,1265.28,0.26630113,4.5186779648
2000-03-02,1258.55,1300.72,1236.03,1274.66,0.2280404,3.7815963348
2000-03-03,1279.84,1305.04,1253.83,1280.26,0.30129612,5.2419326557999995
2000-03-06,1283.99,1303.23,1209.06,1214.43,0.28583702,4.7992424861
2000-03-07,1196.87,1258.46,1187.18,1252.17,0.24429882,4.1296529328
2000-03-08,1256.31,1287.09,1224.79,1259.3,0.21549904,3.7345283051
2000-03-09,1260.51,1279.44,1231.73,1250.34,0.16640382,2.7593333369
2000-03-10,1247.91,1273.62,1218.76,1233.7,0.16914235,2.704387782
2000-03-13,1228.22,1263.86,1215.7,1252.46,0.13451807,2.2454075879
2000-03-14,1232.14,1248.08,1179.98,1215.93,0.17712309,2.7969745112999997
2000-03-15,1216.58,1253.87,1203.45,1223.19,0.17763274,2.8452220906
2000-03-16,1213.86,1223.14,1162.08,1171.98,0.20099563,3.3498511332999996
2000-03-17,1176.24,1213.59,1162.74,1202.13,0.16600896,2.7873182119999997
2000-03-20,1186.15,1240.53,1169.77,1227.07,0.21383472,3.6616937572
2000-03-21,1231.38,1266.32,1206.45,1246.56,0.26974731,4.8777191948
2000-03-22,1252.8,1275.12,1224.19,1244.55,0.21203431,3.8960877554000004
2000-03-23,1246.23,1269.6,1227.07,1258.73,0.20926604,3.5713899576999997
2000-03-24,1265.42,1283.75,1228.9,1241.52,0.24585537,4.2719213545
2000-03-27,1244.43,1294.63,1232.98,1282.55,0.3415558,5.390158443200001
2000-03-28,1289.24,1313.23,1256.57,1284.23,0.30176536,5.2529201637
2000-03-29,1279.89,1306.74,1252.33,1279.53,0.25015846,4.6111444367
2000-03-30,1282.6,1307.03,1262.76,1293.42,0.24241681,4.2212764939
2000-03-31,1300.71,1313.63,1261.19,1282.71,0.26107249,4.3130597264
2000-04-03,1288.06,1315.18,1262.57,1286.35,0.2408206,4.0668758886
2000-04-04,1277.97,1298.02,1241.38,1262.59,0.26264539,4.9431763817
2000-04-05,1258.94,1301.16,1244.27,1280.74,0.19997452,3.5088044486000003
2000-04-06,1293.06,1326.47,1278.63,1314.25,0.24477696,4.412770017200001
2000-04-07,1324.94,1346.6,1299.49,1327.56,0.23541015,3.9931560096
2000-04-10,1333.94,1360.9,1311.84,1333.09,0.29860803,5.0900505224
2000-04-11,1331.51,1348.21,1306.14,1320.92,0.2483783,4.2559675316000005
2000-04-12,1322.41,1344.92,1293.14,1311.11,0.27364862,4.8297509209
2000-04-13,1310.34,1332.53,1293.53,1310.03,0.28429568,4.9232019792
2000-04-14,1310.8,1323.9,1288.1,1303.88,0.20945618,3.4413887527
2000-04-17,1296.68,1303.69,1252.16,1263.01,0.21495636,3.4663302278
2000-04-18,1285.45,1303.65,1249.83,1271.2,0.07099702,1.19943989
2000-04-19,1317.44,1351.58,1301.29,1333.49,0.57133479,7.7550016458
2000-04-20,1343.08,1365.34,1318.84,1334.86,0.47213334,6.715678717
2000-04-21,1337.64,1368.0,1303.53,1324.77,0.41591499,6.2846068123
2000-04-24,1325.29,1341.29,1296.77,1308.36,0.3093677,4.8512315733
2000-04-25,1314.3,1333.05,1289.93,1313.7,0.16301668,2.4824323153
2000-04-26,1315.67,1347.82,1301.78,1322.05,0.1685494,2.7621846724
2000-04-27,1331.32,1342.17,1295.71,1302.2,0.17101421,2.8241206764999998
2000-04-28,1299.31,1336.72,1280.02,1324.67,0.22691142,3.8029483137
2000-05-08,1331.07,1364.13,1313.46,1335.43,0.17286601,2.9571766695
2000-05-09,1334.42,1368.01,1312.61,1335.27,0.18125955,3.4429242395
2000-05-10,1334.77,1342.7,1274.61,1285.98,0.18715344,3.2312140976
2000-05-11,1279.95,1299.64,1255.38,1268.31,0.13031244,2.0986606807
2000-05-12,1274.94,1292.06,1255.43,1266.15,0.09878029,1.5876676672999999
2000-05-15,1270.92,1284.2,1244.53,1260.3,0.08597242,1.3801378466999998
2000-05-16,1267.41,1290.28,1255.13,1276.18,0.08529637,1.3692977328
2000-05-17,1280.27,1299.81,1264.5,1275.06,0.09021788,1.4387567982
2000-05-18,1276.55,1308.45,1263.7,1299.62,0.12190287,1.9615018997999998
2000-05-19,1303.59,1333.04,1289.91,1322.28,0.18062365,3.142725139
2000-05-22,1323.91,1361.8,1308.33,1349.66,0.20683531,4.0282100751
2000-05-23,1374.77,1399.05,1332.8,1359.62,0.32274779,5.6602986700999995
2000-05-24,1364.71,1438.8,1356.43,1398.39,0.65208931,11.1072908731
2000-05-25,1410.75,1436.83,1384.86,1413.79,0.43623055,7.603760169299999
2000-05-26,1413.75,1447.28,1389.25,1419.16,0.30122117,5.4873910175
2000-05-29,1428.29,1466.1,1404.09,1428.74,0.45599762,8.4081257173
2000-05-30,1435.68,1453.38,1389.25,1401.24,0.31106818,5.5590903340999995
2000-05-31,1401.73,1439.52,1379.07,1421.02,0.28709554,5.0280171182
2000-06-01,1424.12,1448.42,1399.99,1419.94,0.25816797,4.3522482766
2000-06-02,1425.2,1445.59,1394.81,1418.45,0.31666919,5.2859527273
2000-06-05,1423.74,1455.58,1396.0,1413.65,0.34311739,5.8506871548
2000-06-06,1414.43,1437.38,1399.18,1426.98,0.20237702,3.4902064814999996
2000-06-07,1432.33,1464.54,1412.66,1440.34,0.35548071,6.5945081075
2000-06-08,1439.43,1453.76,1410.72,1425.77,0.25087902,4.4579696499
2000-06-09,1428.5,1443.56,1385.28,1394.41,0.20753315,3.6135119504000004
2000-06-12,1386.16,1409.61,1369.26,1395.83,0.18358278,3.0058485129
2000-06-13,1400.06,1431.99,1390.12,1423.07,0.18309043,3.3253509048
2000-06-14,1426.02,1440.84,1401.69,1409.26,0.15055514,2.7797963234
2000-06-15,1412.0,1429.28,1390.5,1405.78,0.10697387,1.9566683468000001
2000-06-16,1406.91,1440.17,1392.05,1404.38,0.11796062,2.1304131776
2000-06-19,1401.79,1415.89,1380.27,1393.78,0.0989918,1.8583003498
2000-06-20,1393.32,1413.63,1370.77,1386.32,0.12401503,2.3856890833
2000-06-21,1386.13,1407.94,1370.29,1394.7,0.08662103,1.61254868
2000-06-22,1397.43,1419.78,1384.05,1400.63,0.10259652,1.8731897
2000-06-23,1404.38,1443.37,1396.82,1428.25,0.19005886,3.5293147658999997
2000-06-26,1440.32,1476.73,1409.32,1455.29,0.3250904,6.1084436397
2000-06-27,1457.8,1476.62,1426.75,1444.84,0.24274471,3.9049406766000003
2000-06-28,1446.78,1490.42,1435.0,1468.26,0.36729482,6.404051367899999
2000-06-29,1472.11,1495.77,1440.44,1471.91,0.26271637,4.4199515399000004
2000-06-30,1479.86,1494.75,1441.12,1450.72,0.2688955,4.9242049374
2000-07-03,1451.49,1474.32,1414.18,1434.96,0.23511379,4.3695759358999995
2000-07-04,1430.89,1454.73,1414.28,1440.56,0.12668729,2.3278708827
2000-07-05,1443.7,1456.02,1418.22,1430.42,0.13480699,2.3650250308
2000-07-06,1433.6,1447.26,1412.18,1429.62,0.16283997,2.8141461351
2000-07-07,1424.58,1465.78,1421.16,1452.54,0.19694324,3.5684570567000002
2000-07-10,1459.89,1493.36,1438.24,1469.7,0.26544372,4.8609199675
2000-07-11,1464.6,1498.71,1436.12,1469.68,0.25595275,4.6410358141
2000-07-12,1473.91,1498.49,1455.18,1479.02,0.21107643,4.0807696109
2000-07-13,1481.52,1511.76,1451.14,1485.78,0.30915512,5.897030141
2000-07-14,1487.1,1506.28,1458.99,1484.58,0.21963965,4.0980672651
2000-07-17,1486.52,1520.93,1459.27,1482.39,0.26569321,4.815652244100001
2000-07-18,1496.83,1520.11,1468.42,1488.89,0.21831371,3.921821074
2000-07-19,1488.24,1525.06,1466.58,1484.94,0.271085,4.8931788460000005
2000-07-20,1484.63,1502.7,1457.59,1477.19,0.16868578,3.0995154725
2000-07-21,1476.48,1489.95,1462.07,1471.17,0.09862646,1.8214089628999999
2000-07-24,1472.72,1488.06,1443.72,1453.78,0.1248864,2.295603455
2000-07-25,1455.44,1477.87,1441.71,1459.31,0.08843749,1.6583490388
2000-07-26,1465.4,1486.18,1450.31,1466.14,0.10795384,1.9822747511
2000-07-27,1469.42,1488.44,1448.85,1461.64,0.14037289,2.719624125
2000-07-28,1465.36,1481.3,1447.92,1462.94,0.13466935,2.3033373865
2000-07-31,1466.5,1479.87,1448.17,1463.35,0.12063983,2.2020710203
2000-08-01,1464.55,1492.27,1451.64,1476.69,0.09625829,1.7760049085
2000-08-02,1478.55,1502.89,1467.16,1482.3,0.13277732,2.7007476823000003
2000-08-03,1489.71,1509.09,1471.24,1483.74,0.15481777,3.051743862
2000-08-04,1484.19,1501.74,1463.89,1476.81,0.14679782,2.8284003286000003
2000-08-07,1470.08,1489.54,1449.32,1471.72,0.16337053,3.0642558806999998
2000-08-08,1478.26,1496.6,1458.6,1479.89,0.12959271,2.4378231204
2000-08-09,1482.31,1501.4,1465.05,1486.01,0.20231653,3.9432611137999998
2000-08-10,1488.34,1508.24,1471.08,1489.61,0.24372849,4.640046362900001
2000-08-11,1486.65,1511.54,1475.84,1492.35,0.19983571,3.995415847
2000-08-14,1492.75,1516.78,1484.67,1500.29,0.20111401,4.0729302413
2000-08-15,1501.48,1516.18,1483.24,1497.08,0.12889276,2.4973132457
2000-08-16,1501.19,1516.49,1480.66,1498.21,0.13670415,2.6404358617
2000-08-17,1498.83,1511.85,1479.69,1488.35,0.10559364,2.0769578878
2000-08-18,1492.62,1506.49,1472.79,1489.43,0.10736088,2.1572386645
2000-08-21,1489.65,1505.79,1470.35,1492.74,0.14922562,2.7996279554
2000-08-22,1493.14,1513.23,1470.34,1482.71,0.15361397,2.8660356506999998
2000-08-23,1475.56,1499.08,1414.51,1478.15,0.26846381,4.809416172300001
2000-08-24,1479.39,1499.94,1457.44,1483.64,0.14096408,2.597140526
2000-08-25,1484.7,1515.73,1472.94,1509.31,0.24817814,4.6074744116
2000-08-28,1510.81,1531.28,1492.98,1517.27,0.21574251,3.7865482855000003
2000-08-29,1521.04,1551.68,1501.76,1528.18,0.2389213,4.5638085745999994
2000-08-30,1531.07,1550.78,1497.58,1509.82,0.28037087,5.592776669299999
2000-08-31,1502.45,1517.3,1460.27,1476.23,0.23977327,4.4102026283999995
2000-09-01,1469.84,1510.69,1447.68,1482.9,0.29525942,5.492398849600001
2000-09-04,1481.71,1528.89,1462.41,1523.63,0.33659305,6.749990594
2000-09-05,1527.27,1538.92,1473.44,1486.09,0.15104797,2.9719877089
2000-09-06,1479.48,1500.59,1448.96,1460.3,0.19442063,3.5242306843
2000-09-07,1465.18,1496.42,1455.76,1476.7,0.1980142,3.9560463975
2000-09-08,1482.2,1496.53,1461.72,1472.69,0.16887004,3.5958683297000005
2000-09-11,1477.06,1498.13,1460.22,1483.65,0.11836151,2.5223633143
2000-09-12,1488.35,1502.61,1467.97,1487.57,0.09239509,1.9559529569999998
2000-09-13,1489.08,1508.48,1472.64,1487.55,0.12298769,2.6663512796
2000-09-14,1490.48,1501.08,1461.89,1479.34,0.09870908,2.0138765131
2000-09-15,1477.32,1494.43,1456.75,1477.47,0.10908505,2.2161918217
2000-09-18,1480.04,1499.32,1449.08,1458.03,0.12483137,2.4279514465000003
2000-09-19,1446.09,1458.35,1412.94,1429.36,0.11997869,2.5102033238
2000-09-20,1431.19,1453.39,1414.66,1437.47,0.09242334,1.9436961869999998
2000-09-21,1430.05,1460.83,1412.97,1437.9,0.0943997,1.6874831105
2000-09-22,1433.67,1449.59,1414.97,1427.38,0.07921067,1.6280395671
2000-09-25,1421.91,1439.27,1393.59,1407.85,0.07555314,1.4066046433000001
2000-09-26,1407.0,1430.56,1390.25,1411.87,0.09493572,1.6887423805000001
2000-09-27,1410.1,1438.81,1398.53,1428.83,0.06713122,1.2547722464
2000-09-28,1427.85,1438.55,1398.08,1410.53,0.06937035,1.2022851836
2000-09-29,1404.2,1436.38,1400.47,1423.69,0.09709023,1.9391956181999999
2000-10-09,1424.09,1446.52,1406.25,1430.89,0.09046286,1.704878158
2000-10-10,1439.61,1470.86,1429.99,1457.91,0.11813317,2.1391276388
2000-10-11,1456.01,1478.74,1435.02,1450.19,0.10612246,2.0174458761
2000-10-12,1457.24,1471.45,1428.08,1442.47,0.08623515,1.5721836933000002
2000-10-13,1444.11,1469.98,1425.41,1441.59,0.10909074,2.041865699
2000-10-16,1440.51,1452.89,1411.74,1423.12,0.09531299,1.754640346
2000-10-17,1425.83,1444.86,1407.59,1428.78,0.07025994,1.37905116
2000-10-18,1433.86,1463.62,1413.49,1443.41,0.09689236,1.9761833319
2000-10-19,1454.73,1472.52,1433.0,1443.88,0.08759139,1.6702516956
2000-10-20,1444.48,1487.91,1427.49,1475.67,0.21377435,4.0515659495
2000-10-23,1479.97,1502.9,1460.21,1481.56,0.22419155,4.4082081671
2000-10-24,1481.47,1500.68,1461.72,1479.98,0.17919812,3.3119929364
2000-10-25,1484.16,1513.06,1466.86,1483.96,0.29005164,5.6744175733
2000-10-26,1487.07,1505.18,1459.51,1471.84,0.22502447,4.4526349007
2000-10-27,1475.71,1499.03,1457.45,1477.17,0.1888938,3.8245371154
2000-10-30,1477.51,1505.87,1464.89,1490.76,0.21054049,4.3962934222
2000-10-31,1493.59,1504.89,1461.61,1472.99,0.20362066,3.9812445613
2000-11-01,1477.78,1516.13,1464.77,1492.41,0.26611984,5.3463669779
2000-11-02,1495.63,1520.93,1475.86,1493.81,0.2587229,4.9940212719
2000-11-03,1493.35,1511.55,1476.77,1494.9,0.1807934,3.4506931287000002
2000-11-06,1498.42,1532.25,1481.74,1513.57,0.28335866,5.246251534
2000-11-07,1522.18,1537.18,1494.39,1511.85,0.22250697,4.2648663679
2000-11-08,1513.72,1539.96,1497.94,1520.18,0.26790677,4.8908001421
2000-11-09,1523.41,1552.72,1504.18,1539.62,0.31518566,6.0577204927
2000-11-10,1545.2,1572.46,1523.2,1543.63,0.29278233,5.417172973
2000-11-13,1545.99,1570.89,1528.72,1553.17,0.3112658,5.732373079199999
2000-11-14,1555.26,1588.57,1538.13,1565.34,0.27131358,5.2127304425
2000-11-15,1566.04,1591.33,1542.01,1562.56,0.34219185,6.661760096699999
2000-11-16,1561.75,1602.51,1550.62,1584.35,0.33255355,6.486432210299999
2000-11-17,1586.89,1610.85,1565.42,1586.91,0.33724733,6.0878539237
2000-11-20,1573.55,1600.11,1546.73,1574.09,0.38557549,7.148219286000001
2000-11-21,1574.91,1600.2,1556.38,1571.47,0.32519983,6.404782562
2000-11-22,1572.83,1624.04,1560.85,1611.75,0.38237593,7.840992158300001
2000-11-23,1617.85,1649.86,1595.83,1618.5,0.4068328,8.6137779641
2000-11-24,1617.29,1633.14,1555.42,1569.1,0.38418817,7.492195618099999
2000-11-27,1557.11,1588.31,1530.53,1559.6,0.27097592,5.616240896900001
2000-11-28,1563.51,1613.04,1555.77,1597.51,0.24386054,4.9845600403
2000-11-29,1601.43,1614.76,1570.87,1585.51,0.16352414,3.2626300541
2000-11-30,1585.83,1604.34,1563.53,1580.64,0.13035599,2.6050574064
2000-12-01,1585.08,1604.72,1568.05,1584.99,0.1444932,2.7508638497000004
2000-12-04,1587.51,1617.65,1567.57,1600.93,0.19329174,3.6093660829000003
2000-12-05,1603.04,1621.33,1582.42,1600.18,0.15026279,3.0613029100999998
2000-12-06,1605.4,1619.25,1569.02,1583.93,0.19288238,3.7557404057999997
2000-12-07,1579.68,1591.01,1552.85,1567.02,0.14711003,2.9908056167000003
2000-12-08,1562.81,1583.88,1549.84,1566.31,0.11861671,2.3787395538
2000-12-11,1561.45,1574.44,1525.57,1537.34,0.12568999,2.4904389550999997
2000-12-12,1536.02,1562.88,1523.01,1549.54,0.10896339,2.0973680546
2000-12-13,1551.1,1567.54,1534.02,1552.05,0.16220829,3.3704940696
2000-12-14,1551.86,1566.65,1532.96,1547.79,0.12858837,2.5787678353
2000-12-15,1546.82,1561.27,1528.01,1540.3,0.10224143,2.1234426649
2000-12-18,1540.14,1564.49,1520.31,1553.38,0.15172798,3.1050984763
2000-12-19,1555.96,1576.32,1536.74,1555.22,0.17463525,3.5554852967
2000-12-20,1552.18,1587.94,1540.37,1574.73,0.20349559,4.2692240756
2000-12-21,1574.1,1602.11,1555.6,1571.82,0.15711749,3.325372823
2000-12-22,1573.63,1592.39,1549.19,1563.63,0.16506282,3.3878378506
2000-12-25,1566.59,1581.77,1542.77,1558.28,0.15753067,3.1208911126
2000-12-26,1561.65,1584.12,1543.9,1570.79,0.18190726,3.6403487917
2000-12-27,1575.28,1590.38,1541.6,1561.46,0.19940344,3.997848377
2000-12-28,1560.45,1584.32,1540.31,1564.0,0.16313656,3.2602936235000004
2000-12-29,1567.52,1605.19,1554.69,1592.37,0.20810888,4.2179657075
2001-01-02,1595.15,1672.88,1577.26,1649.27,0.51500387,10.5358640805
2001-01-03,1654.48,1692.87,1635.01,1653.76,0.56475532,11.5994114697
2001-01-04,1655.45,1675.2,1624.55,1641.86,0.28604363,5.7895228014999995
2001-01-05,1641.92,1676.45,1630.82,1653.32,0.2735434,5.4604187642
2001-01-08,1656.85,1676.41,1616.19,1636.78,0.27472839,5.6162642224
2001-01-09,1632.95,1656.01,1608.64,1632.53,0.20738065,4.1767444677
2001-01-10,1633.84,1665.53,1617.11,1643.47,0.2260215,4.5211157497
2001-01-11,1643.34,1666.03,1617.97,1635.81,0.18969035,3.9591936554
2001-01-12,1629.1,1644.9,1598.49,1611.54,0.15697372,3.2357842667
2001-01-15,1604.2,1610.03,1533.41,1546.12,0.19827803,3.9234109310000003
2001-01-16,1529.15,1566.54,1508.82,1550.54,0.15097163,2.9006552462
2001-01-17,1548.88,1563.42,1530.97,1545.87,0.08358209,1.6353016365000002
2001-01-18,1550.57,1576.1,1537.85,1555.31,0.12036481,2.388892201
2001-01-19,1560.39,1583.29,1551.25,1573.02,0.1045559,2.1432963434
2001-02-05,1572.39,1585.65,1510.74,1521.03,0.12439317,2.3792650091
2001-02-06,1514.93,1524.08,1464.47,1504.17,0.11785505,2.2487768749
2001-02-07,1506.68,1518.01,1476.53,1488.52,0.06399717,1.2494123054000001
2001-02-08,1479.73,1503.18,1423.9,1445.44,0.09178406,1.7178811433
2001-02-09,1457.21,1486.7,1439.09,1467.52,0.10436952,2.0095380438
2001-02-12,1466.61,1482.89,1433.91,1471.17,0.11978654,2.5328669804
2001-02-13,1473.14,1493.05,1456.45,1470.14,0.10889381,2.0284932457
2001-02-14,1467.44,1484.32,1456.07,1471.57,0.09095832,1.654834744
2001-02-15,1468.81,1483.47,1452.1,1459.5,0.11174815,1.9660467559
2001-02-16,1454.63,1473.23,1429.83,1460.26,0.11656484,1.9154004866
2001-02-19,1462.0,1485.7,1447.48,1476.92,0.10287856,1.7955973184
2001-02-20,1477.18,1495.94,1450.6,1462.76,0.14148302,2.5797830208000003
2001-02-21,1458.08,1463.83,1416.88,1428.27,0.13465098,2.3012290475
2001-02-22,1425.37,1451.06,1411.99,1425.07,0.09411439,1.642580242
2001-02-23,1428.35,1451.4,1411.62,1439.83,0.10681858,1.9237696216
2001-02-26,1445.63,1469.84,1434.5,1456.68,0.09776081,1.7474507502
2001-02-27,1461.38,1472.25,1440.05,1459.39,0.10663454,1.9696616747
2001-02-28,1459.06,1476.21,1440.4,1461.68,0.10044859,1.9499604069
2001-03-01,1465.74,1486.17,1452.46,1473.11,0.13996584,2.7405140664
2001-03-02,1476.07,1499.67,1465.01,1485.51,0.25758077,4.6967247722000005
2001-03-05,1490.42,1502.52,1470.0,1484.59,0.17916736,3.2806790519
2001-03-06,1495.3,1511.34,1464.3,1483.77,0.41856657,7.8972495272000005
2001-03-07,1488.04,1502.86,1469.41,1486.69,0.29652947,5.508339113
2001-03-08,1483.19,1498.52,1467.18,1481.39,0.2209462,4.2164615741
2001-03-09,1483.47,1502.13,1469.53,1487.27,0.23887444,4.5840454303
2001-03-12,1489.02,1506.63,1469.47,1486.99,0.267641,5.390502583
2001-03-13,1485.53,1497.32,1460.85,1470.94,0.23261865,4.4584830626
2001-03-14,1469.27,1494.28,1463.74,1485.4,0.26835607,5.0810453913
2001-03-15,1487.24,1500.24,1471.79,1484.82,0.23832439,4.5166648228
2001-03-16,1484.9,1498.89,1470.21,1483.25,0.27753773,5.2023503576
2001-03-19,1481.64,1498.36,1469.33,1484.26,0.22727117,4.2570288430000005
2001-03-20,1492.43,1505.68,1471.26,1489.7,0.22157908,4.0532273514999995
2001-03-21,1489.11,1513.23,1481.3,1504.06,0.25774897,4.7500784956
2001-03-22,1505.77,1537.99,1498.6,1520.16,0.31472954,6.0420054604999995
2001-03-23,1523.8,1533.17,1490.5,1494.95,0.25375926,4.7702641516
2001-03-26,1494.35,1526.97,1488.38,1520.63,0.21204067,3.9661840207999997
2001-03-27,1526.94,1540.38,1511.52,1529.54,0.24900148,4.7629888256
2001-03-28,1530.1,1553.1,1519.01,1541.4,0.25782504,4.9545709085
2001-03-29,1541.26,1559.0,1529.97,1540.61,0.26080003,4.9718586038
2001-03-30,1538.05,1555.93,1525.22,1546.74,0.23771979,4.4949532916
2001-04-02,1550.53,1568.37,1536.77,1551.58,0.31385585,6.0500079507
2001-04-03,1556.18,1574.21,1531.58,1550.56,0.25589451,4.7348820686
2001-04-04,1549.88,1558.21,1511.07,1517.56,0.25152266,4.8036219816
