date,open,high,low,close,volume,amount
2007-06-29,1000.0,1000.0,1000.0,1000.0,0.05636703,0.39841777
2007-07-02,999.54,1004.37,953.89,1002.08,0.04079923,0.23486393
2007-07-03,1001.41,1012.38,951.24,1003.48,0.03413249,0.21635596
2007-07-04,1005.54,1007.19,958.02,998.88,0.02309411,0.14219758
2007-07-05,997.82,998.45,942.28,980.6,0.03769181,0.22211907
2007-07-06,976.24,993.41,930.48,990.53,0.04771086,0.27474442
2007-07-09,991.98,1000.4,947.83,997.74,0.0438951,0.26499348
2007-07-10,996.29,999.01,946.21,986.53,0.02830578,0.17133702
2007-07-11,987.31,993.63,946.11,992.95,0.02233786,0.13809819
2007-07-12,993.94,999.34,952.63,993.98,0.0433668,0.23838612
2007-07-13,993.28,1000.03,949.91,992.84,0.02251838,0.13290572
2007-07-16,992.43,997.04,944.16,985.77,0.01975223,0.12254901
2007-07-17,985.64,992.83,945.35,991.25,0.02122817,0.12243877
2007-07-18,991.97,1005.84,951.32,1003.73,0.02042865,0.14076362
2007-07-19,1013.56,1022.49,967.31,1022.49,0.081659,0.64497101
2007-07-20,1024.27,1032.75,977.4,1026.43,0.08393739,0.63858256
2007-07-23,1023.71,1045.39,983.39,1040.73,0.06192071,0.50582726
2007-07-24,1038.73,1043.13,993.15,1035.98,0.04658195,0.38215781
2007-07-25,1036.11,1052.44,992.84,1043.18,0.03635108,0.29721744
2007-07-26,1045.5,1052.98,999.4,1046.22,0.03304095,0.26578454
2007-07-27,1043.87,1054.16,998.5,1050.89,0.03850641,0.28980553
2007-07-30,1052.97,1073.6,1012.4,1073.6,0.04088633,0.31857503
2007-07-31,1154.1,1172.31,1151.14,1162.59,0.07266469,0.7869477933
2007-08-01,1246.58,1248.06,1220.98,1220.98,0.06882731,0.6926128912
2007-08-02,1306.07,1325.01,1304.25,1322.69,0.06164102,0.5705489892
2007-08-03,1416.54,1432.95,1306.18,1430.64,0.38007173,6.524338724500001
2007-08-06,1404.24,1445.0,1359.67,1384.11,0.18923294,2.6046093552
2007-08-07,1382.28,1475.12,1348.88,1401.95,0.15085195,2.1500851822
2007-08-08,1361.09,1388.64,1284.54,1345.79,0.11209028,1.6907914007
2007-08-09,1344.5,1413.0,1322.41,1369.67,0.12827882,1.7099654588
2007-08-10,1369.42,1387.31,1281.49,1329.01,0.0797757,1.0592828403
2007-08-13,1318.35,1350.35,1239.74,1286.27,0.09977234,1.4158783186000001
2007-08-14,1281.0,1355.92,1261.41,1322.87,0.06696489,0.9291743808
2007-08-15,1333.73,1349.7,1231.66,1299.59,0.10527569,1.3163032778000001
2007-08-16,1311.07,1342.14,1273.68,1328.59,0.10908816,1.2008112483
2007-08-17,1336.3,1369.96,1292.06,1320.77,0.14494549,1.8396899869
2007-08-20,1337.76,1403.08,1324.99,1372.27,0.08592179,1.3386482059
2007-08-21,1380.41,1444.4,1355.78,1425.77,0.13118956,1.7807483182
2007-08-22,1407.84,1446.05,1373.06,1402.17,0.10687146,1.6688165312
2007-08-23,1434.57,1442.4,1373.16,1390.91,0.07119,1.0841165714
2007-08-24,1404.04,1421.58,1383.21,1403.36,0.05602626,0.8502029349
2007-08-27,1413.19,1440.91,1374.37,1402.54,0.1222044,1.5511063580000002
2007-08-28,1384.46,1401.39,1326.07,1334.74,0.09699138,1.2941380237
2007-08-29,1318.58,1346.46,1279.8,1313.72,0.10907672,1.3270477351
2007-08-30,1312.83,1382.31,1309.84,1366.3,0.09463646,1.1986266453
2007-08-31,1376.49,1430.38,1333.36,1397.4,0.09339715,1.3490801944
2007-09-03,1370.22,1421.64,1334.87,1402.49,0.04788022,0.51214581
2007-09-04,1419.47,1449.05,1349.77,1357.36,0.09994289,1.4781863894
2007-09-05,1349.75,1363.43,1293.5,1333.87,0.0877158,1.2312371358
2007-09-06,1301.23,1382.62,1294.01,1348.59,0.10279868,1.4856137974
2007-09-07,1333.22,1367.34,1299.7,1310.39,0.10351736,1.4903349633
2007-09-10,1303.57,1333.0,1241.61,1289.76,0.09636872,1.362016521
2007-09-11,1293.93,1329.03,1200.46,1210.22,0.09025076,1.1682365385
2007-09-12,1237.05,1312.11,1203.47,1298.48,0.14061294,1.8404174662000001
2007-09-13,1318.04,1351.85,1288.81,1317.86,0.07878546,1.1878665481
2007-09-14,1346.56,1349.02,1280.58,1315.76,0.09448059,1.1434837645
2007-09-17,1317.97,1346.39,1296.94,1330.38,0.07395522,1.0286316029
2007-09-18,1341.69,1393.29,1330.32,1353.87,0.08554216,1.2031830597
2007-09-19,1361.36,1372.21,1304.43,1327.34,0.06451361,0.8722789984
2007-09-20,1332.92,1358.17,1313.29,1354.96,0.04479285,0.6369968009
2007-09-21,1378.23,1395.58,1299.3,1322.85,0.10829885,1.4363673818
2007-09-24,1322.2,1357.99,1276.19,1318.0,0.05043781,0.7279315191
2007-09-25,1338.67,1357.66,1308.36,1330.41,0.05809729,0.7849788862999999
2007-09-26,1333.45,1356.86,1277.76,1281.21,0.08616763,1.1297114088
2007-09-27,1273.24,1282.86,1251.04,1261.25,0.08629952,1.0934944629999999
2007-09-28,1259.09,1347.78,1256.37,1319.35,0.15628447,1.974864622
2007-10-08,1351.87,1367.55,1287.37,1291.91,0.10571371,1.3433173937
2007-10-09,1289.7,1311.34,1236.87,1276.72,0.08042433,0.9665613127
2007-10-10,1284.22,1322.29,1253.77,1275.09,0.06902921,0.8820174962999999
2007-10-11,1273.77,1290.44,1222.23,1223.36,0.05678097,0.7155911238
2007-10-12,1219.09,1241.43,1130.41,1193.44,0.0985183,1.1998269927
2007-10-15,1200.0,1207.98,1135.94,1194.57,0.04672975,0.6305885014
2007-10-16,1189.67,1241.25,1180.56,1199.12,0.07434127,0.8632487295
2007-10-17,1209.98,1222.11,1173.35,1194.87,0.06724859,0.8052988333
2007-10-18,1188.64,1214.84,1149.17,1166.75,0.07052692,0.8209519220999999
2007-10-19,1172.86,1194.92,1139.59,1149.66,0.04238637,0.4880837257
2007-10-22,1137.87,1192.46,1098.23,1153.67,0.05479611,0.6159316138
2007-10-23,1155.72,1179.32,1106.48,1161.22,0.03743028,0.439469169
2007-10-24,1161.68,1254.73,1130.8,1241.44,0.09367667,1.2817515358
2007-10-25,1227.94,1260.3,1146.48,1157.51,0.06492773,0.8771495586
2007-10-26,1141.91,1205.27,1124.54,1144.24,0.02694634,0.37151137219999997
2007-10-29,1142.39,1153.71,1054.14,1070.01,0.06187659,0.6785282145
2007-10-30,1071.7,1102.57,1031.48,1072.65,0.03996884,0.4333005397
2007-10-31,1072.8,1131.03,1068.03,1120.56,0.04204359,0.47252313310000005
2007-11-01,1123.52,1130.63,1069.33,1082.25,0.04499242,0.491867734
2007-11-02,1071.92,1109.07,1049.61,1088.57,0.03301207,0.34303717149999996
2007-11-05,1078.38,1142.96,1060.12,1102.78,0.02996439,0.34061234590000006
2007-11-06,1098.64,1133.7,1093.81,1107.7,0.02015339,0.2275455814
2007-11-07,1122.86,1133.16,1058.92,1085.63,0.02711314,0.3031585068
2007-11-08,1083.62,1087.83,1020.45,1021.76,0.03088443,0.3342417992
2007-11-09,1021.19,1041.19,973.33,1017.19,0.03158872,0.31109902289999997
2007-11-12,1003.35,1028.33,970.64,998.44,0.04726512,0.46228351149999997
2007-11-13,1003.46,1031.76,971.09,994.48,0.0342619,0.33890667560000004
2007-11-14,1013.89,1043.62,988.56,1037.55,0.02450497,0.2558791817
2007-11-15,1038.64,1044.72,1006.55,1014.02,0.01918076,0.2009834769
2007-11-16,1006.54,1052.08,1001.56,1029.28,0.01934109,0.2108925615
2007-11-19,1023.47,1067.76,1000.46,1055.19,0.03744665,0.3934533837
2007-11-20,1058.04,1093.92,1051.92,1074.18,0.02980723,0.33543916879999996
2007-11-21,1081.53,1156.54,1075.12,1115.8,0.08075361,0.9787780920999999
2007-11-22,1084.31,1102.13,1027.64,1036.65,0.04671594,0.5103319331
2007-11-23,1021.85,1059.26,1000.14,1039.27,0.02899804,0.312366417
2007-11-26,1052.98,1070.03,1015.73,1017.73,0.02033771,0.2194989289
2007-11-27,1011.94,1045.74,987.21,1011.48,0.04316924,0.4501736839
2007-11-28,1008.54,1025.38,992.69,1003.17,0.02981904,0.2888741912
2007-11-29,997.61,1030.26,981.1,1019.17,0.02265902,0.2324631256
2007-11-30,1013.91,1022.76,985.92,989.78,0.01742901,0.1799938103
2007-12-03,1002.12,1031.62,978.19,1027.42,0.02283694,0.2336841991
2007-12-04,1031.07,1064.79,1018.39,1029.52,0.02952041,0.32934591
2007-12-05,1024.83,1086.92,1019.86,1069.16,0.03474589,0.40688328869999996
2007-12-06,1031.6,1095.97,1024.34,1074.58,0.01185317,0.11740553
2007-12-07,1085.62,1099.93,1055.12,1079.96,0.03095497,0.362003298
2007-12-10,1064.45,1098.33,1054.65,1088.22,0.037963,0.43571613060000003
2007-12-11,1088.95,1127.51,1067.89,1114.83,0.05278597,0.6205769918
2007-12-12,1107.59,1128.03,1085.95,1099.16,0.03966275,0.4631716677
2007-12-13,1097.14,1137.24,1081.48,1113.12,0.14375592,1.7514577174000001
2007-12-14,1093.18,1137.62,1072.92,1122.0,0.09019041,1.0809713328
2007-12-17,1127.13,1169.66,1104.29,1143.64,0.11677837,1.4666995739
2007-12-18,1145.4,1172.0,1121.59,1134.54,0.04858332,0.610803682
2007-12-19,1150.73,1172.34,1129.14,1142.17,0.07606809,0.9521819394
2007-12-20,1150.26,1164.54,1138.64,1157.53,0.05120121,0.6300136034
2007-12-21,1150.17,1169.06,1136.16,1164.84,0.06672171,0.8179958748999999
2007-12-24,1178.99,1199.61,1158.5,1168.81,0.0829812,1.0554252687999999
2007-12-25,1172.1,1178.57,1149.16,1162.67,0.05047936,0.6260231337
2007-12-26,1164.25,1211.24,1163.04,1206.76,0.09494589,1.1775585692000001
2007-12-27,1210.2,1231.55,1183.91,1202.38,0.09221325,1.1789050286
2007-12-28,1201.68,1244.79,1188.38,1228.39,0.11543835,1.4357439492
2008-01-02,1244.6,1306.11,1237.61,1299.57,0.11246694,1.6083530568000002
2008-01-03,1302.31,1347.24,1275.18,1312.13,0.11758632,1.6043260741
2008-01-04,1304.5,1319.0,1279.58,1296.75,0.07819925,1.0388279288
2008-01-07,1290.69,1332.16,1278.78,1310.7,0.07641276,1.02480235
2008-01-08,1312.39,1338.24,1251.86,1273.15,0.12562995,1.6871592316
2008-01-09,1258.81,1298.17,1245.02,1283.75,0.0811635,1.0914368485
2008-01-10,1289.73,1317.09,1273.47,1295.85,0.07103698,0.9843307286
2008-01-11,1288.62,1302.47,1244.74,1280.25,0.0765031,0.980188273
2008-01-14,1286.87,1311.43,1263.14,1287.6,0.08115345,1.0171133438
2008-01-15,1288.22,1306.73,1272.02,1290.73,0.062828,0.8110297886
2008-01-16,1281.32,1308.38,1243.36,1283.73,0.09557001,1.1958848014
2008-01-17,1273.89,1309.41,1183.55,1248.14,0.09048085,1.1537759099
2008-01-18,1251.11,1292.75,1236.81,1279.83,0.05794555,0.7601547566
2008-01-21,1280.87,1309.12,1235.46,1245.84,0.07761788,1.0582584312
2008-01-22,1216.41,1243.82,1131.29,1170.44,0.12744088,1.675175075
2008-01-23,1149.58,1215.73,1107.89,1201.72,0.21854214,2.9020364695999996
2008-01-24,1224.21,1271.56,1164.26,1233.08,0.17102411,2.41128257
2008-01-25,1224.92,1271.7,1193.68,1223.58,0.13664353,1.9277447881
