date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.11270804,1.0831323154999999
2000-01-04,1000.35,1035.71,984.7,1025.48,0.28038116,2.7850332836000002
2000-01-05,1026.39,1059.85,1012.44,1033.28,0.40450132,4.1311346548
2000-01-06,1031.73,1082.54,1018.36,1076.26,0.44782705,4.4162518758
2000-01-07,1082.98,1129.64,1070.12,1116.28,0.88101556,9.3545922397
2000-01-10,1125.23,1149.11,1094.03,1129.34,0.73909745,7.9079325461000005
2000-01-11,1128.37,1138.69,1061.89,1073.99,0.56936596,6.0811617092
2000-01-12,1071.31,1093.14,1030.27,1047.58,0.44101931,4.6355106172000005
2000-01-13,1048.48,1064.08,1026.35,1043.1,0.26921954,2.8029066286
2000-01-14,1046.9,1059.64,1018.71,1031.63,0.24514986,2.5808404711
2000-01-17,1032.15,1057.16,1016.43,1050.93,0.26783435,3.2794191319
2000-01-18,1055.6,1102.24,1041.97,1073.38,0.38873207,4.6625595575
2000-01-19,1077.39,1094.84,1056.02,1077.31,0.34102802,3.7300326483
2000-01-20,1079.0,1103.2,1063.43,1089.83,0.41424357,4.604976223
2000-01-21,1091.91,1116.15,1067.56,1085.05,0.59442769,6.9126046292
2000-01-24,1087.59,1117.33,1057.03,1097.56,0.72189081,8.2611921644
2000-01-25,1102.67,1129.04,1075.29,1099.25,0.52019984,5.8611598267
2000-01-26,1097.47,1122.36,1078.46,1102.0,0.38488179,4.8520004918
2000-01-27,1109.38,1136.59,1087.31,1111.23,0.60586818,7.133623554400001
2000-01-28,1114.01,1141.34,1085.53,1119.29,0.66254261,7.39974015
2000-02-14,1158.73,1226.33,1142.64,1223.42,0.89809533,9.9694210493
2000-02-15,1265.92,1293.25,1206.85,1236.31,1.72591956,21.5876412877
2000-02-16,1242.36,1286.95,1192.34,1258.96,1.83464258,23.386423207199996
2000-02-17,1283.11,1345.06,1184.84,1218.21,2.19081436,28.4288259581
2000-02-18,1203.78,1264.21,1160.45,1242.81,1.24083454,15.592112950799999
2000-02-21,1265.19,1302.85,1224.51,1274.24,1.11636761,13.067725508099999
2000-02-22,1298.64,1324.86,1214.08,1232.51,1.42388968,19.3810804508
2000-02-23,1213.04,1245.52,1177.13,1196.51,0.79376823,9.5420614719
2000-02-24,1191.79,1242.26,1179.31,1229.8,0.6646083,8.3050992533
2000-02-25,1232.24,1259.14,1198.49,1225.08,0.89523241,12.107133445499999
2000-02-28,1237.76,1296.94,1214.57,1283.47,0.95989123,12.856466539100001
2000-02-29,1297.26,1321.88,1242.86,1276.61,1.34153522,18.3571498292
2000-03-01,1277.44,1311.56,1242.4,1272.2,0.88560537,11.3762443802
2000-03-02,1271.04,1305.38,1244.54,1270.87,0.84386011,11.2707174702
2000-03-03,1281.77,1321.36,1256.33,1284.42,1.15640883,13.549934589300001
2000-03-06,1295.77,1324.45,1228.29,1237.35,1.16353231,13.783785136199999
2000-03-07,1232.41,1272.83,1202.08,1258.05,1.00372248,11.3954255858
2000-03-08,1265.04,1299.7,1236.88,1279.28,1.175621,13.2226734499
2000-03-09,1283.29,1316.18,1256.07,1285.56,1.20181246,13.2580595269
2000-03-10,1286.38,1309.07,1243.97,1253.83,0.7715488,8.7670374683
2000-03-13,1249.95,1278.24,1233.33,1264.34,0.57104792,6.263515744299999
2000-03-14,1222.54,1262.68,1185.59,1235.93,0.93676995,10.2914694187
2000-03-15,1231.75,1257.34,1206.98,1230.97,0.67101809,7.391895319700001
2000-03-16,1225.97,1229.16,1153.34,1165.72,0.60955333,6.523924618200001
2000-03-17,1159.01,1221.29,1153.29,1205.52,0.61398546,6.4494950696
2000-03-20,1189.84,1248.69,1172.3,1239.02,0.84085559,9.0426374044
2000-03-21,1246.51,1287.05,1222.59,1256.43,0.85093768,10.6082651567
2000-03-22,1257.38,1285.75,1228.42,1255.54,0.65195591,8.023392785599999
2000-03-23,1260.73,1296.3,1238.46,1279.05,0.88751771,11.154809631500001
2000-03-24,1290.02,1319.12,1257.85,1266.81,1.04383248,12.6382888422
2000-03-27,1268.65,1332.55,1262.06,1319.61,1.04809683,12.869485020499999
2000-03-28,1342.76,1381.89,1306.42,1348.28,1.69883641,20.345854128499997
2000-03-29,1356.37,1383.73,1301.77,1334.61,1.40880067,16.5791740813
2000-03-30,1336.34,1368.53,1316.48,1353.21,1.00363861,12.0956322806
2000-03-31,1350.32,1371.63,1310.92,1330.71,1.06232724,12.8698429402
2000-04-03,1334.12,1376.19,1312.31,1339.06,0.99792591,12.1379159025
2000-04-04,1335.12,1358.11,1296.04,1317.52,1.08346504,13.8481330528
2000-04-05,1313.87,1355.73,1298.53,1335.39,0.89643906,11.5610966294
2000-04-06,1341.46,1383.83,1328.59,1365.16,1.01466678,12.4100267731
2000-04-07,1373.7,1404.92,1345.92,1379.33,1.1482779,14.283537740999998
2000-04-10,1385.6,1411.25,1361.14,1388.94,1.00577199,12.7275782943
2000-04-11,1386.11,1414.85,1355.65,1379.58,0.82399137,10.589773427999999
2000-04-12,1380.25,1397.81,1339.85,1364.56,0.71555275,8.9053601173
2000-04-13,1365.56,1403.6,1352.45,1384.27,0.85365326,10.2096559328
2000-04-14,1388.75,1420.63,1365.79,1394.89,1.07428354,13.193900683699999
2000-04-17,1397.33,1431.77,1351.13,1394.09,1.62711173,20.473409621
2000-04-18,1396.53,1436.27,1355.12,1398.14,0.59855072,7.69281353
2000-04-19,1406.02,1450.88,1387.72,1422.17,1.03342909,13.197484019200001
2000-04-20,1426.9,1465.91,1401.74,1432.4,1.27884031,16.8844609324
2000-04-21,1435.6,1457.37,1388.91,1405.79,1.03375588,13.363279631300001
2000-04-24,1405.83,1443.75,1375.98,1405.87,0.92474796,12.2750396319
2000-04-25,1405.29,1438.23,1383.24,1409.76,0.72150455,9.4714407332
2000-04-26,1413.27,1438.67,1387.05,1401.28,0.54743841,7.1294996436
2000-04-27,1403.22,1424.62,1361.94,1383.61,0.75069479,9.7397102277
2000-04-28,1384.78,1410.06,1361.28,1395.88,0.58306411,7.6407146987
2000-05-08,1411.8,1433.42,1372.99,1396.7,0.58099354,7.9769213193
2000-05-09,1402.44,1421.02,1370.85,1388.14,0.51744279,6.663385251699999
2000-05-10,1380.95,1394.57,1333.31,1345.39,0.48930692,6.4249529925
2000-05-11,1339.39,1359.76,1297.46,1310.1,0.41590099,5.0806769192
2000-05-12,1312.78,1342.37,1289.71,1306.41,0.45993454,5.4380439687
2000-05-15,1308.03,1325.26,1270.45,1288.21,0.41037586,5.0339411079000005
2000-05-16,1288.49,1322.85,1280.21,1311.69,0.23972006,3.0537656724
2000-05-17,1315.59,1342.73,1295.41,1309.89,0.29001533,3.7023600320999996
2000-05-18,1309.48,1343.1,1292.31,1334.81,0.33240588,4.4499305302
2000-05-19,1341.49,1371.57,1325.33,1360.5,0.5620308,7.0516953364
2000-05-22,1366.99,1423.02,1354.76,1405.34,0.92400092,11.8780715604
2000-05-23,1411.95,1432.0,1374.17,1405.17,0.70030696,8.7938335496
2000-05-24,1407.99,1446.0,1386.96,1421.81,0.85116707,11.1364735904
2000-05-25,1427.3,1455.93,1405.75,1435.49,0.88021709,10.9478645103
2000-05-26,1440.81,1468.61,1410.53,1436.21,0.78036208,10.3396797574
2000-05-29,1438.37,1468.98,1415.8,1446.6,0.75101292,9.7463909738
2000-05-30,1454.09,1483.25,1417.28,1434.41,0.73876122,9.9740457969
2000-05-31,1432.48,1477.03,1416.3,1454.58,0.66131437,8.3066978008
2000-06-01,1462.39,1495.33,1441.55,1468.42,0.78399853,9.8069034903
2000-06-02,1470.14,1500.16,1446.46,1477.54,0.90694535,11.0763122985
2000-06-05,1480.31,1517.16,1439.78,1468.03,1.34047289,16.3407364335
2000-06-06,1467.39,1514.35,1448.63,1499.28,0.90163689,11.6244942839
2000-06-07,1506.92,1545.38,1487.92,1522.66,1.45905249,18.266704576600002
2000-06-08,1529.26,1551.1,1487.61,1509.81,1.36745394,16.965446750599998
2000-06-09,1509.08,1531.13,1468.35,1484.46,0.82405233,10.2432635081
2000-06-12,1480.94,1523.17,1458.5,1505.57,0.70776829,9.6512459525
2000-06-13,1514.43,1552.62,1500.2,1537.06,1.00873932,13.103289540699999
2000-06-14,1544.02,1573.99,1515.31,1531.62,1.29764206,16.1217539113
2000-06-15,1531.99,1559.94,1504.23,1540.25,0.82201576,11.2457155037
2000-06-16,1544.78,1580.72,1515.45,1544.01,1.0921267,15.737782091500002
2000-06-19,1541.78,1578.41,1517.28,1543.17,0.96479705,13.2516479762
2000-06-20,1544.02,1562.42,1499.81,1519.87,0.74296234,10.827952466600001
2000-06-21,1517.89,1555.11,1502.23,1539.77,0.55761379,7.9361489849
2000-06-22,1544.36,1565.43,1523.53,1542.42,0.51300869,7.0729014897
2000-06-23,1541.61,1572.52,1522.98,1555.76,0.64745843,9.218938127000001
2000-06-26,1557.24,1595.14,1539.59,1574.65,0.68281708,8.9729118335
2000-06-27,1577.56,1618.52,1559.76,1592.44,1.09366688,13.740880808399998
2000-06-28,1593.51,1627.16,1576.05,1606.17,0.98556768,13.481568377
2000-06-29,1608.26,1641.27,1566.95,1609.73,1.16908656,15.7911539577
2000-06-30,1602.19,1642.5,1574.5,1609.71,0.67076858,9.6830992455
2000-07-03,1602.03,1625.54,1560.88,1587.81,1.16112482,15.36004927
2000-07-04,1579.58,1614.11,1562.54,1601.31,0.63100423,8.6592713132
2000-07-05,1604.33,1633.96,1586.49,1610.8,0.75934995,10.5908693403
2000-07-06,1608.82,1634.38,1578.5,1602.4,0.78364197,10.7217591884
2000-07-07,1605.99,1642.41,1586.54,1621.08,0.97431323,13.8609568108
2000-07-10,1630.56,1667.53,1604.07,1643.1,1.24109784,16.9021452819
2000-07-11,1648.51,1684.7,1620.8,1648.7,1.06057416,14.5678641896
2000-07-12,1655.7,1695.43,1630.92,1667.31,1.05780058,14.7984980571
2000-07-13,1671.34,1705.26,1630.88,1657.91,1.27203323,18.577524483399998
2000-07-14,1659.46,1685.04,1629.99,1658.16,0.87089645,12.8251336849
2000-07-17,1655.22,1681.32,1626.32,1639.97,0.73895116,10.600591763099999
2000-07-18,1639.68,1667.36,1616.13,1650.07,0.65680617,9.2328796517
