date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.01860906,0.2670136969
2000-01-04,1005.86,1064.1,999.96,1051.65,0.03822683,0.6300146597999999
2000-01-05,1052.27,1111.84,1046.45,1062.1,0.06180283,1.0746738579000001
2000-01-06,1057.61,1130.74,1048.96,1123.0,0.08508543,1.5081875152000002
2000-01-07,1139.02,1169.87,1116.7,1143.42,0.09646291,1.4644469146
2000-01-10,1152.12,1218.23,1137.92,1214.18,0.13951842,2.3584767633
2000-01-11,1244.51,1246.83,1133.55,1164.56,0.09148466,1.5848877218000001
2000-01-12,1158.78,1197.49,1098.49,1104.46,0.06959584,1.1582546075
2000-01-13,1098.67,1131.9,1057.79,1086.57,0.04641156,0.7789483702
2000-01-14,1090.92,1123.94,1079.39,1102.09,0.0488552,0.8779876775
2000-01-17,1107.99,1152.05,1098.68,1150.35,0.05359196,1.0398464448
2000-01-18,1155.89,1173.06,1103.78,1111.42,0.03249487,0.6119033497
2000-01-19,1103.17,1133.62,1094.19,1101.61,0.03336338,0.6277155513
2000-01-20,1102.17,1121.71,1084.12,1108.27,0.04333193,0.7751402658
2000-01-21,1114.25,1159.28,1087.21,1128.25,0.06148187,1.0849689392
2000-01-24,1123.75,1227.7,1102.99,1225.37,0.12719247,2.2617077828
2000-01-25,1231.27,1241.26,1167.04,1171.85,0.05349524,0.9640204040000001
2000-01-26,1169.61,1194.06,1146.08,1174.0,0.02450922,0.4251535079
2000-01-27,1190.67,1261.77,1171.77,1242.16,0.0748655,1.3919562627000002
2000-01-28,1243.12,1353.96,1231.04,1312.97,0.20016824,2.7726505581
2000-02-14,1400.08,1444.35,1400.08,1444.35,0.04913882,0.9209444733
2000-02-15,1552.93,1588.87,1509.16,1535.96,0.23575803,4.489284425899999
2000-02-16,1571.58,1689.67,1505.02,1601.56,0.27343719,4.8260972028
2000-02-17,1625.01,1698.44,1441.7,1441.7,0.24597167,4.2146771538
2000-02-18,1385.03,1473.37,1322.83,1437.49,0.16307557,3.0654620195
2000-02-21,1458.65,1514.05,1362.23,1375.61,0.16424669,2.6620500513
2000-02-22,1403.49,1438.4,1308.76,1333.01,0.19485843,2.8448204806999997
2000-02-23,1321.46,1407.11,1302.18,1352.75,0.09840734,1.5757247309
2000-02-24,1344.3,1400.81,1332.79,1375.8,0.06622903,1.1241039227
2000-02-25,1367.77,1399.57,1322.24,1329.2,0.07207585,1.1647307937
2000-02-28,1315.76,1461.95,1289.93,1461.11,0.19360958,3.2907235764
2000-02-29,1490.3,1544.43,1403.1,1458.78,0.2435057,3.7074325851
2000-03-01,1459.06,1507.5,1417.88,1456.47,0.12283869,1.8733989480000002
2000-03-02,1443.42,1490.07,1401.83,1434.39,0.08143646,1.304442728
2000-03-03,1444.42,1525.46,1405.0,1495.41,0.35884075,5.4107801055
2000-03-06,1508.79,1531.72,1400.06,1404.71,0.20811886,3.2738839623000002
2000-03-07,1385.5,1410.83,1322.13,1388.5,0.11326574,1.7240285772
2000-03-08,1398.88,1508.1,1398.88,1505.85,0.3642918,5.8364083196
2000-03-09,1510.36,1630.47,1492.57,1605.16,0.28919307,5.0551226449
2000-03-10,1610.39,1629.77,1518.89,1541.83,0.16030485,3.0831956061000003
2000-03-13,1463.77,1513.64,1438.29,1467.6,0.08992484,1.5699328691999999
2000-03-14,1427.53,1515.12,1391.82,1471.51,0.20593522,3.2157303081
2000-03-15,1460.25,1492.25,1401.61,1419.24,0.1508196,2.2807712177
2000-03-16,1395.27,1398.71,1319.9,1328.46,0.08872761,1.2449963768999999
2000-03-17,1324.67,1430.1,1324.67,1395.04,0.10154398,1.471298844
2000-03-20,1358.96,1470.4,1345.92,1444.68,0.07391323,1.1940940507
2000-03-21,1455.04,1532.59,1433.15,1510.71,0.15952852,3.4332516139999996
2000-03-22,1590.02,1607.47,1509.39,1585.58,0.17659488,4.0791293948
2000-03-23,1664.54,1692.22,1580.89,1686.2,0.15338049,3.1609744894
2000-03-24,1705.29,1796.95,1660.16,1681.3,0.17372976,4.3063786262
2000-03-27,1670.31,1785.86,1627.47,1766.09,0.1195155,2.4580472557
2000-03-28,1761.8,1795.73,1688.79,1722.24,0.11879853,2.3745908276
2000-03-29,1722.93,1761.35,1657.66,1711.42,0.07561365,1.6985488772
2000-03-30,1708.94,1853.08,1708.94,1838.82,0.17594903,3.1266650319
2000-03-31,1825.22,1939.49,1786.18,1859.73,0.1232802,2.9713635556
2000-04-03,1763.41,1884.65,1736.6,1752.47,0.10951107,2.5286407025999997
2000-04-04,1766.52,1783.0,1671.59,1699.25,0.05988153,1.2804821529000001
2000-04-05,1709.27,1751.05,1663.55,1699.92,0.06621991,1.2666197227
2000-04-06,1708.9,1757.71,1687.32,1750.26,0.0607021,1.1551798439
2000-04-07,1759.66,1819.11,1726.72,1794.71,0.13268456,2.851220753
2000-04-10,1833.69,1877.67,1793.79,1822.73,0.16450891,3.0108821441000004
2000-04-11,1829.18,1849.76,1729.59,1764.01,0.07242802,1.4820389179
2000-04-12,1760.64,1801.04,1653.12,1723.02,0.13201927,2.5948525111
2000-04-13,1723.7,1764.19,1691.28,1725.03,0.13337252,2.3845684632
2000-04-14,1731.27,1804.5,1663.0,1746.13,0.35506934,6.2359426624
2000-04-17,1704.63,1812.54,1648.06,1735.81,0.26625,4.7886779885
2000-04-18,1733.63,1880.94,1709.34,1800.93,0.30111382,5.40166538
2000-04-19,1821.93,1953.66,1801.68,1936.15,0.25927655,5.2231742774
2000-04-20,1970.07,2051.01,1939.17,2028.69,0.10891297,2.4252319025
2000-04-21,2110.19,2158.13,2074.87,2148.17,0.12418926,2.9787317122
2000-04-24,2271.11,2286.21,1966.87,2017.72,0.33919269,8.0304017958
2000-04-25,1950.99,2017.48,1843.39,1939.91,0.33340745,7.242693878300001
2000-04-26,1949.3,2014.62,1893.38,1951.67,0.17268552,3.8108720894
2000-04-27,1962.21,1989.61,1882.51,1905.18,0.13484373,2.9106146399
2000-04-28,1907.72,2002.98,1887.05,1986.82,0.21909244,4.8292345424
2000-05-08,2000.94,2127.68,1957.17,2127.68,0.15950492,3.6878717395
2000-05-09,2125.06,2165.47,2020.9,2065.78,0.11647503,2.7576042408999997
2000-05-10,2067.42,2079.46,1960.3,1982.37,0.07220395,1.6307195842
2000-05-11,1976.32,2020.38,1920.79,1954.59,0.07851044,1.7484840269
2000-05-12,1957.06,2060.21,1898.06,1986.05,0.07612175,1.7182905599
2000-05-15,2013.82,2043.95,1905.38,1961.88,0.08296108,1.8038886335
2000-05-16,1988.07,2035.37,1925.64,1956.39,0.01578143,0.3647760719
2000-05-17,1962.41,2099.58,1952.45,2031.67,0.0732152,1.6727593971
2000-05-18,2043.88,2148.94,2018.07,2122.94,0.1275147,3.0197430963
2000-05-19,2146.41,2200.58,2057.4,2170.37,0.07713113,1.8788947793000002
2000-05-22,2242.05,2285.89,2157.59,2249.47,0.12034247,3.0364370298
2000-05-23,2396.42,2408.07,2060.93,2127.26,0.14368702,3.5530323707
2000-05-24,2091.88,2171.32,1982.26,2117.51,0.12195917,2.8408804162
2000-05-25,2124.76,2168.31,2074.06,2113.12,0.05269968,1.2319539457
2000-05-26,2121.33,2123.51,2034.61,2079.87,0.06212475,1.3998274922
2000-05-29,2093.81,2212.55,2070.12,2196.76,0.09850243,2.3545175228
2000-05-30,2219.26,2374.37,2192.13,2355.83,0.08630982,2.2969800724000002
2000-05-31,2394.52,2472.77,2160.9,2186.17,0.1157503,3.0077978898000004
2000-06-01,2102.65,2156.07,2044.39,2111.77,0.08705184,1.9838383365999999
2000-06-02,2077.22,2219.26,2020.36,2119.83,0.10585003,2.417245035
2000-06-05,2124.36,2159.88,2079.13,2131.8,0.06333765,1.5104281641
2000-06-06,2121.8,2175.48,2067.03,2126.9,0.05493113,1.3319684814
2000-06-07,2135.66,2145.79,2062.59,2100.08,0.0430323,0.9970938306999999
2000-06-08,2069.43,2130.63,2051.26,2080.01,0.03828794,0.8719770644
2000-06-09,2086.53,2117.2,2050.91,2085.14,0.04236565,1.0017532341
2000-06-12,2084.8,2091.91,1923.63,1987.2,0.07537446,1.7029288840999999
2000-06-13,1880.23,1916.5,1843.52,1849.7,0.07179295,1.5073651199
2000-06-14,1850.38,1904.39,1831.03,1860.33,0.06227648,1.3062071224
2000-06-15,1863.07,1910.34,1828.84,1884.05,0.06225766,1.2892243775
2000-06-16,1912.1,1944.32,1842.57,1862.83,0.05459674,1.1396086856999998
2000-06-19,1876.95,1933.45,1861.46,1917.6,0.06507465,1.3693043352
2000-06-20,1921.44,1968.66,1900.84,1910.08,0.02975345,0.6408500404999999
2000-06-21,1902.87,1972.72,1899.44,1962.9,0.03184516,0.699838486
2000-06-22,1969.27,1970.64,1894.57,1903.88,0.02436512,0.5073332009
2000-06-23,1911.75,1922.57,1849.44,1893.14,0.04136135,0.8700437149
2000-06-26,1894.99,1920.98,1850.11,1867.56,0.07523793,1.5790863699000002
2000-06-27,1876.8,1920.94,1810.11,1836.49,0.02811521,0.579556526
2000-06-28,1874.24,1924.87,1803.88,1858.36,0.06233318,1.3093808503
2000-06-29,1896.13,1913.38,1815.92,1827.17,0.00644584,0.13698129
2000-06-30,1864.94,1889.3,1777.62,1795.43,0.03308439,0.68780786
