date,open,high,low,close,volume,amount
2021-12-13,1244.77,1266.39,1218.94,1241.82,1.23358397,7.1805817311
2021-12-14,1240.46,1278.4,1208.85,1255.85,2.0831723,11.3401639608
2021-12-15,1255.82,1280.59,1222.84,1233.96,1.68781361,9.0858182093
2021-12-16,1233.45,1260.61,1211.54,1229.8,1.39203417,7.656582235399999
2021-12-17,1228.58,1256.58,1211.47,1231.53,1.30278837,6.657644567799999
2021-12-20,1231.07,1272.77,1212.94,1235.66,1.61528103,8.2950205484
2021-12-21,1233.99,1338.41,1230.63,1319.67,2.55911469,16.1557841829
2021-12-22,1320.78,1364.71,1273.71,1319.45,2.04029868,15.906665763
2021-12-23,1305.87,1330.05,1275.96,1291.0,1.33776886,9.8093257196
2021-12-24,1294.59,1303.85,1250.31,1267.31,1.03959951,7.1556012211
2021-12-27,1277.08,1314.66,1267.75,1283.82,0.85581387,7.4769846500999995
2021-12-28,1284.12,1307.31,1262.49,1288.08,0.88735532,6.8904109907
2021-12-29,1287.6,1310.21,1260.67,1279.78,1.06805297,6.8277278953
2021-12-30,1292.37,1325.09,1273.14,1307.69,1.37426018,9.9961927513
2021-12-31,1309.21,1362.06,1300.66,1347.33,1.19296474,9.7232992642
2022-01-04,1341.94,1390.73,1317.52,1371.93,1.69778333,11.6196239639
2022-01-05,1370.45,1402.31,1342.4,1367.17,1.64444006,12.7783358021
2022-01-06,1362.51,1395.67,1343.4,1367.43,1.48202797,11.039472243499999
2022-01-07,1365.99,1425.81,1353.52,1384.47,2.02407148,14.608890510799998
2022-01-10,1374.7,1421.36,1337.42,1393.89,1.69834401,13.5059086631
2022-01-11,1395.38,1444.89,1373.31,1394.62,1.65348376,11.955144784000002
2022-01-12,1393.8,1416.55,1361.94,1392.98,1.58034795,12.2324018541
2022-01-13,1383.13,1426.4,1355.0,1372.39,1.81866162,13.3951586086
2022-01-14,1368.64,1391.86,1339.06,1365.9,1.50433296,10.785652535799999
2022-01-17,1372.9,1413.76,1349.2,1381.73,1.43814662,10.5991935395
2022-01-18,1384.57,1407.77,1345.84,1362.38,1.07165472,8.4622309427
2022-01-19,1363.93,1407.0,1344.81,1366.31,1.09972012,9.681929366799999
2022-01-20,1377.22,1420.94,1341.45,1356.45,1.36002375,11.0830383608
2022-01-21,1353.34,1370.23,1309.06,1324.75,1.14598883,9.314551850800001
2022-01-24,1324.67,1363.36,1306.68,1345.63,0.85329032,6.68242288
2022-01-25,1343.48,1355.42,1280.96,1285.87,1.02689647,7.0588116650999995
