date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.01091628,0.096980968
2000-01-04,997.64,1037.94,978.81,1020.89,0.01802074,0.165321981
2000-01-05,1023.01,1034.41,999.38,1007.72,0.02796557,0.2575380964
2000-01-06,1005.37,1046.97,989.63,1043.33,0.04124528,0.3785932645
2000-01-07,1053.52,1092.92,1045.09,1080.82,0.08317409,0.811442828
2000-01-10,1086.94,1167.99,1066.95,1133.66,0.13329379,1.3781609257
2000-01-11,1128.95,1133.18,1051.64,1059.4,0.0619273,0.6098376585999999
2000-01-12,1051.53,1084.2,1022.98,1030.15,0.04759283,0.4506769501
2000-01-13,1031.81,1035.79,1002.65,1013.22,0.02374323,0.22094988920000003
2000-01-14,1016.03,1025.21,997.24,1002.3,0.01806796,0.16797392739999997
2000-01-17,1003.0,1018.18,984.57,1007.12,0.01745396,0.15894886560000002
2000-01-18,1013.13,1024.06,993.16,1009.02,0.02111582,0.19465969600000002
2000-01-19,1009.26,1025.83,1004.21,1015.13,0.02062359,0.19294239850000003
2000-01-20,1020.16,1031.81,1009.37,1028.3,0.02821158,0.2673684454
2000-01-21,1031.34,1047.65,1012.88,1033.2,0.05060442,0.4867119805
2000-01-24,1038.33,1042.33,1000.16,1019.52,0.05674278,0.541802696
2000-01-25,1021.88,1045.14,1008.26,1018.14,0.0453698,0.43555306439999997
2000-01-26,1020.5,1047.25,1011.32,1035.49,0.05271714,0.5038870298
2000-01-27,1041.74,1056.54,1029.06,1040.11,0.07343226,0.7146986327
2000-01-28,1045.53,1074.36,1022.39,1060.16,0.0983656,0.9676644826
2000-02-14,1108.82,1159.1,1082.0,1154.64,0.15687227,1.6449511799
2000-02-15,1161.56,1196.39,1096.53,1126.45,0.26839004,2.8663253586
2000-02-16,1117.63,1148.29,1074.46,1119.58,0.23761847,2.5334273255
2000-02-17,1128.39,1182.73,1073.41,1103.3,0.27288608,2.8950828135
2000-02-18,1100.02,1129.39,1065.13,1098.09,0.11518124,1.1771770654
2000-02-21,1104.19,1148.74,1075.08,1111.46,0.12522586,1.3057730373999998
2000-02-22,1123.59,1157.54,1077.92,1086.02,0.08903563,0.939362411
2000-02-23,1081.09,1090.37,1049.25,1055.83,0.05169673,0.5145273228
2000-02-24,1054.54,1071.55,1041.95,1061.32,0.04399154,0.4363820024
2000-02-25,1063.32,1071.78,1037.72,1044.53,0.0436374,0.4284658263
2000-02-28,1044.3,1096.23,1036.54,1092.7,0.07380206,0.7374735022
2000-02-29,1099.4,1110.1,1054.88,1074.15,0.05928278,0.5958079788
2000-03-01,1082.74,1147.12,1072.76,1110.58,0.20304101,2.1444703919999997
2000-03-02,1114.35,1129.34,1084.94,1105.22,0.1271217,1.340038762
2000-03-03,1111.44,1159.96,1105.11,1139.62,0.20830695,2.2661652793
2000-03-06,1160.79,1185.13,1093.89,1096.24,0.22994536,2.4879665531
2000-03-07,1092.25,1139.9,1078.03,1133.54,0.09983404,1.0421881151
2000-03-08,1139.41,1153.16,1109.23,1134.71,0.09379035,1.0011852181999998
2000-03-09,1155.15,1240.56,1138.82,1203.47,0.58760094,6.652948836599999
2000-03-10,1197.95,1211.36,1139.58,1143.81,0.2441787,2.6644319384
2000-03-13,1146.28,1189.05,1145.34,1172.58,0.11493299,1.2524959761
2000-03-14,1121.81,1151.42,1072.49,1118.87,0.14522086,1.5207989631
2000-03-15,1121.45,1139.42,1089.72,1102.75,0.0847742,0.8861435888
2000-03-16,1099.2,1113.12,1044.1,1061.24,0.10005797,1.0495272182
2000-03-17,1058.54,1102.45,1051.83,1089.29,0.10172968,1.0657663963
2000-03-20,1086.7,1115.99,1071.32,1104.63,0.16678618,1.846727475
2000-03-21,1101.93,1118.35,1089.47,1105.45,0.12241305,1.3568039025
2000-03-22,1107.8,1134.55,1095.37,1116.21,0.11540152,1.2816567322
2000-03-23,1121.84,1185.2,1111.3,1176.73,0.65525958,7.9790037851
2000-03-24,1213.12,1243.12,1169.9,1178.35,0.45833722,5.8821165878
2000-03-27,1172.22,1234.14,1169.39,1226.51,0.30117574,3.9702899953
2000-03-28,1237.89,1257.28,1197.48,1214.73,0.20259726,2.5999976563
2000-03-29,1214.02,1231.41,1176.16,1205.51,0.16074411,1.9974443005000002
2000-03-30,1205.18,1267.56,1198.96,1244.42,0.23967659,2.8266870505
2000-03-31,1236.2,1300.99,1217.31,1277.63,0.18896913,2.3202464806
2000-04-03,1297.66,1363.59,1287.47,1341.65,0.44230083,5.644985735700001
2000-04-04,1354.85,1373.37,1294.32,1345.17,0.37676639,4.9079080818000005
2000-04-05,1346.0,1401.99,1317.77,1354.89,0.31050293,3.9773498295
2000-04-06,1362.03,1384.15,1338.33,1370.55,0.20640397,2.6485006662
2000-04-07,1374.07,1414.3,1355.6,1389.98,0.25060964,3.3163960291000003
2000-04-10,1396.56,1416.33,1363.18,1380.35,0.17555466,2.356689065
2000-04-11,1371.83,1382.72,1315.32,1323.43,0.17918154,2.3092666487
2000-04-12,1313.54,1354.54,1298.97,1339.29,0.11255747,1.4344235987
2000-04-13,1342.57,1355.5,1316.96,1328.36,0.10406331,1.3228610469
