date,open,high,low,close,volume,amount
2007-01-17,1005.11,1098.78,980.24,998.89,0.50948864,23.71918928
2007-01-18,1000.67,1023.31,930.08,964.93,0.52023113,22.75374848
2007-01-19,977.14,992.23,944.06,989.35,0.25919541,11.3657651
2007-01-22,991.79,1043.29,965.59,1040.18,0.33922355,15.31775086
2007-01-23,1047.72,1053.72,974.03,977.36,0.38089971,17.16027654
2007-01-24,970.03,995.78,942.95,974.47,0.215812,9.40453017
2007-01-25,954.5,957.82,883.46,906.55,0.37313678,15.53414544
2007-01-26,887.9,907.66,854.61,893.67,0.27503851,10.87187134
2007-01-29,928.3,932.3,894.78,904.55,0.22475076,9.22676925
2007-01-30,921.2,921.2,879.02,887.24,0.16031494,6.44202505
2007-01-31,887.9,896.56,836.85,848.17,0.25909516,10.05279706
2007-02-01,839.73,865.7,838.62,861.27,0.17665205,6.77999311
2007-02-02,860.82,862.15,794.67,798.89,0.34689123,12.84396423
2007-02-05,792.45,792.45,743.62,749.61,0.23935842,8.2337846
2007-02-06,743.4,766.93,732.52,766.7,0.20159321,6.78492228
2007-02-07,769.15,795.56,760.93,773.58,0.29468077,10.32332665
2007-02-08,781.35,782.91,758.05,770.26,0.12040447,4.18027084
2007-02-09,776.69,811.99,771.37,801.33,0.20162935,7.23256885
2007-02-12,791.79,815.76,790.23,803.55,0.13816314,4.99986866
2007-02-13,805.77,807.99,785.57,792.9,0.11271,4.02852127
2007-02-14,801.78,810.21,794.45,808.21,0.14579488,5.2681841
2007-02-15,814.65,847.5,809.77,843.29,0.20065706,7.4576288
2007-02-16,853.27,854.16,834.18,839.51,0.1494353,5.6738757
2007-02-26,840.62,840.62,813.1,826.86,0.21348862,7.87045365
2007-02-27,826.42,826.42,750.28,752.28,0.24353909,8.65403091
2007-02-28,749.17,796.67,745.39,796.23,0.26980758,9.40169487
2007-03-01,799.11,801.33,745.84,754.72,0.26005391,8.86908806
2007-03-02,754.72,761.38,743.4,750.28,0.15338608,5.17467279
2007-03-05,749.17,749.39,699.22,716.54,0.19729239,6.45395
2007-03-06,711.88,747.61,702.55,731.19,0.1536119,5.02011041
2007-03-07,735.85,751.39,731.41,736.07,0.12962706,4.32894053
2007-03-08,734.8,737.93,726.91,731.37,0.23631703,9.5074264
2007-03-09,731.66,736.13,713.66,726.59,0.3193923,12.51544875
2007-03-12,724.7,726.97,711.84,716.59,0.30070963,11.6193947
2007-03-13,717.69,726.32,714.54,720.12,0.22779341,8.72737306
2007-03-14,712.87,720.13,700.66,711.48,0.33604772,12.91579908
2007-03-15,718.83,736.16,712.29,715.83,0.28393411,11.22770574
2007-03-16,717.71,739.22,709.99,730.7,0.57386483,21.82244027
2007-03-19,724.34,756.27,718.04,744.72,0.39511281,13.80678443
2007-03-20,759.72,762.23,739.96,745.82,0.39071931,16.10156973
2007-03-21,747.8,750.56,731.58,737.28,0.27471808,10.95540519
2007-03-22,742.26,751.73,735.14,737.18,0.33618827,13.49932546
2007-03-23,736.99,742.98,725.21,732.05,0.2987899,11.74508334
2007-03-26,733.36,749.06,732.32,743.48,0.36567695,15.15463605
2007-03-27,742.97,748.81,736.31,741.03,0.28413297,11.36374012
2007-03-28,741.6,760.16,734.53,755.74,0.56425511,22.61126212
2007-03-29,758.87,798.15,755.87,769.34,0.91500311,38.50212375
2007-03-30,762.97,775.31,757.01,760.85,0.3044866,12.49800212
2007-04-02,761.71,782.09,760.0,776.05,0.39775147,17.0939878
2007-04-03,776.61,787.18,771.6,777.26,0.28567727,11.89817961
2007-04-04,777.63,780.36,764.64,767.86,0.29125156,11.83919621
2007-04-05,767.85,770.14,756.72,767.33,0.28704915,11.5767486
2007-04-06,763.35,782.18,760.39,769.38,0.33480318,14.37097048
2007-04-09,768.59,822.13,764.67,819.02,0.84477328,36.89981962
2007-04-10,808.84,836.6,799.01,821.51,0.8533509,37.78759027
2007-04-11,824.42,856.01,820.57,839.07,0.74851358,32.00576649
2007-04-12,847.39,881.2,832.67,838.55,0.45783551,19.82992557
2007-04-13,843.49,870.94,837.48,852.67,0.56846509,26.05075214
2007-04-16,857.61,873.28,857.5,870.32,0.48909623,21.28002104
2007-04-17,870.66,886.98,835.07,856.02,0.58857042,25.95672793
2007-04-18,845.39,854.05,822.45,831.3,0.51600864,21.25939503
2007-04-19,829.17,840.3,783.85,803.76,0.58141052,24.30932921
2007-04-20,809.9,857.18,807.73,845.62,0.46837908,20.43157315
2007-04-23,830.16,865.93,826.5,857.89,0.14693459,8.35307845
2007-04-24,884.4,901.87,853.49,857.76,0.51715809,22.76405745
2007-04-25,853.58,885.63,851.89,870.73,0.41217773,18.40703023
2007-04-26,873.74,901.85,870.11,896.37,0.50076196,23.02872151
2007-04-27,894.32,976.63,889.06,952.92,0.86788174,43.38360864
2007-04-30,945.13,1008.9,933.5,979.93,0.61205827,30.08312234
2007-05-08,1004.46,1010.26,964.56,973.58,0.43366167,21.22068199
2007-05-09,961.06,987.5,936.97,970.06,0.41554835,19.61267025
2007-05-10,973.99,981.17,949.03,953.77,0.31471092,14.93141748
2007-05-11,946.56,949.55,907.92,928.76,0.60037284,27.23386337
2007-05-14,920.97,968.66,900.49,938.67,0.4541789,22.22965403
2007-05-15,942.75,947.87,903.14,905.14,0.38206502,17.44879895
2007-05-16,904.8,926.87,894.6,921.89,0.33013404,14.96268337
2007-05-17,921.42,937.06,914.62,927.53,0.35439899,15.78948187
2007-05-18,923.44,930.62,901.95,921.85,0.40051051,18.11478751
2007-05-21,900.27,950.14,899.45,933.38,0.48770749,23.29399482
2007-05-22,934.85,960.57,930.69,940.23,0.38915334,18.47117033
2007-05-23,941.9,955.43,932.09,944.26,0.34632828,15.61250152
2007-05-24,941.52,954.26,907.44,923.03,0.38393641,17.75523203
2007-05-25,921.14,935.35,916.39,919.88,0.35890552,16.05119302
2007-05-28,924.7,956.42,917.97,952.72,0.63389721,28.97732936
2007-05-29,955.32,964.09,943.36,953.88,0.39420134,18.16354311
2007-05-30,897.33,936.4,859.85,866.45,0.64344056,29.0096715
2007-05-31,872.39,909.82,851.02,888.79,0.47665172,20.89598561
