date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.06284762,0.8824227695
2000-01-04,996.21,1033.91,983.81,1026.4,0.09701995,1.2833586298000002
2000-01-05,1029.93,1056.24,1014.35,1024.3,0.1010248,1.3062828098
2000-01-06,1020.8,1064.96,1010.38,1059.01,0.12983368,1.7037159077000001
2000-01-07,1072.1,1109.35,1061.53,1101.22,0.27405031,3.7747119422
2000-01-10,1110.39,1148.04,1090.74,1128.8,0.32232549,4.6637493036
2000-01-11,1130.24,1136.23,1056.94,1068.36,0.20297082,2.8690125742
2000-01-12,1062.2,1090.63,1038.16,1054.16,0.17770463,2.5652678685
2000-01-13,1053.88,1066.12,1024.9,1037.11,0.08965355,1.2633746738
2000-01-14,1040.16,1059.41,1016.61,1030.2,0.08822004,1.2026793152
2000-01-17,1035.42,1071.33,1023.91,1061.17,0.10749912,1.6392236172
2000-01-18,1060.63,1084.86,1042.19,1063.03,0.10584156,1.5072552351
2000-01-19,1065.8,1098.33,1057.62,1084.87,0.09681809,1.4528095034000001
2000-01-20,1085.43,1124.09,1077.17,1113.92,0.19096021,2.7994019849000003
2000-01-21,1112.07,1140.61,1085.93,1112.38,0.30351048,4.3824429607
2000-01-24,1108.52,1151.12,1089.18,1135.91,0.27363274,4.1005661698
2000-01-25,1140.55,1161.17,1102.75,1128.72,0.19528808,2.8964439538
2000-01-26,1128.07,1161.64,1108.94,1142.49,0.20099061,3.1132215219
2000-01-27,1157.89,1189.01,1134.17,1166.09,0.27867963,4.3944554379000005
2000-01-28,1167.42,1213.15,1144.94,1191.93,0.36688818,5.9444318976999995
2000-02-14,1230.82,1308.19,1210.65,1303.43,0.39318695,6.670074802699999
2000-02-15,1335.07,1392.71,1255.2,1293.14,0.55491672,9.322359804400001
2000-02-16,1309.55,1359.95,1266.52,1332.88,0.61896662,11.2084622973
2000-02-17,1382.9,1421.82,1226.85,1267.78,0.84146258,14.3743103339
2000-02-18,1236.32,1329.54,1203.62,1309.32,0.47924201,7.9043548875
2000-02-21,1327.31,1361.61,1262.85,1307.62,0.62893006,10.614308999299999
2000-02-22,1297.06,1346.61,1246.8,1268.48,0.38855518,6.2511168817
2000-02-23,1249.53,1298.57,1214.82,1250.92,0.37264873,5.851075638999999
2000-02-24,1247.97,1307.95,1237.16,1289.05,0.28407179,4.5727532325
2000-02-25,1285.74,1310.75,1243.62,1265.21,0.38541407,6.301931662
2000-02-28,1265.42,1336.79,1249.56,1323.73,0.43455908,7.1279437992
2000-02-29,1333.5,1378.55,1284.34,1329.07,0.37764295,6.2762425971
2000-03-01,1338.11,1355.85,1287.32,1308.1,0.25750912,4.0091554301
2000-03-02,1317.28,1342.71,1276.52,1306.36,0.25510279,4.1582027000999995
2000-03-03,1319.45,1363.22,1304.17,1338.99,0.35439172,5.5725522202999995
2000-03-06,1345.49,1376.41,1266.03,1278.58,0.33911193,5.463291906499999
2000-03-07,1270.41,1310.34,1250.72,1294.59,0.19431713,2.9790598336
2000-03-08,1301.42,1327.58,1275.8,1315.94,0.28005704,4.3529028934
2000-03-09,1327.09,1358.53,1296.72,1320.93,0.36735191,5.9048789978
2000-03-10,1319.36,1352.89,1288.1,1307.74,0.28078335,4.5560323926
2000-03-13,1315.68,1347.54,1294.15,1322.95,0.21399206,3.5113480743000003
2000-03-14,1294.78,1326.53,1251.62,1298.91,0.31119579,4.7106280419
2000-03-15,1298.09,1333.91,1273.89,1295.57,0.2518237,3.7343800755000003
2000-03-16,1289.79,1297.3,1212.86,1229.88,0.24633706,3.5309124816
2000-03-17,1235.83,1298.5,1220.66,1281.6,0.31170917,4.601196810299999
2000-03-20,1278.44,1341.45,1249.51,1328.32,0.40346247,6.0770628156
2000-03-21,1339.36,1372.61,1310.44,1343.86,0.34472864,5.3399901744
2000-03-22,1349.02,1393.25,1326.42,1352.66,0.33522618,5.1505031038
2000-03-23,1357.42,1385.25,1331.69,1364.83,0.27007041,4.2665489995999994
2000-03-24,1377.74,1397.85,1333.37,1351.97,0.30295162,5.150686079100001
2000-03-27,1357.52,1406.74,1325.9,1374.09,0.31731633,5.0088735166000005
2000-03-28,1384.06,1420.23,1344.84,1393.6,0.41886938,6.2341762686
2000-03-29,1402.07,1424.38,1357.4,1390.67,0.34686583,5.3443977593000005
2000-03-30,1389.93,1411.67,1364.16,1389.58,0.26411624,4.1836822674
2000-03-31,1389.49,1398.92,1348.55,1369.58,0.24083971,3.8112480938999997
2000-04-03,1366.82,1399.61,1345.88,1372.98,0.25783419,4.435553801
2000-04-04,1363.58,1381.35,1332.3,1347.32,0.19577922,3.2275762318
2000-04-05,1343.33,1374.03,1327.12,1356.77,0.1844705,2.8153989162
2000-04-06,1365.55,1394.14,1350.94,1378.08,0.19787349,3.1073968994
2000-04-07,1384.4,1406.87,1353.56,1386.67,0.22042883,3.6012597567
2000-04-10,1388.37,1408.87,1364.64,1386.5,0.20974055,3.3635581667000003
2000-04-11,1385.18,1409.78,1361.26,1383.6,0.19355085,3.0976504356
2000-04-12,1387.43,1401.69,1351.76,1370.36,0.166732,2.6400343153
2000-04-13,1374.18,1397.07,1355.77,1385.08,0.18671319,3.2182710314
2000-04-14,1388.06,1423.38,1371.01,1397.47,0.2466205,4.6967809316
2000-04-17,1390.28,1403.1,1335.53,1365.19,0.23034354,3.8376733362
2000-04-18,1362.54,1393.27,1343.3,1373.1,0.17478685,3.39093566
2000-04-19,1382.97,1408.36,1356.83,1385.38,0.17128505,2.9494508781
2000-04-20,1384.49,1407.89,1367.79,1385.29,0.16392233,2.8529368621
2000-04-21,1392.03,1433.95,1372.54,1405.17,0.32307478,6.0572432812
2000-04-24,1406.39,1424.49,1371.23,1403.48,0.20367311,3.703275038
2000-04-25,1405.88,1442.2,1377.71,1406.63,0.17713426,3.03205723
2000-04-26,1410.7,1436.67,1386.84,1408.96,0.18089382,3.9027389913999997
2000-04-27,1410.03,1435.94,1378.97,1393.28,0.23526613,4.6117101365
2000-04-28,1387.36,1438.86,1378.49,1420.68,0.22264112,3.1820256607
2000-05-08,1430.38,1456.12,1394.95,1417.86,0.27323725,4.9272537704
2000-05-09,1415.51,1425.77,1370.18,1384.89,0.18268052,3.2935176727999997
2000-05-10,1388.54,1402.53,1339.01,1351.66,0.15168542,2.4885296346
2000-05-11,1341.95,1364.98,1318.06,1334.94,0.11698806,1.8952155294
2000-05-12,1338.33,1359.7,1320.77,1331.53,0.10702143,1.8673945248
2000-05-15,1331.84,1353.98,1283.4,1310.22,0.09980506,1.803024075
2000-05-16,1310.88,1347.3,1298.21,1335.97,0.09301193,1.5972913599
2000-05-17,1337.42,1359.4,1320.76,1335.85,0.08127018,1.3634921032
2000-05-18,1335.28,1358.74,1316.69,1350.0,0.10451567,1.6948427355000002
2000-05-19,1358.21,1386.8,1338.99,1371.22,0.15699047,2.4833043115
2000-05-22,1386.02,1421.24,1369.29,1399.08,0.19716861,3.2511951699
2000-05-23,1408.43,1416.99,1366.33,1387.58,0.13656508,2.297752856
2000-05-24,1390.17,1418.53,1371.85,1404.09,0.19171297,3.0950937047000004
2000-05-25,1406.89,1442.98,1395.05,1418.51,0.19184402,3.0597197905
2000-05-26,1427.52,1441.95,1393.28,1415.68,0.20138523,3.199884082
2000-05-29,1416.57,1439.96,1394.7,1416.94,0.27457345,4.5187382032
2000-05-30,1426.65,1450.19,1392.39,1406.67,0.16616157,2.8851293608999997
2000-05-31,1409.25,1433.56,1388.17,1411.87,0.2027999,3.8951404611
2000-06-01,1410.64,1438.1,1385.89,1417.98,0.18414327,3.1773347085
2000-06-02,1420.23,1441.95,1396.56,1414.22,0.1536165,2.8294491236000003
2000-06-05,1415.26,1445.39,1384.19,1405.56,0.19674402,3.2915982062999998
2000-06-06,1404.75,1443.17,1397.61,1435.64,0.2046848,3.2287060142
2000-06-07,1442.45,1463.4,1417.6,1438.79,0.17260013,2.9154419402
2000-06-08,1441.13,1455.28,1409.55,1428.64,0.15634614,2.5267052877
2000-06-09,1431.14,1454.39,1411.92,1425.91,0.14646565,2.5534555612
2000-06-12,1422.08,1446.25,1383.83,1425.48,0.14504901,2.3606191074000002
2000-06-13,1429.09,1456.43,1411.62,1445.6,0.15952932,2.6663342744
2000-06-14,1449.61,1465.64,1419.95,1435.97,0.14959049,2.5593193645
2000-06-15,1435.7,1454.65,1418.32,1439.34,0.15335109,2.3843283373
2000-06-16,1444.66,1466.11,1423.62,1434.37,0.20759497,3.1008367513
2000-06-19,1426.72,1453.5,1411.38,1426.86,0.13513419,2.0664769236000002
2000-06-20,1428.86,1447.31,1402.56,1424.46,0.10304794,1.6554802030000002
2000-06-21,1422.94,1440.69,1399.82,1415.62,0.10692304,1.6871336030000001
2000-06-22,1422.01,1441.94,1401.4,1416.38,0.10363394,1.7451350601
2000-06-23,1418.49,1439.33,1401.62,1426.0,0.11060261,1.8820430546
2000-06-26,1425.15,1452.38,1413.77,1434.32,0.13964528,2.3711313766999997
2000-06-27,1433.53,1449.99,1411.81,1431.6,0.11983413,1.9548374359
2000-06-28,1434.8,1460.04,1422.09,1442.49,0.1263949,2.1753509194
2000-06-29,1445.55,1458.79,1420.05,1435.88,0.12316412,2.0784721559
2000-06-30,1438.23,1453.14,1418.33,1429.66,0.12537,1.9921367494
2000-07-03,1426.74,1443.67,1397.19,1417.42,0.13955881,2.2545260688
2000-07-04,1418.98,1438.34,1396.68,1423.7,0.10738041,1.7862475443999999
2000-07-05,1424.52,1445.03,1409.31,1429.62,0.10400258,1.9817356729
2000-07-06,1436.59,1455.93,1419.69,1436.56,0.16746394,2.7924000742
2000-07-07,1439.56,1467.27,1424.12,1448.63,0.11073203,1.9818091193
2000-07-10,1455.91,1486.86,1433.52,1466.96,0.20406448,3.3268811527
2000-07-11,1469.14,1487.72,1438.84,1463.59,0.18965073,3.0939789111000002
2000-07-12,1463.85,1494.01,1447.84,1469.15,0.26186027,4.1947313912
2000-07-13,1473.72,1525.15,1457.4,1501.45,0.25627087,4.4179527314
2000-07-14,1510.2,1555.91,1483.23,1518.66,0.27841656,5.1273815152
2000-07-17,1522.19,1547.6,1495.27,1516.17,0.20600032,3.5858838635000003
2000-07-18,1516.49,1543.79,1499.3,1526.19,0.15090138,2.4956219800999997
2000-07-19,1531.76,1542.73,1507.4,1521.7,0.15557705,2.6249465978
2000-07-20,1516.61,1548.52,1491.8,1521.44,0.18739129,3.1385228689
2000-07-21,1522.33,1539.46,1500.35,1515.9,0.14313645,2.3719732561
2000-07-24,1513.63,1547.25,1493.44,1518.95,0.21668701,3.8850601058999996
2000-07-25,1517.47,1545.9,1501.93,1522.9,0.2128967,3.5314908131
2000-07-26,1528.97,1551.15,1508.79,1526.03,0.18093633,3.0758659657
2000-07-27,1529.81,1548.86,1502.8,1520.17,0.2644439,4.2033632004
2000-07-28,1522.19,1543.33,1508.83,1525.27,0.20144967,3.1637014430000003
2000-07-31,1525.65,1551.03,1506.87,1534.94,0.17697239,2.7576782371
2000-08-01,1538.1,1563.2,1518.75,1545.19,0.1815432,2.9704887626
2000-08-02,1548.5,1571.03,1527.45,1547.61,0.19810068,3.2180474202
2000-08-03,1546.99,1565.93,1533.79,1545.61,0.18725357,2.9636057256
2000-08-04,1549.13,1562.54,1519.11,1537.05,0.21084893,3.2930717281
2000-08-07,1542.01,1567.77,1521.14,1549.42,0.25489997,3.9517935517000002
2000-08-08,1553.95,1588.66,1538.39,1574.58,0.24933616,4.1327344069
2000-08-09,1580.76,1612.91,1567.59,1595.43,0.41375557,6.8750858453
2000-08-10,1600.44,1628.97,1569.92,1599.03,0.36409771,6.2888666686
2000-08-11,1600.63,1622.72,1572.36,1588.8,0.22110838,3.7232441373
2000-08-14,1588.06,1613.71,1571.59,1594.82,0.14494927,2.57590555
2000-08-15,1594.81,1619.51,1575.11,1597.95,0.17467142,3.0318158288999997
2000-08-16,1599.21,1619.49,1578.59,1601.25,0.14646569,2.5632899696
2000-08-17,1605.3,1621.19,1581.56,1597.04,0.15613386,2.6549441674
2000-08-18,1595.65,1613.41,1580.18,1592.32,0.12165566,2.0386250899
2000-08-21,1595.71,1617.74,1571.28,1600.46,0.1817399,3.1016699386
2000-08-22,1603.52,1623.41,1564.97,1572.67,0.27536843,4.8460843469
2000-08-23,1561.36,1590.44,1491.04,1562.96,0.35443444,6.1488770263
2000-08-24,1571.4,1597.59,1539.86,1576.59,0.28439645,5.2027129448
2000-08-25,1580.82,1610.23,1564.83,1595.65,0.24742988,4.582286046
2000-08-28,1597.14,1615.62,1582.09,1601.2,0.24599208,4.4565822701
2000-08-29,1600.56,1623.1,1578.97,1601.58,0.19711344,3.6093787119
2000-08-30,1600.07,1627.6,1567.88,1590.2,0.16798057,3.1538848836
2000-08-31,1577.55,1595.48,1542.8,1558.48,0.19536372,3.4738212294
2000-09-01,1555.7,1587.37,1537.44,1558.24,0.23402137,4.0909971902999995
2000-09-04,1550.86,1588.36,1528.19,1578.84,0.19001824,3.4642645595999997
2000-09-05,1575.09,1590.95,1526.35,1538.86,0.1253025,2.2184695091999997
2000-09-06,1529.03,1557.21,1494.64,1513.3,0.14403317,2.607078053
2000-09-07,1509.97,1552.43,1495.3,1527.26,0.11286256,1.9497914053999998
2000-09-08,1526.14,1544.86,1499.04,1520.6,0.10692877,2.0085538695
2000-09-11,1522.72,1560.02,1504.46,1546.76,0.12899705,2.5591631054
2000-09-12,1545.08,1574.0,1527.45,1554.12,0.10916208,2.2435005715000003
2000-09-13,1555.22,1591.24,1544.18,1575.14,0.15390498,3.168656313
2000-09-14,1576.43,1596.6,1554.34,1572.0,0.10338762,2.0830443162
2000-09-15,1570.7,1580.73,1547.39,1566.17,0.06825008,1.2631834145999998
2000-09-18,1565.7,1595.33,1542.16,1565.25,0.10862242,2.0624973264
2000-09-19,1557.15,1563.97,1512.86,1527.78,0.10614188,1.9450377032
