date,open,high,low,close,volume,amount
2014-02-21,8616.99,8686.66,8346.14,8422.92,2.71207229,26.600071817899998
2014-02-24,8329.51,8334.57,8098.15,8244.94,2.57804655,23.6309504962
2014-02-25,8237.55,8306.76,7772.39,7847.26,3.33732494,31.738622613
2014-02-26,7789.94,7789.94,7568.08,7720.93,2.21251444,19.6442140733
2014-02-27,7745.92,7869.32,7494.85,7505.07,2.22379551,20.0571903769
2014-02-28,7418.79,7512.64,7290.07,7506.65,2.16935467,19.6197616103
2014-03-03,7429.19,7537.01,7386.7,7491.92,2.49325657,21.875663866900002
2014-03-04,7454.05,7522.85,7403.47,7495.57,2.06550033,18.954952870899998
2014-03-05,7572.04,7806.03,7559.93,7729.25,3.67178719,31.823524715700003
2014-03-06,7706.54,7805.62,7610.23,7785.08,2.42496673,21.4435744004
2014-03-07,7741.44,7774.4,7641.54,7669.97,2.13189591,19.736842817
2014-03-10,7543.15,7543.15,7171.94,7171.94,2.51405155,21.9068679696
2014-03-11,7027.17,7128.93,6927.63,7008.48,2.02594418,16.8584087509
2014-03-12,6875.73,6875.73,6539.29,6629.35,4.26517412,33.1285039145
2014-03-13,6596.52,6760.68,6568.68,6734.87,2.39413064,18.3160252933
2014-03-14,6664.4,6703.9,6606.77,6622.43,1.59932155,12.498324191300002
2014-03-17,6620.42,6771.96,6619.73,6768.48,1.6498964,12.867385114500001
2014-03-18,6786.38,6850.73,6742.55,6796.51,1.90946563,14.8846874982
2014-03-19,6772.53,6772.53,6652.56,6710.89,1.60862037,12.357232453599998
2014-03-20,6689.09,6737.97,6370.96,6372.66,2.45290191,18.4066086988
2014-03-21,6287.62,6584.36,6279.52,6548.4,2.46312484,17.864889951600002
2014-03-24,6520.46,6615.5,6507.57,6559.59,1.99503873,13.678372986800001
2014-03-25,6546.2,6728.25,6510.59,6679.4,2.01233188,15.7713253371
2014-03-26,6682.34,6700.74,6613.37,6666.05,1.62492319,12.4703884418
2014-03-27,6654.18,6654.18,6493.78,6496.24,1.48321386,11.072015421800002
2014-03-28,6496.27,6549.18,6313.01,6333.35,1.65262167,12.0859813184
2014-03-31,6215.54,6262.18,6116.19,6159.22,1.79723404,13.080068031
2014-04-01,6130.42,6270.78,6110.65,6254.21,1.43008297,10.241509496399999
2014-04-02,6240.02,6278.01,6193.33,6252.48,1.33418537,9.4395058899
2014-04-03,6262.19,6306.89,6223.48,6233.71,1.33909883,9.6952903816
2014-04-04,6221.95,6378.8,6204.1,6368.22,1.65837539,11.776685948399999
2014-04-08,6306.52,6440.64,6281.24,6440.64,1.9606082,14.226598046900001
2014-04-09,6451.18,6527.6,6432.53,6513.11,1.93261753,14.3852237107
2014-04-10,6521.83,6580.81,6475.28,6536.04,2.14366888,15.4502557483
2014-04-11,6487.81,6581.43,6454.78,6530.1,2.04289243,14.5424230521
2014-04-14,6543.34,6598.83,6516.47,6572.94,1.66992961,12.1644034545
2014-04-15,6574.78,6574.78,6465.57,6480.98,1.67457726,12.294436901
2014-04-16,6454.7,6503.8,6413.82,6464.3,1.85568878,12.3188141401
2014-04-17,6484.05,6540.89,6466.03,6491.02,1.61696948,11.589783667899999
2014-04-18,6468.48,6532.06,6443.63,6480.8,1.26469357,8.6791092229
2014-04-21,6414.97,6459.45,6286.94,6291.62,1.92154622,13.6279213978
2014-04-22,6292.98,6316.49,6178.31,6261.85,1.48697857,10.3208537772
2014-04-23,6273.4,6296.38,6202.15,6240.56,1.20145615,8.725024341900001
2014-04-24,6260.24,6260.24,6158.26,6159.19,1.35194484,8.9499025998
2014-04-25,6147.01,6169.87,5943.54,5943.54,1.39178111,9.441641209
2014-04-28,5929.43,5929.43,5681.55,5681.75,1.42936644,9.2725074962
2014-04-29,5662.1,5803.41,5662.1,5792.86,0.90473487,6.0009094195
2014-04-30,5727.01,5840.16,5714.36,5806.84,0.93177791,6.1718480063
2014-05-05,5806.01,5880.97,5731.1,5857.7,0.91917852,6.153065885
