date,open,high,low,close,volume,amount
2021-12-13,17428.46,17805.11,17297.97,17458.23,2.91122913,19.8448438242
2021-12-14,17394.65,17780.23,17271.15,17573.86,2.53076981,20.985692902100002
2021-12-15,17589.27,17912.51,17391.85,17541.13,2.24577316,19.966010314600002
2021-12-16,17547.56,17803.88,17358.38,17649.21,2.35091792,18.6855917932
2021-12-17,17555.92,17722.43,17207.61,17295.53,2.55892494,19.3188504429
2021-12-20,17247.77,17627.97,16904.11,17398.95,2.25200385,18.776365631199997
2021-12-21,17105.51,17461.17,16733.02,17116.96,2.16538238,21.6132094071
2021-12-22,17216.12,17940.78,17090.82,17610.82,3.01705181,25.012451568899998
2021-12-23,17652.85,18074.66,17296.59,17543.73,2.87024958,23.3947805823
2021-12-24,17527.48,17793.63,17204.71,17508.08,2.17412979,16.7245492948
2021-12-27,17586.7,17846.55,17306.27,17522.7,1.87708619,15.251285273499999
2021-12-28,17569.14,17816.76,17320.18,17503.38,2.25202723,18.8740807468
2021-12-29,17411.53,17556.38,16986.6,17144.59,2.28426408,18.4207778293
2021-12-30,17073.57,17601.56,16925.38,17227.74,2.49463168,23.4763354439
2021-12-31,17280.73,17514.23,17054.71,17236.38,1.96063231,17.423633973599998
2022-01-04,17233.13,17983.48,17174.12,17836.12,3.25113116,26.834172778000003
2022-01-05,17808.17,18109.98,17376.6,17573.85,2.61809854,26.139331813800002
2022-01-06,17440.92,17683.84,17178.95,17374.91,2.05998407,17.585407371
2022-01-07,17366.39,17715.3,16916.21,17051.14,2.27335512,23.755791935300003
2022-01-10,17009.02,17638.07,16773.77,17530.42,2.02899624,24.7319819333
2022-01-11,17488.63,17678.24,17132.07,17311.18,1.80652802,18.8886703943
2022-01-12,17592.25,18011.78,17457.89,17670.37,1.4527182,19.1489418992
2022-01-13,17724.54,18001.82,17501.17,17568.51,1.69188932,18.415862655599998
2022-01-14,17525.36,17650.05,17117.94,17297.38,1.76670712,17.3174595811
2022-01-17,17362.87,17857.64,17213.86,17689.87,1.95345758,19.3006128377
2022-01-18,17659.87,18074.8,17396.6,17777.0,1.83843327,21.2174948531
2022-01-19,17656.17,17927.16,17432.44,17630.7,1.48622822,14.1975277046
2022-01-20,17613.7,17916.44,17285.63,17535.69,1.89645412,18.2959235701
2022-01-21,17413.13,17582.06,16917.34,17208.71,2.17991509,18.2215677111
2022-01-24,17044.84,17266.15,16775.45,16965.48,1.72257035,12.3046001022
2022-01-25,16903.42,17104.69,16282.24,16336.09,2.18640069,16.8007542106
2022-01-26,16359.21,16855.28,16296.91,16701.35,1.53407087,13.553386861300002
2022-01-27,16674.52,16749.97,16174.03,16262.86,2.09904064,14.032986446199999
2022-01-28,16401.52,16575.31,16010.49,16199.8,1.58982528,11.4716874818
2022-02-07,16199.29,16430.59,15923.35,16181.15,2.10119373,13.591165679100001
2022-02-08,16115.58,16495.65,15829.41,16252.78,1.64735964,11.288842503800002
2022-02-09,16387.96,16628.97,16129.54,16366.32,1.50083153,11.949092285699999
2022-02-10,16410.16,16524.19,16018.56,16164.79,1.60081501,11.348136011
2022-02-11,16120.06,16423.03,15830.15,16061.96,1.48746015,12.6842994276
2022-02-14,15957.82,16190.92,15761.82,16022.27,1.08921125,8.2373267129
2022-02-15,16035.83,16211.48,15751.76,15914.72,1.18503072,8.4068446472
2022-02-16,16021.32,16207.14,15729.53,15938.09,1.15306764,9.9709643275
2022-02-17,15876.17,16137.82,15684.87,15929.82,1.15564186,9.947408659099999
2022-02-18,15886.55,16086.42,15678.23,15922.46,1.40791565,12.2336977622
2022-02-21,15885.71,16139.66,15677.65,15929.8,1.60788801,13.247357578599999
