date,open,high,low,close,volume,amount
1999-12-30,1000.0,1000.0,1000.0,1000.0,0.20474238,2.2790950563
2000-01-04,1001.92,1044.67,987.96,1029.81,0.40330362,4.1370457047
2000-01-05,1036.1,1073.0,1019.1,1047.65,0.70270174,7.6551635764
2000-01-06,1044.52,1090.9,1027.3,1083.61,0.75566462,8.3335480605
2000-01-07,1094.28,1149.26,1082.56,1132.7,1.59473211,19.004098932999998
2000-01-10,1149.07,1187.57,1116.7,1164.68,1.50806275,19.1519487112
2000-01-11,1168.31,1180.36,1097.66,1115.26,1.26374524,14.5914644278
2000-01-12,1109.1,1140.63,1065.34,1088.57,0.92223347,10.917934703599999
2000-01-13,1092.3,1109.49,1056.35,1075.84,0.55911075,5.8874751645000005
2000-01-14,1075.91,1100.24,1047.65,1063.67,0.45733093,4.8697121155000005
2000-01-17,1060.8,1095.85,1040.9,1087.63,0.56023806,5.8354980693
2000-01-18,1090.21,1109.31,1062.72,1081.08,0.49205995,5.9133973112
2000-01-19,1078.18,1113.69,1062.86,1099.02,0.4485787,5.6517143222
2000-01-20,1094.67,1133.51,1080.47,1119.25,0.57030207,7.1604764662000004
2000-01-21,1123.55,1164.94,1102.6,1129.79,0.93941194,11.541765910599999
2000-01-24,1132.03,1166.96,1096.63,1144.44,0.85443697,11.070199444000002
2000-01-25,1148.99,1178.69,1111.44,1137.18,0.95968573,12.1226920201
2000-01-26,1137.49,1170.73,1113.64,1140.3,0.73090556,9.3515663436
2000-01-27,1150.76,1206.19,1129.43,1184.59,1.20298016,15.3560600186
2000-01-28,1193.81,1249.05,1173.89,1220.55,1.51200152,20.9282555019
2000-02-14,1268.81,1335.98,1251.61,1334.41,1.53811834,21.3839721219
2000-02-15,1393.82,1447.61,1334.31,1378.31,2.62897668,38.494700983200005
2000-02-16,1396.4,1461.29,1344.83,1432.5,2.65881417,38.3557920976
2000-02-17,1474.49,1542.22,1323.3,1365.0,3.20804628,46.9274832377
2000-02-18,1342.46,1415.52,1281.94,1392.51,1.81764466,24.1087779842
2000-02-21,1412.51,1459.73,1338.19,1400.03,2.09804268,29.6236532169
2000-02-22,1410.23,1438.26,1317.6,1333.3,1.69966388,21.6859394538
2000-02-23,1303.2,1342.68,1257.83,1276.25,1.32412408,16.4227989629
2000-02-24,1266.04,1338.85,1247.48,1326.39,1.15178247,14.7903095569
2000-02-25,1324.71,1365.02,1280.39,1317.03,1.10219664,14.433666135
2000-02-28,1320.34,1391.29,1297.74,1378.14,1.45183195,20.0681987057
2000-02-29,1399.3,1441.21,1328.58,1374.84,2.14179816,29.672358201599998
2000-03-01,1383.1,1420.4,1330.35,1370.9,1.37016146,18.3997749538
2000-03-02,1367.51,1411.26,1333.89,1376.61,1.07860674,13.826047043800001
2000-03-03,1388.62,1426.86,1350.72,1379.69,1.37607112,18.9507800158
2000-03-06,1386.36,1411.14,1295.5,1308.49,1.47571947,19.5296461758
2000-03-07,1290.47,1340.19,1268.6,1317.09,0.79585891,10.2787410006
2000-03-08,1321.54,1367.73,1292.97,1350.28,0.8852502,11.0574063472
2000-03-09,1360.43,1390.66,1322.71,1346.83,0.86478481,10.7706101075
2000-03-10,1350.16,1384.29,1313.18,1327.5,0.82279064,9.8398782789
2000-03-13,1326.55,1362.59,1310.38,1344.34,0.72495016,9.000828933
2000-03-14,1315.53,1350.22,1260.71,1319.62,1.19685045,15.8468313965
2000-03-15,1316.02,1346.16,1286.48,1310.86,0.83092137,10.753635705399999
2000-03-16,1298.48,1310.82,1221.67,1239.83,0.81615526,9.8716287762
2000-03-17,1236.91,1296.78,1226.5,1279.62,0.63727726,7.9920900961
2000-03-20,1269.39,1329.16,1243.98,1314.06,0.8531378,11.4010459924
2000-03-21,1323.11,1349.76,1287.91,1317.08,0.85103702,11.8530976043
2000-03-22,1321.19,1363.12,1300.37,1331.85,0.89342688,11.9610275001
