date,open,high,low,close,volume,amount
2014-02-21,3347.89,3355.29,3267.98,3291.82,1.41416729,11.5764372028
2014-02-24,3257.68,3257.87,3146.11,3156.05,2.46420318,19.8918500279
2014-02-25,3156.51,3170.16,3094.78,3107.13,1.68410628,12.899969268900001
2014-02-26,3092.97,3127.64,3088.6,3127.64,1.8717524,15.385026760799999
2014-02-27,3135.09,3136.02,3107.39,3119.33,2.02664488,15.69227977
2014-02-28,3117.63,3169.37,3098.07,3161.58,1.15958572,9.2816043561
2014-03-03,3151.59,3176.83,3140.18,3168.2,1.20873783,9.4817305303
2014-03-04,3158.85,3158.85,3120.87,3142.11,1.04136206,7.978631386699999
2014-03-05,3151.38,3188.42,3141.35,3161.14,1.49481437,11.6964639429
2014-03-06,3156.17,3206.23,3141.17,3203.18,1.70900506,12.9369822103
2014-03-07,3198.25,3209.96,3165.4,3178.54,1.67725189,12.8202858154
2014-03-10,3150.92,3151.67,3049.59,3051.35,1.49302417,11.3809948009
2014-03-11,3052.05,3127.46,3051.99,3111.21,1.68050633,12.410536168699998
2014-03-12,3098.93,3138.22,3085.98,3130.44,1.89887176,13.8163623045
2014-03-13,3132.18,3148.35,3110.8,3146.24,1.85841579,13.472061968599998
2014-03-14,3132.21,3146.36,3109.89,3129.55,1.45461303,10.7202487462
2014-03-17,3187.16,3209.49,3170.81,3203.41,1.85703723,14.1119532474
2014-03-18,3195.51,3213.3,3177.71,3202.59,1.59235281,12.6100743457
2014-03-19,3197.79,3270.79,3162.24,3266.64,2.5722402,19.8985657054
2014-03-20,3271.4,3307.38,3235.09,3235.14,3.02116066,22.3394677577
2014-03-21,3227.51,3341.07,3225.93,3336.98,3.17409942,24.420388275100002
2014-03-24,3349.32,3444.44,3340.82,3428.62,3.721214,30.9403503044
2014-03-25,3427.34,3447.5,3385.38,3406.07,3.00588244,24.234696898400003
2014-03-26,3409.37,3429.22,3391.95,3410.44,2.4359424,19.7173274368
2014-03-27,3413.86,3441.11,3361.51,3364.55,2.4902923,20.500938840299998
2014-03-28,3372.3,3468.65,3358.87,3435.02,2.66394751,24.7385954021
2014-03-31,3440.72,3465.69,3393.79,3418.28,2.51877766,20.2627212817
