date,open,high,low,close,volume,amount
2014-02-21,3048.47,3056.94,3001.39,3022.67,1.90590762,15.5664325253
2014-02-24,3006.82,3008.23,2947.17,2996.36,1.88798293,15.8503184958
2014-02-25,3000.95,3018.07,2868.95,2876.81,2.39787836,21.2190671348
2014-02-26,2874.22,2896.58,2848.42,2896.58,1.86408227,15.4099179978
2014-02-27,2910.79,2927.32,2851.36,2851.36,1.92751592,16.3432864171
2014-02-28,2842.09,2882.72,2821.08,2879.53,1.47158385,13.4341302628
2014-03-03,2880.34,2933.59,2879.33,2933.34,1.33081859,13.0257467308
2014-03-04,2923.21,2936.71,2900.1,2932.74,1.37229609,12.6819296478
2014-03-05,2938.41,2944.33,2909.94,2911.25,1.40422426,12.469566351600001
2014-03-06,2911.28,2936.9,2875.95,2930.85,1.49443143,13.6015572222
2014-03-07,2927.9,2935.86,2903.24,2914.48,1.25721063,11.290435329500001
2014-03-10,2899.84,2901.3,2811.16,2814.03,1.48858635,11.8440889567
2014-03-11,2806.72,2832.43,2798.09,2824.27,1.06194535,8.843327826
2014-03-12,2819.47,2859.13,2800.78,2847.6,1.34213445,11.180068983
2014-03-13,2842.09,2875.7,2842.09,2874.81,1.36045851,10.3534635287
2014-03-14,2866.76,2888.41,2859.16,2877.44,1.17324823,8.8528830159
2014-03-17,2905.65,2945.22,2903.64,2944.54,1.86377641,15.281356716
2014-03-18,2951.48,2965.36,2934.84,2947.25,2.00622813,17.2616634728
2014-03-19,2936.49,2945.5,2903.76,2945.5,2.02175792,18.6775400637
2014-03-20,2941.7,2972.24,2906.91,2906.91,2.28934382,21.5005204135
2014-03-21,2885.4,2961.89,2866.7,2961.89,2.41411879,18.9006308518
2014-03-24,2962.03,3025.89,2959.75,3018.64,2.72384201,23.1661397413
2014-03-25,3001.37,3006.13,2970.7,2986.86,2.29049647,19.7087056348
2014-03-26,2984.08,2993.56,2972.4,2993.56,2.06272264,17.9714970226
2014-03-27,2986.68,2987.34,2939.94,2939.94,1.72939208,15.5709622497
2014-03-28,2938.36,2950.27,2894.4,2898.91,1.65450311,14.3277532401
2014-03-31,2899.23,2929.2,2880.23,2898.15,1.3610943,11.7575185186
2014-04-01,2894.92,2929.47,2892.72,2929.47,1.16122971,10.5604714633
2014-04-02,2929.1,2943.47,2919.66,2936.09,1.34788371,11.8298108057
2014-04-03,2944.64,2975.03,2935.29,2951.16,1.61240013,15.1392618273
2014-04-04,2939.72,2983.32,2935.22,2983.32,1.23251038,11.813768713900002
2014-04-08,2975.4,3018.68,2970.55,3014.26,1.54671791,13.6862482201
2014-04-09,3027.6,3043.29,3021.06,3043.29,1.5459857,14.4238328186
2014-04-10,3044.59,3053.96,3031.28,3040.69,1.88121941,17.9409240854
2014-04-11,3027.35,3027.91,3008.22,3023.4,1.56075453,13.7292701262
2014-04-14,3026.32,3060.39,3023.84,3058.76,1.50471363,13.0810959909
2014-04-15,3061.37,3062.04,3026.27,3030.68,1.6826088,14.5932079477
2014-04-16,3018.71,3051.49,3014.84,3047.39,1.66638682,15.7609054442
2014-04-17,3048.87,3051.05,3034.18,3034.66,1.31241594,11.9352412533
2014-04-18,3029.88,3039.56,3018.62,3038.71,0.97277778,8.565947937899999
2014-04-21,3025.11,3032.82,2979.55,2982.48,1.33379157,12.4657972898
2014-04-22,2968.22,2978.76,2914.8,2954.86,1.37116057,11.7064448913
2014-04-23,2951.94,2977.01,2948.18,2967.37,1.16240912,9.6438952738
2014-04-24,2965.16,2975.66,2948.85,2951.49,1.15387195,9.3500937291
2014-04-25,2946.51,2947.76,2866.94,2866.97,1.22376072,9.897648157799999
