date,open,high,low,close,volume,amount
2014-02-21,1511.4,1515.0,1491.96,1498.06,0.98583945,3.59320514
2014-02-24,1489.35,1489.36,1438.6,1457.42,2.34571844,7.39444743
2014-02-25,1456.74,1457.67,1416.2,1424.17,1.77445702,5.65480259
2014-02-26,1419.4,1424.78,1407.32,1416.46,1.59276822,5.06120663
2014-02-27,1421.08,1421.35,1391.63,1394.48,2.14309972,6.62039243
2014-02-28,1402.16,1432.04,1390.15,1422.25,1.62986265,5.11594591
2014-03-03,1422.25,1441.13,1408.45,1431.92,1.2273059,4.3674843
2014-03-04,1427.59,1440.39,1423.13,1431.8,0.94917117,2.83628243
2014-03-05,1426.99,1428.24,1398.17,1406.63,0.92790167,3.33396823
2014-03-06,1404.69,1428.43,1386.65,1421.12,1.05283455,3.35057256
2014-03-07,1416.2,1424.9,1396.2,1400.5,0.91913632,2.99991791
2014-03-10,1394.43,1396.85,1361.12,1365.26,1.15373976,3.58937064
2014-03-11,1365.3,1379.43,1360.18,1365.81,0.75173845,2.28465545
2014-03-12,1366.0,1399.58,1361.15,1394.28,1.21246398,3.71664256
2014-03-13,1389.48,1403.21,1384.28,1394.64,1.12592908,3.47353502
2014-03-14,1386.01,1390.32,1366.37,1380.57,0.71776251,2.18011082
2014-03-17,1385.7,1406.66,1384.28,1398.56,1.0157892,3.22777474
2014-03-18,1397.63,1398.26,1380.33,1390.02,0.72406654,2.33053425
2014-03-19,1386.25,1390.3,1373.47,1388.61,0.80271058,2.96130735
2014-03-20,1385.1,1402.2,1371.54,1375.27,0.74695859,2.42433809
2014-03-21,1375.11,1423.31,1370.74,1418.59,1.84839107,5.65744869
2014-03-24,1437.17,1463.7,1431.88,1458.71,2.86558134,8.85488483
2014-03-25,1459.1,1500.14,1450.44,1487.51,3.17615991,10.51153469
2014-03-26,1488.46,1493.94,1464.84,1470.8,1.04939329,3.71489112
2014-03-27,1470.35,1483.98,1450.32,1459.2,1.27989282,4.21019463
2014-03-28,1460.38,1480.48,1455.62,1469.72,1.21913461,4.49449869
2014-03-31,1475.34,1476.44,1447.38,1456.56,0.95083727,3.21553943
2014-04-01,1452.15,1464.3,1448.15,1454.1,0.75772369,2.48778412
2014-04-02,1458.15,1489.67,1453.93,1484.7,1.85746554,5.78853062
2014-04-03,1489.66,1490.69,1447.04,1452.56,1.89367552,5.96064363
2014-04-04,1447.43,1462.88,1447.43,1462.44,0.75150701,2.4172179
2014-04-08,1458.18,1486.53,1454.24,1478.04,1.73546632,5.66971739
2014-04-09,1478.7,1487.33,1473.71,1478.87,1.30203725,4.20310453
2014-04-10,1479.27,1533.21,1467.73,1525.35,3.66310799,11.53819786
2014-04-11,1561.62,1568.78,1529.49,1533.63,3.72292347,12.04777044
2014-04-14,1520.88,1534.15,1512.43,1523.38,1.39596794,4.80135371
2014-04-15,1522.8,1522.8,1494.06,1494.15,1.4128081,4.73910278
2014-04-16,1497.95,1507.41,1493.11,1498.91,0.87308416,2.92983428
2014-04-17,1503.36,1503.51,1482.68,1491.65,1.13284859,4.68070955
2014-04-18,1489.91,1489.91,1472.63,1481.98,1.23002006,5.60901922
2014-04-21,1472.72,1485.29,1453.85,1453.85,1.27416939,5.38009415
2014-04-22,1456.82,1466.03,1441.39,1466.03,1.07877545,4.18634639
2014-04-23,1462.92,1469.89,1456.78,1465.67,0.80441361,3.353328
2014-04-24,1476.19,1494.54,1467.57,1479.95,1.49082149,5.73020343
2014-04-25,1479.37,1498.08,1469.93,1470.01,1.29543681,5.58296863
2014-04-28,1473.59,1473.79,1449.17,1460.62,1.15666536,4.33336515
2014-04-29,1461.23,1477.61,1453.29,1477.61,0.79556964,2.98951636
2014-04-30,1482.29,1495.4,1476.64,1489.39,1.10803195,3.75670443
2014-05-05,1480.76,1484.69,1456.59,1476.29,1.02269904,3.60655777
2014-05-06,1472.38,1481.32,1463.65,1480.93,0.84604727,3.17068087
2014-05-07,1472.38,1480.93,1455.66,1460.29,0.68318718,2.50613785
2014-05-08,1456.23,1475.77,1455.47,1459.71,0.57693635,2.11247542
2014-05-09,1460.89,1464.98,1449.01,1462.24,0.61576454,2.17857331
2014-05-12,1467.62,1488.81,1458.88,1483.07,1.26855152,4.25535077
2014-05-13,1480.21,1484.18,1469.62,1478.75,0.75401688,2.68722131
2014-05-14,1477.96,1486.75,1473.45,1486.75,0.7893228,2.65371799
2014-05-15,1478.57,1485.96,1464.88,1472.86,0.74721157,2.57640041
2014-05-16,1469.6,1474.92,1460.7,1474.81,0.50642059,1.73014127
2014-05-19,1470.47,1470.47,1451.22,1452.35,0.58517123,1.95017129
2014-05-20,1462.1,1467.1,1455.31,1460.94,0.47382404,1.68800496
2014-05-21,1455.69,1466.69,1450.31,1466.26,0.47326722,1.64041825
2014-05-22,1466.22,1480.18,1461.4,1465.39,0.76186268,2.58095321
2014-05-23,1469.47,1487.77,1464.91,1483.96,0.83898361,2.69318186
2014-05-26,1489.3,1489.3,1474.94,1483.61,0.60793277,2.02578787
2014-05-27,1487.15,1492.35,1477.07,1481.44,0.65906956,2.13663355
2014-05-28,1480.89,1486.89,1475.86,1486.46,0.58735858,2.03707973
2014-05-29,1485.99,1503.02,1483.85,1488.26,0.98937013,3.25399616
2014-05-30,1488.26,1497.36,1483.34,1493.22,0.47386772,1.61057434
2014-06-03,1497.39,1501.68,1483.68,1492.03,0.54930747,2.17152298
2014-06-04,1491.83,1491.83,1460.77,1465.43,0.75062217,2.57334636
2014-06-05,1464.99,1478.53,1460.39,1474.18,0.55026928,1.83559027
2014-06-06,1474.65,1474.65,1455.13,1464.24,0.47288658,1.64030022
2014-06-09,1458.87,1478.88,1454.65,1463.27,0.58646854,2.00837562
2014-06-10,1469.79,1477.29,1460.98,1476.82,0.72274979,2.51365239
2014-06-11,1472.05,1477.11,1467.63,1476.58,0.5270759,1.78072279
2014-06-12,1471.89,1475.91,1459.22,1463.77,0.75764037,2.77022625
2014-06-13,1463.55,1478.03,1462.74,1477.97,0.79686438,2.83265723
2014-06-16,1474.27,1488.39,1474.18,1488.36,1.10015043,3.73099333
2014-06-17,1431.07,1433.88,1420.02,1420.33,0.92259264,2.88485244
2014-06-18,1420.02,1423.32,1407.1,1415.15,0.68918764,2.32530692
2014-06-19,1414.94,1416.36,1390.1,1398.14,0.67190803,2.10649565
2014-06-20,1394.26,1402.76,1389.84,1399.68,0.55868696,1.68701502
2014-06-23,1399.86,1400.77,1380.57,1380.88,0.68467454,2.11186787
2014-06-24,1385.26,1390.28,1380.78,1389.88,0.46001328,1.43330804
2014-06-25,1385.77,1389.84,1376.9,1389.38,0.41308175,1.28724609
2014-06-26,1389.52,1396.08,1385.41,1394.96,0.42829155,1.42442918
2014-06-27,1391.6,1400.69,1385.7,1396.11,0.54223187,1.73131
2014-06-30,1396.52,1402.82,1392.66,1402.27,0.74176745,2.31866763
2014-07-01,1401.81,1401.81,1387.57,1396.42,0.56299897,1.81294206
2014-07-02,1392.7,1397.33,1387.11,1397.11,0.83058695,2.55998054
2014-07-03,1397.47,1403.45,1392.89,1398.91,0.8008533,2.55297044
2014-07-04,1398.91,1410.26,1396.69,1405.7,0.79124504,2.43673912
2014-07-07,1405.6,1413.97,1400.81,1409.6,0.81265549,2.50179378
2014-07-08,1409.79,1410.82,1400.1,1410.82,0.67968095,2.28573586
2014-07-09,1407.17,1407.17,1390.26,1390.62,0.67331814,2.21762917
2014-07-10,1390.43,1399.66,1389.1,1394.82,0.49743985,1.59685497
2014-07-11,1394.51,1408.85,1390.94,1399.39,0.84806801,2.5888589
2014-07-14,1403.46,1419.04,1395.46,1414.82,1.11113612,3.43231043
