date,open,high,low,close,volume,amount
2014-02-21,1303.13,1303.13,1278.15,1286.11,2.55225212,13.1042572437
2014-02-24,1278.79,1278.79,1250.78,1258.57,2.63923808,13.723058446700001
2014-02-25,1257.97,1264.78,1226.46,1230.12,2.54548034,12.2317968719
2014-02-26,1228.64,1232.56,1214.87,1226.74,2.19019047,10.3005980875
2014-02-27,1229.43,1234.85,1221.29,1222.55,2.32078781,10.6477606963
2014-02-28,1221.32,1235.04,1214.19,1234.99,2.02530063,9.4857728998
2014-03-03,1233.39,1262.48,1231.76,1262.46,2.75900441,14.8144612081
2014-03-04,1258.14,1260.96,1246.5,1258.45,2.73645055,15.0978192855
2014-03-05,1260.63,1270.94,1255.59,1260.75,2.57670329,14.645022541500001
2014-03-06,1259.34,1271.48,1250.33,1269.06,2.77368338,15.439384466199998
2014-03-07,1266.22,1269.41,1249.34,1256.88,2.1576196,11.4191013173
2014-03-10,1249.46,1249.46,1214.06,1216.83,2.37640904,11.807857432
2014-03-11,1212.66,1226.2,1212.14,1225.47,1.9176557,9.5357787248
2014-03-12,1220.47,1230.67,1209.29,1224.4,2.41323988,12.1696329007
2014-03-13,1224.68,1234.9,1222.21,1232.61,1.96493378,9.5083002743
2014-03-14,1225.66,1225.95,1211.2,1218.66,1.75235688,9.0318938959
2014-03-17,1220.64,1232.02,1218.47,1231.71,1.71038184,8.2814804753
2014-03-18,1233.9,1241.19,1231.58,1239.28,2.26675992,12.839080673800002
2014-03-19,1242.12,1242.18,1227.02,1238.16,2.1616049,13.6406686476
2014-03-20,1234.54,1246.7,1225.23,1225.99,3.05433449,15.1003999993
2014-03-21,1219.95,1256.31,1219.1,1255.76,3.34792999,15.8014047188
2014-03-24,1258.39,1275.84,1256.21,1272.16,3.44897619,16.5460095557
2014-03-25,1270.31,1282.94,1266.25,1274.18,2.99906658,16.426678654
2014-03-26,1274.65,1276.57,1264.69,1270.08,1.9987535,10.8072280497
2014-03-27,1266.37,1276.28,1256.89,1262.09,2.32870765,12.7130224017
2014-03-28,1260.31,1276.03,1259.65,1265.85,2.82816046,15.7467460162
2014-03-31,1268.86,1274.6,1261.98,1269.38,4.04578009,20.897007309
2014-04-01,1268.15,1291.24,1267.39,1290.8,3.97840703,22.157036913800003
2014-04-02,1291.91,1296.68,1287.29,1294.55,3.65759219,18.8605427598
2014-04-03,1310.76,1318.99,1285.82,1290.74,5.29896955,27.7459501298
2014-04-04,1283.44,1295.31,1280.74,1295.05,2.67705151,13.941768356199999
2014-04-08,1288.72,1311.96,1286.74,1311.73,3.21507493,15.9692208323
2014-04-09,1315.72,1319.58,1306.66,1311.47,2.74049166,14.4541200658
2014-04-10,1314.46,1364.83,1312.35,1351.67,8.20433296,38.9899877652
2014-04-11,1344.84,1350.1,1332.91,1340.16,5.2680071,26.2923924054
2014-04-14,1339.92,1348.38,1332.41,1346.93,3.71620329,20.9752494246
2014-04-15,1347.08,1349.53,1328.8,1331.8,4.82550575,28.328502682699998
2014-04-16,1326.6,1343.99,1326.6,1340.02,3.55514235,22.4372929923
2014-04-17,1341.42,1344.16,1332.02,1333.34,3.32202058,21.9332967402
2014-04-18,1329.05,1331.73,1321.24,1328.21,2.53094948,14.5234669284
2014-04-21,1318.28,1333.23,1309.43,1310.0,3.32057045,20.9723604272
2014-04-22,1304.35,1312.11,1285.98,1307.3,2.86093225,16.4119753907
2014-04-23,1304.62,1309.82,1297.27,1302.05,1.89995275,10.767419824000001
2014-04-24,1299.13,1305.63,1289.16,1289.68,1.9723046,11.0811100354
2014-04-25,1290.21,1295.98,1269.38,1270.63,2.25644425,12.630956043
2014-04-28,1268.19,1268.26,1245.19,1245.61,2.34629707,12.3516822952
2014-04-29,1246.85,1273.06,1246.85,1272.83,2.27759531,13.6709786651
2014-04-30,1272.13,1282.27,1269.42,1278.93,2.33259963,14.9029952176
2014-05-05,1294.17,1298.05,1281.31,1293.62,3.02557204,15.542652651900001
2014-05-06,1291.24,1303.04,1289.58,1300.92,2.72256025,16.6935527144
2014-05-07,1300.06,1308.72,1290.75,1292.3,3.12029944,16.489373351199998
2014-05-08,1292.32,1307.21,1286.0,1288.18,2.46971218,13.8059650647
2014-05-09,1288.55,1293.56,1276.43,1285.74,2.19044248,13.005327660199999
2014-05-12,1296.28,1314.37,1291.2,1312.92,3.01945864,15.9040850716
2014-05-13,1313.63,1316.01,1305.87,1310.65,2.30530301,15.7687188961
2014-05-14,1309.21,1313.97,1301.38,1309.43,1.68402796,11.0032779709
2014-05-15,1306.64,1310.79,1297.77,1298.19,2.26776066,16.1203865913
2014-05-16,1293.8,1297.8,1283.67,1297.04,1.74308984,11.213467321700001
2014-05-19,1293.64,1293.96,1280.85,1286.93,1.43345256,8.754004784500001
2014-05-20,1290.53,1296.28,1286.82,1291.61,1.61672862,10.8679700516
2014-05-21,1288.37,1302.61,1283.0,1302.04,1.64426426,11.146573768900002
2014-05-22,1305.26,1311.98,1293.63,1294.37,2.65629429,16.891645169
2014-05-23,1290.6,1298.35,1287.74,1297.65,1.74593206,10.980894776300001
2014-05-26,1302.0,1309.59,1299.8,1308.67,2.1426482,14.7399931764
2014-05-27,1309.47,1314.79,1303.39,1308.72,2.5416959,19.5848328762
2014-05-28,1307.78,1317.24,1300.57,1315.04,2.75661228,18.3631117926
2014-05-29,1313.72,1320.99,1307.31,1308.76,3.27605504,23.555133782
2014-05-30,1308.94,1315.93,1300.97,1305.85,3.13184138,22.2316493397
2014-06-03,1304.13,1307.91,1300.64,1301.28,2.24207572,14.2552358007
2014-06-04,1301.27,1301.27,1285.06,1290.98,1.94815419,12.1806407184
2014-06-05,1289.1,1300.24,1287.23,1300.24,1.95120186,11.7555379428
2014-06-06,1299.48,1299.48,1286.13,1293.89,1.96906687,12.7536391523
2014-06-09,1290.69,1293.44,1284.68,1286.68,1.58243667,9.9953741517
2014-06-10,1288.68,1298.91,1285.94,1298.69,2.02392292,12.7060948417
2014-06-11,1296.62,1298.68,1289.89,1294.67,1.64313571,10.2809765876
2014-06-12,1294.84,1300.15,1286.95,1299.31,2.09862877,13.589211695
2014-06-13,1297.89,1314.43,1295.44,1309.28,2.98738652,18.030430563699998
2014-06-16,1306.95,1318.02,1304.89,1317.09,2.17690245,12.1296639792
2014-06-17,1315.67,1315.67,1300.05,1302.21,2.10631617,11.9378320828
2014-06-18,1300.67,1304.21,1289.77,1290.58,2.3582292,13.3119763363
2014-06-19,1291.23,1294.25,1261.27,1267.15,2.55265209,13.8841553099
2014-06-20,1264.08,1272.06,1261.97,1271.73,1.40206735,7.552031657300001
2014-06-23,1273.67,1278.93,1269.91,1271.93,1.33301207,7.3564905069
2014-06-24,1272.02,1279.39,1271.37,1279.05,1.49099423,8.1427708613
2014-06-25,1277.98,1278.35,1269.13,1272.45,1.36130103,7.486515244
