date,open,high,low,close,volume,amount
2014-02-21,1246.05,1247.53,1223.59,1229.74,1.6930387,12.282884643800001
2014-02-24,1227.47,1227.8,1194.65,1212.18,1.51733149,10.7251667401
2014-02-25,1212.4,1215.71,1163.41,1168.21,1.4639339,10.5177925337
2014-02-26,1161.02,1172.37,1150.53,1172.37,1.4521648,8.1265586017
2014-02-27,1172.5,1179.94,1163.83,1165.26,1.31407837,8.4089724959
2014-02-28,1166.13,1177.64,1154.44,1177.64,1.15886542,7.558817595700001
2014-03-03,1176.51,1204.22,1173.39,1203.09,1.27815679,9.1106523911
2014-03-04,1197.54,1197.88,1179.05,1194.84,1.02317722,8.0530760309
2014-03-05,1196.76,1201.02,1185.07,1188.68,0.90635865,6.564684529299999
2014-03-06,1189.0,1196.94,1177.4,1194.73,1.16936559,8.2503365594
2014-03-07,1196.78,1209.21,1191.15,1197.85,1.95521701,12.6570616332
2014-03-10,1191.22,1191.36,1167.0,1172.23,1.77252214,11.4090019248
2014-03-11,1174.32,1179.14,1164.64,1177.92,1.64918111,12.8750310969
2014-03-12,1179.79,1193.2,1167.07,1185.83,1.76776646,13.4832209874
2014-03-13,1185.57,1196.84,1179.84,1185.55,1.36612745,11.05328547
2014-03-14,1179.17,1181.25,1166.98,1177.31,1.148272,8.320883373400001
2014-03-17,1178.11,1202.32,1177.95,1202.28,1.23747823,9.7569810961
2014-03-18,1203.22,1207.08,1197.31,1205.06,1.34335149,11.999757456800001
2014-03-19,1200.73,1200.73,1185.08,1192.36,1.17386366,9.6549180569
2014-03-20,1190.58,1205.97,1177.84,1177.84,1.44706705,10.763629643800002
2014-03-21,1170.5,1210.81,1164.99,1210.81,2.09999284,13.330765028399998
2014-03-24,1210.06,1228.01,1206.52,1226.0,2.44423854,15.1536304847
2014-03-25,1221.06,1227.59,1207.29,1215.87,1.93022852,13.084086017899999
2014-03-26,1218.07,1218.87,1207.87,1217.48,1.2339475,8.6330367508
2014-03-27,1214.64,1214.64,1195.12,1197.8,1.32531069,9.1936800266
2014-03-28,1195.38,1200.14,1177.57,1182.38,1.13018426,8.027991463400001
2014-03-31,1184.32,1191.51,1176.57,1180.73,0.92632053,5.3725485062
2014-04-01,1181.85,1196.18,1181.46,1195.99,0.97580259,5.9581072394
2014-04-02,1197.47,1205.11,1193.1,1203.49,0.90923558,6.531999771000001
2014-04-03,1206.61,1206.61,1186.44,1190.31,1.03777186,6.645755245299999
2014-04-04,1186.29,1199.0,1184.26,1196.32,0.65269593,4.7081214438
2014-04-08,1194.59,1222.21,1194.22,1222.05,1.58782046,9.6608274819
2014-04-09,1225.4,1228.55,1220.87,1225.21,1.1033261,8.1064968756
2014-04-10,1225.29,1236.72,1218.32,1231.13,1.84623426,10.2216980192
2014-04-11,1225.59,1226.24,1214.27,1220.62,1.29067846,7.4305410985
2014-04-14,1220.08,1227.34,1217.37,1226.02,0.94245972,6.5799806074000005
