date,open,high,low,close,volume,amount
2021-12-13,2015.19,2074.4,1987.41,2032.12,1.63298,29.590772712899998
2021-12-14,2017.71,2063.36,1995.28,2041.2,1.44082777,28.3756070566
2021-12-15,2038.42,2106.16,2016.82,2076.11,1.8624447,36.4070966567
2021-12-16,2076.53,2116.27,2041.57,2081.34,1.72337497,35.4454103868
2021-12-17,2080.57,2098.99,2029.14,2039.69,1.36128687,27.341452467199996
2021-12-20,2031.78,2076.6,1995.98,2031.52,1.40928057,25.1862253849
2021-12-21,2027.14,2101.16,2009.22,2072.09,1.42761718,26.016906035700003
2021-12-22,2075.06,2112.86,2034.72,2061.58,1.42681097,27.5798882295
2021-12-23,2058.36,2093.85,2015.97,2038.31,1.43704898,26.706588387399997
2021-12-24,2044.04,2060.84,1969.89,1977.82,1.20581892,21.896314242800003
2021-12-27,1973.81,2014.48,1948.66,1990.15,0.98059334,16.8967894716
2021-12-28,1991.04,2025.94,1966.28,2000.42,0.95508204,16.5135990797
2021-12-29,1998.04,2038.18,1969.48,2012.2,1.00975681,17.9093520881
2021-12-30,2014.73,2065.01,1995.93,2030.53,1.1788137,21.3093532957
2021-12-31,2037.57,2091.44,2010.47,2048.32,1.43516998,24.7459578372
2022-01-04,2047.66,2106.98,2021.41,2076.8,1.51655496,26.577374880500003
2022-01-05,2083.8,2109.17,2023.48,2056.97,1.39296656,24.660244031399998
2022-01-06,2049.09,2144.96,2035.41,2118.49,1.81456076,28.746515290100003
2022-01-07,2115.19,2216.17,2081.73,2131.41,2.41458415,38.3172965659
2022-01-10,2138.99,2228.44,2101.37,2191.9,2.30660805,36.7196861337
2022-01-11,2199.76,2255.93,2151.91,2182.44,2.21657307,36.4276736493
2022-01-12,2174.6,2212.78,2129.7,2160.4,1.76449632,29.8114985396
2022-01-13,2159.59,2210.64,2126.78,2155.49,1.43924731,24.6442825713
2022-01-14,2152.54,2180.15,2091.82,2114.05,1.58650745,25.4089901351
2022-01-17,2115.15,2167.49,2091.26,2145.94,1.29352463,22.453971173600003
2022-01-18,2152.17,2257.02,2098.08,2219.03,2.70150354,46.015190702299996
2022-01-19,2210.02,2326.75,2163.05,2249.48,3.79208551,67.9716580681
2022-01-20,2227.44,2254.97,2133.45,2152.53,2.63175723,45.714523398500006
2022-01-21,2134.31,2181.45,2082.66,2109.74,1.67510274,28.909410735700003
2022-01-24,2105.78,2162.84,2067.84,2109.4,1.47739353,24.8324516685
2022-01-25,2098.75,2117.42,1977.77,1986.72,1.6229055,25.8794958209
2022-01-26,1989.28,2080.06,1960.31,2043.45,1.78971204,28.5888641542
2022-01-27,2047.38,2064.74,1958.58,1970.19,1.4262591,23.5291627078
2022-01-28,1989.76,2041.36,1949.65,1983.36,1.28335064,20.2971991786
2022-02-07,2001.75,2195.95,1978.89,2173.29,3.03046434,46.8266807126
2022-02-08,2192.14,2262.66,2136.27,2220.67,3.75335846,60.6809031049
2022-02-09,2220.39,2294.37,2173.69,2237.75,3.20630775,55.1938232034
2022-02-10,2237.24,2344.0,2200.07,2278.9,3.69280223,67.5379766376
2022-02-11,2228.83,2298.95,2177.51,2212.92,2.96421097,56.0318632408
2022-02-14,2183.95,2247.28,2147.7,2202.32,2.33501996,41.3735902394
2022-02-15,2203.38,2263.63,2143.43,2222.38,2.7126973,46.693046846499996
2022-02-16,2220.91,2371.93,2196.94,2333.87,4.12229613,77.27116888229999
2022-02-17,2313.05,2344.72,2219.07,2238.7,3.42284488,64.4837459696
2022-02-18,2201.91,2324.82,2183.28,2286.83,3.03448054,54.3227625961
2022-02-21,2286.94,2363.79,2254.5,2331.73,2.85518812,56.431765927700006
2022-02-22,2305.29,2357.07,2229.1,2265.19,3.46708798,58.697629644399996
2022-02-23,2264.02,2292.78,2206.47,2246.87,2.80929621,46.5960483625
2022-02-24,2234.0,2296.49,2107.09,2163.95,3.66979189,61.806021837399996
2022-02-25,2181.04,2279.11,2155.2,2191.28,3.00963996,49.3932037894
2022-02-28,2181.65,2212.22,2103.46,2152.18,2.2161849,36.8353863755
2022-03-01,2153.54,2207.58,2128.55,2178.0,1.8666081,30.484075520900003
2022-03-02,2161.51,2210.7,2138.38,2179.25,1.64252566,29.4075089411
2022-03-04,2158.29,2177.58,2088.76,2104.13,1.80417093,30.033968422199997
