date,open,high,low,close,volume,amount
2014-02-21,4296.92,4363.81,4282.16,4314.66,0.62008058,8.3892845589
2014-02-24,4262.33,4359.76,4213.79,4344.7,0.69131235,9.206701472999999
2014-02-25,4342.09,4380.03,3999.01,4020.37,1.05050222,13.045816153599999
2014-02-26,4026.62,4132.27,3971.98,4132.27,0.76962613,9.1855528029
2014-02-27,4130.03,4372.37,4130.03,4227.53,1.05136748,13.222211511600001
2014-02-28,4220.2,4333.58,4106.2,4308.38,0.92524045,11.9581972571
2014-03-03,4321.16,4405.31,4288.23,4361.04,0.87078328,10.9523455584
2014-03-04,4314.88,4390.86,4294.02,4390.86,0.92715396,11.746616160999999
2014-03-05,4386.28,4410.0,4303.73,4331.72,0.8074661,9.8406350341
2014-03-06,4312.89,4324.47,4189.37,4266.36,0.65565867,7.9022114348
2014-03-07,4263.88,4323.17,4242.52,4297.78,0.64868107,8.2140581792
2014-03-10,4250.23,4250.23,4044.5,4071.45,0.61261645,7.027064348500001
2014-03-11,4044.59,4065.33,3925.17,3972.71,0.4267057,4.8011770594
2014-03-12,4002.89,4033.44,3896.8,4001.72,0.59608628,6.6948515778
2014-03-13,3988.84,4037.9,3952.68,4034.97,0.43880299,4.8673827689
2014-03-14,3993.72,4039.97,3969.08,3999.18,0.28090683,3.2552173283999997
2014-03-17,4004.11,4149.82,3991.53,4124.84,0.38209638,4.6859051235
2014-03-18,4125.84,4234.74,4124.55,4156.71,0.57467329,6.5685177777999995
2014-03-19,4160.71,4185.87,4111.46,4172.63,0.44518762,5.724143843099999
2014-03-20,4153.05,4208.44,4088.7,4088.7,0.63972351,7.6488633296
2014-03-21,4075.97,4155.52,3989.57,4134.39,0.49202707,5.773684296799999
2014-03-24,4135.87,4157.61,4082.93,4099.5,0.32768376,4.0736347555000005
2014-03-25,4093.39,4103.42,3998.63,4020.74,0.3636384,4.8052658871
2014-03-26,4031.83,4090.02,4007.67,4065.93,0.31083809,3.9913096755
2014-03-27,4055.63,4059.27,3966.33,3966.33,0.33734017,4.20104803
2014-03-28,3950.87,3958.53,3843.68,3853.72,0.40664705,4.5572010026
2014-03-31,3840.38,3860.38,3797.79,3822.67,0.27300297,3.4010756646
2014-04-01,3833.01,3926.37,3824.16,3921.23,0.21382264,2.6619888241
2014-04-02,3930.37,3934.4,3845.64,3874.76,0.20420638,2.6041374633000003
2014-04-03,3859.26,3910.4,3842.86,3882.3,0.19962117,2.2377972484
2014-04-04,3862.89,3931.26,3862.89,3931.04,0.18198429,2.2514590402000003
2014-04-08,3912.02,4015.47,3908.6,4004.89,0.35275443,4.115529040299999
2014-04-09,4009.3,4082.34,4006.9,4080.47,0.41015576,5.0800790293
2014-04-10,4075.77,4114.65,4042.38,4071.56,0.43055075,5.1848023749
2014-04-11,4030.84,4041.94,3977.33,3991.17,0.42618282,4.9960479765
2014-04-14,3985.71,4067.57,3975.4,4056.61,0.43319179,4.9677931756
