date,open,high,low,close,volume,amount
2014-02-21,6025.22,6080.26,5954.09,6013.27,3.53169971,37.7257975328
2014-02-24,5998.44,6014.23,5901.42,6014.23,3.53174084,38.5146766452
2014-02-25,6033.39,6100.95,5729.2,5759.21,5.36771381,63.7854540852
2014-02-26,5735.94,5842.92,5678.83,5842.92,4.24598912,45.408315009700004
2014-02-27,5881.65,6007.35,5792.86,5794.81,5.32806817,59.453427769899996
2014-02-28,5774.63,5851.87,5683.81,5851.79,4.32618092,48.165613994
2014-03-03,5841.65,6016.0,5839.38,6016.0,4.43074962,56.762740900699995
2014-03-04,5986.35,6054.29,5950.53,6051.87,4.45290951,59.1089082725
2014-03-05,6083.43,6113.21,6017.47,6024.51,4.06180897,52.20382455
2014-03-06,6002.47,6060.79,5908.08,6035.44,3.86452348,48.0551046733
2014-03-07,6043.08,6107.16,6009.78,6062.45,3.95704726,49.455425050900004
2014-03-10,6003.88,6004.92,5817.3,5831.15,4.44250593,52.497451894499996
2014-03-11,5800.93,5853.75,5708.47,5784.89,3.76479746,42.5871314819
2014-03-12,5759.08,5822.96,5651.81,5748.33,3.28086462,38.6204276704
2014-03-13,5747.98,5850.29,5741.61,5850.29,3.08501243,33.7548390851
2014-03-14,5826.9,5845.81,5772.25,5826.72,2.44880142,28.322729693200003
2014-03-17,5836.82,5948.94,5810.28,5947.2,2.80711378,34.826499705500005
2014-03-18,5972.82,6110.65,5972.82,6070.93,3.92184201,48.679742135
2014-03-19,6070.09,6099.79,6029.35,6099.79,3.3181422,40.3911959869
2014-03-20,6098.45,6126.14,5928.78,5928.78,3.56299089,44.324280001300004
2014-03-21,5903.1,6058.44,5842.99,6053.28,3.37813883,37.3312401241
2014-03-24,6078.36,6139.29,6075.83,6090.15,3.90120562,44.4720669513
2014-03-25,6068.73,6082.55,6019.06,6063.44,3.31542558,35.8376514236
2014-03-26,6098.69,6120.67,6072.46,6097.33,3.30953108,35.0058524454
2014-03-27,6094.59,6096.9,5887.67,5887.67,3.5668912,40.4194377067
2014-03-28,5862.57,5879.5,5665.15,5684.63,3.74768899,40.8981971823
2014-03-31,5674.89,5694.45,5567.22,5601.46,2.5122069,26.0827084865
2014-04-01,5599.03,5711.59,5596.17,5711.35,2.16984488,24.8218308828
2014-04-02,5719.85,5752.28,5649.69,5661.96,2.42544068,28.2979035227
2014-04-03,5665.2,5699.55,5629.56,5659.03,2.52551775,28.042522394899997
2014-04-04,5643.71,5726.05,5630.07,5726.05,1.94064576,21.9212460231
2014-04-08,5698.51,5770.71,5678.15,5761.6,2.46223422,27.811408548400003
2014-04-09,5771.14,5840.82,5770.72,5840.39,2.89064293,33.3621088935
2014-04-10,5856.49,5928.94,5851.32,5892.1,4.49127361,47.5258293295
2014-04-11,5853.3,5853.8,5762.65,5838.14,3.90388216,42.0737139184
2014-04-14,5824.29,5852.89,5801.52,5845.59,3.6305755,39.8517179396
2014-04-15,5842.57,5842.57,5794.21,5810.47,2.62731716,28.124164364600002
2014-04-16,5800.21,5830.61,5774.92,5790.69,2.49744702,27.5618780322
2014-04-17,5797.17,5815.24,5783.92,5786.72,2.1335942,24.054335935700003
2014-04-18,5775.94,5800.36,5760.57,5791.91,2.43691623,26.5227192942
2014-04-21,5774.41,5842.53,5735.86,5740.24,3.05494203,32.2195504463
2014-04-22,5730.51,5758.7,5549.54,5616.53,3.10072668,33.0209429176
2014-04-23,5604.07,5620.54,5561.27,5595.82,2.25929563,23.783565479
2014-04-24,5579.63,5591.68,5508.02,5526.65,2.44461737,24.3957891152
2014-04-25,5527.65,5543.62,5426.59,5430.14,2.34043261,22.1320602285
2014-04-28,5431.92,5434.98,5245.69,5250.65,2.71890783,25.3615143869
2014-04-29,5229.42,5337.01,5228.29,5337.01,1.84088559,18.6447604263
2014-04-30,5329.79,5363.43,5312.25,5351.44,1.9364227,19.1468626211
2014-05-05,5342.1,5396.9,5319.11,5396.9,1.53279645,16.035131903499998
2014-05-06,5396.77,5462.28,5395.01,5436.98,1.87437048,20.3016250881
2014-05-07,5424.15,5428.22,5305.69,5305.69,2.00654337,21.8345280682
2014-05-08,5291.62,5360.53,5273.37,5299.18,1.78993764,18.7037687391
2014-05-09,5289.94,5299.3,5202.01,5241.19,1.60882819,17.0948863847
2014-05-12,5283.6,5358.78,5258.45,5358.62,1.86193291,19.2689176522
2014-05-13,5360.94,5377.52,5314.2,5337.3,1.57342827,16.4213343644
2014-05-14,5330.1,5356.99,5304.82,5353.73,1.61860197,17.6078627764
2014-05-15,5345.17,5358.17,5247.77,5253.48,1.99842117,21.597959262800003
2014-05-16,5240.12,5247.09,5169.48,5229.15,1.73297539,18.4608617863
2014-05-19,5216.35,5219.99,5168.15,5219.99,1.35401807,13.8576039744
2014-05-20,5246.15,5292.0,5217.49,5234.58,1.5489679,17.9167987535
2014-05-21,5225.11,5262.65,5166.73,5262.65,1.45052231,16.058553633699997
2014-05-22,5281.08,5356.86,5279.66,5288.27,2.20982834,23.476355703699998
2014-05-23,5274.91,5350.27,5271.63,5350.27,1.73981326,19.3459272048
2014-05-26,5383.02,5427.86,5377.2,5427.86,2.26600266,25.8141196205
2014-05-27,5424.34,5433.43,5391.98,5414.55,1.79593218,20.0920185989
2014-05-28,5419.44,5516.05,5409.14,5516.05,2.63720128,29.867818910900002
2014-05-29,5510.33,5514.42,5416.31,5418.11,2.13315537,24.4143512573
2014-05-30,5419.46,5463.71,5394.35,5444.04,1.83176952,20.6017403913
2014-06-03,5451.76,5469.17,5420.7,5422.13,1.5135736,16.465685901300002
2014-06-04,5409.95,5419.17,5318.82,5375.04,1.93827453,21.753133614499998
2014-06-05,5362.6,5427.91,5357.79,5427.91,2.51540633,26.2019465734
2014-06-06,5435.2,5478.16,5408.8,5439.61,2.3888498,24.8386832742
2014-06-09,5433.22,5463.73,5409.61,5415.31,2.33333714,24.6754359873
2014-06-10,5425.1,5494.04,5385.57,5490.7,2.30683295,26.0772356581
2014-06-11,5496.11,5565.69,5483.14,5559.57,2.81600689,30.329878511900002
2014-06-12,5536.34,5538.71,5490.99,5506.29,2.02454257,21.4029793793
2014-06-13,5510.38,5604.55,5508.93,5599.52,3.04661201,32.2225069884
2014-06-16,5628.27,5693.89,5626.52,5683.11,3.32676496,36.2622320786
2014-06-17,5687.05,5699.59,5640.84,5644.67,2.86943415,30.9768909602
