date,open,high,low,close,volume,amount
2021-12-13,13544.09,13818.83,13320.78,13564.33,8.91688969,317.775737656
2021-12-14,13539.41,13694.8,13269.68,13377.12,7.42050318,225.8789921675
2021-12-15,13344.94,13655.65,13188.67,13338.36,9.87817888,252.2922059737
2021-12-16,13345.83,13631.76,13250.2,13516.99,8.81924094,238.170275436
2021-12-17,13375.39,13484.1,12895.48,12961.22,9.58559809,311.7614287314
2021-12-20,12817.69,12988.22,12311.8,12477.91,9.42601554,302.7727682432
2021-12-21,12465.57,12687.94,12170.98,12548.08,9.08995729,248.0670913472
2021-12-22,12609.88,12738.64,12365.4,12501.82,6.5272195,189.53476307009998
2021-12-23,12445.2,12821.74,12336.68,12638.67,7.32402248,234.02701655639999
2021-12-24,12647.05,12723.75,12098.96,12181.83,9.6022518,262.6126733441
2021-12-27,12088.35,12373.58,11877.02,12124.3,7.86485551,223.44242507220002
2021-12-28,12127.74,12580.33,11991.44,12501.91,8.25047329,251.8088672928
2021-12-29,12485.01,12829.3,12292.73,12568.34,11.62461526,270.4570080325
2021-12-30,12550.38,12889.96,12335.77,12549.59,10.83255398,265.5008360278
2021-12-31,12866.76,13426.2,12806.29,13118.06,10.95755881,399.6691195428
2022-01-04,13148.46,13287.44,12327.59,12534.66,9.69712565,348.8242887253
2022-01-05,12570.51,12618.28,11980.49,12098.57,9.28798834,270.2681824761
2022-01-06,11962.01,12259.09,11800.95,12089.03,8.769675,216.8313737566
2022-01-07,12088.07,12260.97,11697.84,11884.48,9.25862659,249.95014148009997
2022-01-10,11835.61,11989.07,11577.63,11742.87,7.74867164,199.9929912321
2022-01-11,11742.84,11873.32,11387.56,11543.04,7.60912988,217.95552711919999
2022-01-12,11685.3,12002.29,11516.84,11930.88,8.33393301,237.04681128369998
2022-01-13,11932.37,12028.03,11598.0,11733.41,7.4915479,193.555407316
2022-01-14,11651.86,12039.76,11555.38,11849.35,7.61888754,197.06747218080002
2022-01-17,11934.41,12270.59,11792.15,11982.78,7.75323532,212.82929025080003
2022-01-18,11951.03,12118.15,11724.92,11889.41,7.98814363,173.961241037
2022-01-19,11836.35,11882.41,11526.79,11648.72,6.42516926,176.1480140641
2022-01-20,11596.14,11780.92,11410.76,11548.82,6.82258566,164.2399179102
2022-01-21,11527.35,11773.04,11298.77,11476.79,6.11866086,177.0965850998
2022-01-24,11448.01,11985.0,11276.25,11830.69,7.14480776,226.7265540398
2022-01-25,11717.22,11966.99,11456.82,11505.98,6.72983217,194.8225823911
2022-01-26,11599.68,11942.52,11476.73,11803.09,6.91070308,207.37968359159998
2022-01-27,11739.38,11885.85,11209.14,11279.32,8.86573658,247.7838436335
2022-01-28,11413.37,11532.03,10664.9,10979.08,7.48204367,254.0842734679
2022-02-07,11232.15,11572.25,11000.74,11270.22,6.35143942,203.09577862150002
2022-02-08,11259.75,11300.3,10620.15,10907.19,7.09044301,204.9870925759
2022-02-09,10906.24,11043.31,10651.25,10925.5,6.38189358,176.4980930472
2022-02-10,10975.6,11070.29,10395.81,10579.93,8.265789,241.9191556171
2022-02-11,10409.73,10628.01,10129.94,10217.46,7.31241509,224.7332794529
2022-02-14,10119.17,10391.13,9954.35,10196.13,5.1690903,172.518526672
2022-02-15,10286.35,10716.8,10178.6,10665.8,5.76150727,210.0199326053
2022-02-16,10756.88,10842.64,10509.04,10623.24,4.83248673,154.5620690888
2022-02-17,10582.32,11071.64,10512.53,10908.08,8.07975704,244.01204833740002
2022-02-18,10809.28,10938.12,10649.11,10773.32,4.96435695,154.6418888753
2022-02-21,10747.84,10939.17,10574.74,10806.57,6.00766426,160.4266259142
2022-02-22,10710.8,11203.01,10577.58,11029.41,9.55614601,264.7080092407
2022-02-23,11109.57,11532.74,11060.45,11442.02,9.57715302,295.06288966330004
2022-02-24,11352.85,11934.84,11242.23,11569.15,14.41228765,404.1424345296
2022-02-25,11854.34,12069.57,11544.75,11734.94,9.7067219,289.3349297955
2022-02-28,11731.38,12149.91,11597.13,12097.03,7.86182811,269.2816673653
2022-03-01,12398.46,12667.15,12094.91,12235.87,11.41245524,348.97756246449995
2022-03-02,12217.32,12426.53,11846.29,12327.62,12.24712735,284.7643609855
2022-03-04,11898.49,12286.02,11810.57,12012.19,7.28396776,199.05225127970002
2022-03-07,11901.41,12182.53,11615.75,11869.02,6.83485228,216.85883398709998
2022-03-08,11873.85,12382.19,11758.75,11946.19,9.73268723,316.4238610639
2022-03-09,12209.36,12395.7,11324.88,11963.98,12.0372682,376.0305236027
2022-03-10,12421.75,12717.79,12205.36,12452.26,15.28223838,437.0004332429
2022-03-11,12206.03,12522.38,11892.98,12299.73,11.88031294,328.9209055177
2022-03-14,12206.2,12456.15,11865.92,11980.56,8.02334719,239.3970747347
2022-03-15,11813.08,12244.52,11544.17,11731.5,9.7893328,281.6644154307
2022-03-16,11998.92,12281.54,11378.48,12197.18,10.5945476,341.3989072947
