date,open,high,low,close,volume,amount
2021-12-13,32579.22,33290.4,31700.44,32743.28,8.88800483,479.639370813
2021-12-14,32638.72,32958.73,31931.51,32350.28,8.1101143,357.24640953589994
2021-12-15,32295.23,32934.96,32029.62,32239.48,6.71647771,287.78065726759996
2021-12-16,32464.64,32699.31,31898.51,32386.08,6.2538644,270.8264568227
2021-12-17,32244.94,32460.39,31415.98,31763.64,7.92354361,355.64433418019996
2021-12-20,31712.64,31956.48,30052.37,30255.47,8.6418541,404.5338749185
2021-12-21,30198.79,30739.37,29591.83,30149.31,7.9714917,320.2751265831
2021-12-22,30378.58,31019.86,30084.1,30602.26,8.75933781,326.143010929
2021-12-23,30830.75,31288.63,30150.71,30594.67,7.67421128,324.1763730578
2021-12-24,30674.91,30795.92,28235.01,28818.67,9.26218461,483.9877511543
2021-12-27,28779.11,29615.94,28561.69,28993.86,6.59132655,300.1320329325
2021-12-28,29037.38,29802.39,28679.38,29630.11,7.17993612,328.5424218187
2021-12-29,29615.08,29918.19,28963.38,29335.11,6.36924154,300.1832006145
2021-12-30,29420.66,30069.39,29080.93,29570.31,5.8223929,287.3047211553
2021-12-31,29855.51,30293.77,29172.75,29564.43,5.80988613,274.7378751095
2022-01-04,30286.37,30490.11,28312.36,28693.85,8.28926151,418.9136235579
2022-01-05,28553.93,28718.08,27247.48,27562.57,8.60307902,390.726584645
2022-01-06,27261.78,27788.53,26716.58,27378.36,7.95470762,335.506588769
2022-01-07,27552.29,27883.38,26542.94,27000.35,7.48513244,323.5756144054
2022-01-10,26898.77,27494.53,26317.8,26907.11,6.28308468,307.2253570488
2022-01-11,27077.98,27583.11,26603.33,26805.34,6.56908811,295.8577093207
2022-01-12,27494.63,28389.63,27264.11,28118.06,8.4641637,448.34108106900004
2022-01-13,28253.57,28689.5,27362.02,27883.85,6.96652293,335.477047067
2022-01-14,27577.56,28825.14,27399.21,28468.52,7.43107151,356.2204763267
2022-01-17,28665.22,29725.2,28218.28,29368.58,6.84582846,377.85326871120003
2022-01-18,29323.6,29555.26,28451.23,28749.42,6.43617177,319.6702532274
2022-01-19,28809.36,29036.51,27239.66,27722.82,7.22607003,376.22054637360003
2022-01-20,27656.0,28195.09,27238.5,27539.29,6.24570902,267.2345856125
2022-01-21,27441.73,28182.61,26911.45,27639.4,5.14016699,241.4269725269
2022-01-24,27406.36,28641.86,27099.28,28196.99,6.45094252,298.4669342972
2022-01-25,27968.83,28542.65,27402.68,27481.88,6.308485,241.0808308339
2022-01-26,27681.47,28374.8,27287.35,28055.49,5.22912107,241.00309357560002
2022-01-27,28033.59,28483.46,27176.6,27340.39,6.26192349,262.1441190168
2022-01-28,27864.22,28348.55,26751.12,27543.5,6.34365516,344.0040440233
2022-02-07,28210.11,28727.64,27091.36,27453.93,6.07547945,293.87556656
2022-02-08,27413.52,27511.79,25179.26,25961.2,6.45761077,346.4567905474
2022-02-09,25971.64,26455.6,25191.54,26199.73,6.16563028,279.1933799002
2022-02-10,26347.78,26480.81,24505.4,25109.19,5.76229821,369.1284659709
2022-02-11,24740.98,25365.42,24111.19,24311.82,6.49316865,333.7567301059
2022-02-14,24085.26,25177.6,23887.76,24726.15,5.08987298,282.3721103381
2022-02-15,25049.83,25919.32,24736.65,25759.28,5.80957477,307.1661894217
2022-02-16,25869.79,26395.62,25505.97,25835.75,5.37796586,245.1469250615
2022-02-17,25821.99,26863.3,25524.86,26392.38,9.0767568,368.38758306849996
2022-02-18,26094.44,26384.38,25622.63,25937.06,6.16463287,256.57290626540004
2022-02-21,25929.63,26237.09,25241.59,25580.79,6.0922072,270.0431596134
2022-02-22,25429.61,25654.87,24797.35,25406.25,6.25001353,274.9429824562
2022-02-23,25460.2,26523.26,25332.92,26346.65,8.97352039,381.03517722690003
2022-02-24,25988.89,26685.82,25470.78,25911.37,10.39534378,403.568688825
2022-02-25,26467.27,27196.66,26296.07,26711.88,7.41441739,361.69792117160006
2022-02-28,26603.89,27276.18,26346.28,27027.8,8.20059968,324.83193935229997
2022-03-01,27270.26,27674.5,26588.57,26924.73,8.34743707,333.3209692514
2022-03-02,26735.26,26859.13,25719.03,26023.95,7.23975793,311.3073650542
2022-03-04,25146.59,25523.8,24395.67,24587.72,6.96704814,321.2964692043
2022-03-07,24163.75,24455.94,22978.55,23115.09,7.64966807,364.8936239643
2022-03-08,23382.66,23741.06,22343.68,22860.53,10.54223853,402.28197500970003
2022-03-09,22904.23,23553.69,22024.44,23194.43,9.75919546,374.7589823833
2022-03-10,24123.95,24856.93,23772.18,24305.26,9.29002277,436.7093055031
2022-03-11,23854.96,24521.98,23402.31,24345.92,7.5827981,339.9296116629
2022-03-14,23909.06,24284.78,23163.05,23331.82,6.21297083,285.7440316294
2022-03-15,23179.61,24204.1,22643.04,23133.85,8.29856116,356.9806508727
2022-03-16,23730.47,25077.61,23166.57,24935.91,10.63019934,510.7296281781
2022-03-17,25603.16,26548.08,25305.35,25797.29,11.06775336,567.2821354537
2022-03-18,25561.58,25965.4,24800.74,25431.91,7.26921124,347.81821234949996
2022-03-21,25709.06,26520.67,25439.58,25834.02,9.45527994,378.54584083059996
2022-03-22,25798.45,26073.72,25199.05,25519.19,7.33803735,277.4192066256
2022-03-24,25261.41,25581.64,24589.29,25267.06,6.51340229,249.7035956475
2022-03-25,25251.84,25502.28,24454.54,24520.35,5.94509028,247.9680685882
2022-03-28,24571.19,24755.3,23455.11,23829.08,5.39284508,255.4522298132
2022-03-29,23992.87,24563.78,23629.4,23951.04,4.99603894,231.11732062189998
2022-03-30,24208.02,25416.12,24104.28,25335.53,6.94710491,332.1101469025
2022-04-01,24523.95,25371.67,24300.82,24957.19,5.18685977,231.6881450015
2022-04-06,24921.58,25009.54,23979.14,24329.49,5.36868052,220.0023509657
2022-04-07,24068.34,24383.92,23501.77,23819.74,5.26465782,218.06224273979998
2022-04-08,23764.43,24318.82,23358.28,23704.05,5.94929889,211.2449299251
2022-04-11,23080.91,23177.72,21874.16,22134.1,6.97537343,295.7999363153
2022-04-12,22120.19,22775.95,21943.16,22572.58,7.66450487,227.8462152866
2022-04-13,22351.05,22924.72,21956.96,22175.41,5.95558795,197.5343991611
2022-04-15,21680.51,21925.2,20795.88,21530.91,6.79208802,273.1453912926
2022-04-18,21259.83,21855.18,20821.5,21730.55,4.87795773,190.2745840268
