date,open,high,low,close,volume,amount
2014-02-21,5876.41,5965.32,5799.42,5886.45,0.62501776,9.6165331491
2014-02-24,5851.63,5867.22,5738.39,5865.35,0.49849141,7.7284208077
2014-02-25,5867.94,5892.97,5402.76,5456.37,1.08264751,16.3633328941
2014-02-26,5424.16,5456.47,5294.13,5452.44,0.58569508,8.520632275599999
2014-02-27,5485.06,5659.52,5467.38,5475.76,0.75160562,11.3652383521
2014-02-28,5486.38,5626.73,5432.81,5615.66,0.61896231,8.4157141577
2014-03-03,5707.39,5845.69,5707.39,5809.17,1.0573892,14.279868133399999
2014-03-04,5779.05,5918.5,5741.61,5874.51,1.19912866,15.994248212899999
2014-03-05,5878.96,5896.52,5774.69,5791.36,0.78114785,10.6982601537
2014-03-06,5783.73,5788.55,5646.93,5730.51,0.5381639,7.4363212982
2014-03-07,5745.75,5839.49,5718.36,5740.8,0.64724676,8.7390745171
2014-03-10,5694.4,5710.03,5545.48,5560.06,0.99880301,12.5089144496
2014-03-11,5551.11,5632.76,5507.38,5596.72,0.79762411,9.7658306888
2014-03-12,5655.42,5655.42,5435.12,5518.68,0.68370979,8.7295236777
2014-03-13,5529.98,5761.38,5519.89,5749.68,1.2472625,16.254968616099998
2014-03-14,5696.62,5723.12,5619.21,5714.42,0.9260502,12.0162957507
2014-03-17,5754.0,5852.46,5718.49,5809.28,1.06211901,14.6861155157
2014-03-18,5788.36,5865.65,5771.38,5785.18,0.94277378,13.0903745446
2014-03-19,5748.98,5875.54,5707.99,5846.25,0.86868401,11.853558446300001
2014-03-20,5794.97,5817.38,5512.7,5514.21,0.89088915,12.1409030187
2014-03-21,5514.05,5631.32,5483.82,5595.71,0.6038499,8.7881819961
2014-03-24,5521.04,5633.62,5521.04,5574.71,0.696255,9.4539014538
2014-03-25,5564.13,5610.04,5549.95,5587.9,0.59098676,8.0178310572
2014-03-26,5600.26,5600.26,5493.26,5529.23,0.5027151,6.7169419501
2014-03-27,5522.96,5541.95,5426.93,5426.93,0.54266996,7.6435341637
2014-03-28,5413.97,5428.51,5193.39,5230.32,0.71681076,9.9029652815
2014-03-31,5232.89,5313.11,5208.91,5270.23,0.48839728,7.0201007209
2014-04-01,5267.19,5354.86,5261.84,5329.21,0.53268134,8.0022599846
2014-04-02,5336.02,5343.95,5275.37,5291.23,0.34947748,4.9629711084
2014-04-03,5303.75,5351.71,5280.59,5299.58,0.41086531,5.9513693443
2014-04-04,5295.2,5377.06,5268.52,5372.67,0.51853297,7.7059840649
2014-04-08,5346.13,5585.84,5339.53,5561.83,0.87605735,12.7294518339
2014-04-09,5574.39,5585.85,5523.24,5575.68,0.57786918,8.9459574963
2014-04-10,5580.88,5665.73,5549.5,5582.74,0.59698762,8.726665906200001
2014-04-11,5554.84,5615.74,5539.78,5611.72,0.71455942,10.1790745908
2014-04-14,5606.17,5654.59,5601.16,5652.68,0.49575195,7.441518333099999
2014-04-15,5751.33,5784.4,5636.45,5644.93,0.76742838,11.912032336
2014-04-16,5629.45,5674.58,5566.9,5672.14,0.4799757,7.212512264500001
2014-04-17,5672.41,5684.64,5609.93,5611.71,0.39248002,5.9281289238
2014-04-18,5591.33,5705.72,5570.67,5691.59,0.55233319,8.149606633
2014-04-21,5629.4,5722.09,5547.61,5549.94,0.55257673,8.4471769712
2014-04-22,5523.4,5585.89,5416.87,5492.64,0.5961731,8.4641101157
2014-04-23,5477.37,5687.41,5462.54,5684.55,0.75207297,8.9055177061
2014-04-24,5666.35,5719.09,5583.65,5584.9,0.9171685,10.4632938994
2014-04-25,5571.49,5571.49,5403.6,5417.2,0.57836742,6.616146818200001
2014-04-28,5376.6,5376.6,5117.84,5119.67,0.66993359,7.428377965399999
2014-04-29,5098.23,5173.97,5098.23,5137.03,0.41137589,4.7752010810000005
2014-04-30,5138.71,5222.81,5136.48,5202.15,0.31002337,3.6131454453
