date,open,high,low,close,volume,amount
2014-02-21,5877.05,5985.44,5858.0,5935.28,0.86102917,14.7015608547
2014-02-24,5901.18,5949.87,5856.5,5894.52,0.94621265,16.1143483955
2014-02-25,5898.43,5904.06,5472.62,5536.52,1.53679956,27.178001196999997
2014-02-26,5466.57,5475.7,5289.66,5451.7,1.01441624,15.8641678903
2014-02-27,5464.76,5588.82,5410.35,5417.61,1.21526953,19.1263577944
2014-02-28,5387.95,5517.81,5353.79,5516.69,0.7262527,11.7765296608
2014-03-03,5634.26,5728.31,5599.35,5657.65,1.09349181,19.5594640208
2014-03-04,5643.14,5734.53,5570.56,5732.83,1.00108195,16.6141055505
2014-03-05,5719.31,5750.74,5614.09,5630.6,0.91213033,15.176564281
2014-03-06,5615.82,5623.44,5476.34,5566.21,0.7171741,11.7081431907
2014-03-07,5567.07,5636.86,5502.87,5543.7,0.61907185,9.859527978
2014-03-10,5445.37,5453.33,5213.68,5241.97,0.80546733,12.943028932799999
2014-03-11,5229.5,5256.34,5143.57,5212.28,0.57411317,9.5518923463
2014-03-12,5194.03,5245.94,5104.65,5204.36,0.51846476,8.4946423095
2014-03-13,5213.98,5338.33,5190.02,5308.07,0.6329042,11.1383859951
2014-03-14,5291.08,5301.73,5232.54,5262.63,0.4588073,7.9588140722
2014-03-17,5314.79,5350.88,5265.78,5350.88,0.55063902,9.2755813561
2014-03-18,5353.89,5357.94,5301.64,5304.41,0.48085364,7.8672336064
2014-03-19,5275.83,5313.23,5215.01,5312.08,0.49713556,8.1959573589
2014-03-20,5305.51,5305.51,5143.61,5155.36,0.48859994,8.0575064507
2014-03-21,5134.28,5259.35,5059.38,5255.23,0.57111379,9.6685024826
2014-03-24,5243.7,5284.65,5217.47,5254.37,0.51535136,8.3628521695
2014-03-25,5255.12,5322.05,5230.96,5275.52,0.56888329,9.7310505518
2014-03-26,5266.02,5279.31,5204.6,5240.61,0.44696693,7.5125234346
2014-03-27,5224.58,5232.02,5141.51,5141.51,0.41088163,6.860412096699999
2014-03-28,5151.44,5168.97,4952.93,4960.72,0.71700424,11.670892792
2014-03-31,4955.34,5013.48,4932.06,4970.38,0.45090405,7.4997312751
2014-04-01,4966.44,5049.82,4953.65,5035.78,0.37262857,6.0596289401
2014-04-02,5035.12,5045.63,4972.7,4978.03,0.33477954,5.3396072805
2014-04-03,4991.13,5011.73,4950.82,4964.69,0.34089981,5.5222013424
2014-04-04,4958.95,5065.13,4954.0,5063.86,0.39118405,6.0732427500999995
2014-04-08,5050.96,5334.89,5047.55,5299.41,1.02272163,16.8885606347
2014-04-09,5316.46,5349.16,5287.93,5324.43,0.63809027,10.8926913947
2014-04-10,5321.81,5390.46,5310.99,5349.97,0.4723799,7.2512853319
2014-04-11,5327.72,5331.98,5287.6,5325.21,0.3926759,5.6915402462
2014-04-14,5315.5,5363.56,5315.5,5352.01,0.34213023,5.2314249668
2014-04-15,5458.93,5494.76,5359.76,5369.2,0.69946151,10.2029788379
2014-04-16,5357.47,5402.86,5344.33,5372.86,0.47849987,7.042778183899999
2014-04-17,5411.23,5427.21,5289.25,5304.02,0.5353651,9.731631094199999
2014-04-18,5265.17,5319.95,5252.02,5317.99,0.47267196,7.9352604152
2014-04-21,5264.24,5314.85,5182.55,5187.68,0.46037968,7.5015528868
2014-04-22,5179.93,5223.99,5068.9,5223.99,0.49093894,8.066753801599999
2014-04-23,5210.24,5397.35,5186.63,5393.02,0.70396927,12.791821893
2014-04-24,5388.81,5442.36,5304.7,5307.59,0.69765734,12.6921370282
2014-04-25,5275.76,5314.97,5188.59,5192.14,0.50187703,8.2678862443
2014-04-28,5163.99,5163.99,5030.47,5033.14,0.50790939,7.818644577100001
2014-04-29,5040.56,5110.93,5027.51,5101.02,0.36947208,6.3697872324
2014-04-30,5084.71,5135.59,5077.5,5121.73,0.28346803,4.8728237461
2014-05-05,5125.01,5191.47,5098.84,5181.86,0.32191834,5.3622178689
2014-05-06,5185.88,5220.21,5171.45,5184.23,0.39100768,6.6736547579
2014-05-07,5167.14,5182.73,5088.96,5091.17,0.39857584,5.8687780111
2014-05-08,5092.77,5205.87,5089.15,5133.46,0.3758715,6.1515633705
2014-05-09,5141.96,5152.58,5027.33,5065.64,0.33070331,5.298711067799999
2014-05-12,5127.12,5209.52,5082.42,5204.36,0.47199394,7.8001415143
2014-05-13,5194.0,5255.38,5193.97,5255.01,0.49569931,7.7182061719
2014-05-14,5248.92,5275.25,5207.8,5243.43,0.45011038,6.9270476631
2014-05-15,5244.3,5375.66,5240.89,5248.78,0.76428175,11.502179332599999
2014-05-16,5273.1,5347.22,5239.41,5309.41,0.58256858,9.1301020497
2014-05-19,5480.82,5495.1,5182.58,5199.54,0.96133639,15.5181202002
2014-05-20,5207.59,5233.05,5086.81,5142.22,0.69954475,11.4304378689
2014-05-21,5122.48,5179.23,5098.31,5179.23,0.41514558,6.748317285900001
2014-05-22,5169.25,5213.85,5127.49,5130.58,0.5808459,8.7675215888
2014-05-23,5125.77,5138.33,5096.29,5135.97,0.35944005,5.583946440499999
2014-05-26,5277.05,5310.04,5210.23,5222.5,0.92653721,12.6291320825
2014-05-27,5221.03,5223.91,5165.56,5169.17,0.76078653,10.0065220024
2014-05-28,5159.2,5231.03,5135.14,5224.91,0.7054791,9.9038766664
2014-05-29,5220.49,5233.17,5167.36,5167.67,0.63866161,9.410721106799999
2014-05-30,5183.24,5243.01,5134.01,5222.29,0.75425629,10.939206688599999
2014-06-03,5229.64,5248.17,5196.43,5200.55,0.54721455,8.451399775
2014-06-04,5181.74,5184.99,5079.96,5141.95,0.59484475,9.1517637499
2014-06-05,5126.15,5193.96,5114.61,5187.17,0.46753842,7.5308577576
2014-06-06,5184.19,5203.24,5116.13,5148.05,0.4024818,6.2485677944
2014-06-09,5136.41,5187.63,5132.06,5138.29,0.42034843,6.9685717611
2014-06-10,5137.27,5176.06,5118.14,5173.79,0.44567167,7.136719059
2014-06-11,5175.13,5202.29,5156.97,5183.76,0.43434096,6.9422075013999995
2014-06-12,5186.85,5329.5,5186.85,5311.72,0.81800992,14.153483491300001
2014-06-13,5317.21,5370.74,5287.85,5349.85,0.70476488,11.9064877048
2014-06-16,5351.44,5454.32,5338.53,5448.74,0.98777078,15.3853347997
2014-06-17,5425.29,5425.29,5336.45,5339.01,0.60035823,9.1935799303
2014-06-18,5377.19,5506.35,5377.19,5410.27,1.13344338,17.7870523846
2014-06-19,5384.71,5476.91,5269.96,5338.97,1.2758736,18.1681551757
2014-06-20,5323.23,5392.0,5296.21,5392.0,0.65810857,9.142846389299999
2014-06-23,5406.03,5509.12,5403.2,5464.58,0.90843229,12.5591456152
2014-06-24,5462.59,5596.19,5430.96,5596.19,0.98100926,15.408824362999999
2014-06-25,5578.55,5581.32,5515.29,5528.71,0.69927115,11.009106691900001
2014-06-26,5522.46,5577.27,5509.2,5575.11,0.73965156,11.2754066177
2014-06-27,5580.23,5677.67,5556.0,5639.64,0.95231143,16.0259864689
2014-06-30,5664.57,5955.21,5664.57,5905.91,1.82646822,32.1342714211
2014-07-01,5939.06,5983.75,5790.65,5824.88,1.25141487,22.103651392899998
2014-07-02,5838.83,6092.38,5838.83,5974.42,2.23413614,51.8022311282
2014-07-03,5941.21,5968.92,5867.78,5880.89,1.79743954,41.797677221
2014-07-04,5852.32,5963.23,5852.32,5948.95,1.64504291,46.0255171698
2014-07-07,6011.09,6146.64,5991.06,6134.73,2.14366532,51.9346987258
2014-07-08,6154.82,6179.48,5976.17,6087.5,1.80829195,49.920061956400005
2014-07-09,6043.12,6329.74,5978.99,6007.04,2.69605775,66.78514457520001
2014-07-10,5993.92,6083.53,5962.42,6011.98,1.80209746,42.6369840525
2014-07-11,6011.92,6244.6,6008.33,6228.31,1.90047839,49.121211467799995
2014-07-14,6241.5,6275.08,6142.67,6150.12,1.91596802,48.8044622383
2014-07-15,6146.33,6278.99,6077.71,6199.21,1.69180893,43.3805023585
2014-07-16,6144.66,6144.66,5892.95,5904.2,1.52565583,35.9184714222
2014-07-17,5877.55,5911.93,5745.29,5805.62,1.0160869,29.316779825100003
2014-07-18,5786.69,5845.76,5731.32,5746.99,1.02647652,33.6003707612
2014-07-21,5765.49,5848.86,5668.61,5848.86,1.24968698,36.8460039228
2014-07-22,5798.32,5864.24,5758.7,5848.3,1.04547502,29.524919271799998
2014-07-23,5835.99,5891.96,5777.6,5792.38,1.05567724,29.719229174699997
2014-07-24,5789.83,5793.55,5585.79,5672.63,1.15159935,32.2427995223
2014-07-25,5687.74,5720.09,5652.38,5717.82,0.69044902,18.5654157376
2014-07-28,5755.21,5931.05,5755.21,5920.32,1.37691404,34.8309346557
2014-07-29,5944.44,6105.15,5917.31,6044.14,1.70261388,41.2829666442
2014-07-30,6062.5,6169.72,5973.27,6078.62,2.13435032,48.690976548100004
2014-07-31,6053.49,6212.66,6008.9,6175.65,1.799733,48.361467001
2014-08-01,6156.97,6312.73,6100.94,6100.94,2.22433715,49.445192895699996
2014-08-04,6113.31,6276.11,6113.31,6164.98,1.78545497,35.9405153859
2014-08-05,6150.71,6155.04,6050.41,6120.23,1.26341256,28.5401730596
2014-08-06,6109.82,6293.58,6098.94,6217.79,1.75795316,39.857450111700004
2014-08-07,6213.38,6274.98,6129.4,6130.29,1.48605883,34.2503806828
2014-08-08,6147.18,6260.0,6147.18,6199.34,1.44809293,34.423906746
2014-08-11,6222.64,6304.74,6222.64,6283.11,1.49739238,30.3967366842
2014-08-12,6295.33,6334.4,6248.37,6296.92,1.26727052,28.9875352986
2014-08-13,6292.33,6303.66,6167.62,6241.23,1.23200953,28.9872834191
2014-08-14,6222.69,6275.33,6151.63,6155.49,1.28281811,32.3006012821
2014-08-15,6157.29,6205.64,6145.25,6175.15,0.91867693,21.8602192917
2014-08-18,6187.95,6231.86,6160.87,6231.86,1.19097648,26.347086977199996
2014-08-19,6240.53,6311.04,6202.77,6291.43,1.60580699,43.838464841000004
2014-08-20,6281.1,6391.55,6262.33,6340.69,1.54648789,47.9576497991
2014-08-21,6322.47,6391.63,6301.17,6346.6,1.38550052,40.9830384975
2014-08-22,6342.91,6385.28,6320.93,6335.58,1.45648358,34.7967897729
2014-08-25,6334.38,6344.04,6215.77,6217.27,1.10594217,26.1635074927
2014-08-26,6196.34,6217.27,6074.19,6144.57,1.08390805,26.1118822046
2014-08-27,6198.36,6508.21,6198.36,6461.1,2.0417369,42.8419935128
2014-08-28,6590.0,6590.0,6299.96,6317.01,2.32533459,51.397254788400005
2014-08-29,6344.94,6642.55,6337.68,6642.55,2.47441632,57.3507702906
2014-09-01,6738.06,6907.84,6738.06,6880.35,3.19566397,70.8086173353
2014-09-02,6904.82,7264.14,6854.99,7171.41,4.16780452,95.98886403709999
2014-09-03,7153.07,7276.44,7114.08,7217.9,3.67893298,88.6136737127
2014-09-04,7185.17,7524.21,7155.28,7335.68,3.61969446,87.37694212379999
2014-09-05,7319.6,7345.74,7242.86,7330.31,2.85612925,76.4261203935
2014-09-09,7309.77,7387.8,7302.85,7334.5,2.53722295,62.2654199642
2014-09-10,7298.97,7540.85,7266.01,7442.75,3.3766446,76.8191266054
2014-09-11,7420.23,7589.7,7354.11,7500.89,3.49467041,76.9403015777
2014-09-12,7496.83,7651.23,7476.16,7651.23,2.72965659,66.6453966017
2014-09-15,7688.36,7802.17,7651.23,7686.06,2.83789194,68.5814935586
2014-09-16,7665.56,7665.56,7272.56,7289.12,3.28059326,80.45382081
2014-09-17,7268.92,7310.69,7047.97,7219.92,2.04430484,51.9764840287
2014-09-18,7166.96,7222.77,7100.62,7196.56,1.44524427,33.0744074674
2014-09-19,7207.18,7461.1,7204.95,7434.32,2.04381915,46.0169951262
2014-09-22,7453.26,7453.26,7240.48,7247.29,1.86793239,42.0968249935
2014-09-23,7258.45,7487.84,7258.45,7458.99,2.48482325,55.1433366285
2014-09-24,7464.61,7796.83,7436.01,7738.45,2.91258413,73.6756689658
2014-09-25,7803.77,7930.2,7779.02,7825.97,2.75463654,71.4616289574
2014-09-26,7885.69,7890.59,7671.9,7715.67,1.86080773,47.9889148066
2014-09-29,7739.85,7806.27,7696.51,7740.11,1.45740378,36.943562786
2014-09-30,7743.85,7745.37,7654.13,7692.53,1.18062171,30.03057458
2014-10-08,7676.18,7857.75,7665.56,7857.75,1.9050415,49.863921599099996
2014-10-09,7848.41,7925.27,7752.91,7836.98,1.79376337,47.6980088581
2014-10-10,7794.2,7936.71,7736.93,7911.65,1.89341559,52.3754441491
2014-10-13,7898.51,8016.17,7783.36,8015.12,2.16695039,56.4390107586
2014-10-14,7975.78,8158.51,7940.3,7996.47,2.50545857,78.3232306452
2014-10-15,7975.64,7999.76,7778.56,7895.64,1.63116281,47.7686484599
2014-10-16,7836.36,7924.88,7699.01,7700.69,1.35773965,40.5704847866
2014-10-17,7667.56,7870.74,7636.55,7867.24,2.60524708,59.1705633646
2014-10-20,7889.47,7943.01,7781.05,7868.7,1.68797613,37.905916262800005
2014-10-21,7863.02,7867.17,7678.03,7685.36,1.59875862,36.0477666138
2014-10-22,7681.23,7998.6,7656.68,7778.89,2.46322422,58.592051167799994
2014-10-23,7714.1,7855.63,7674.1,7726.55,1.90162321,44.850128053199995
2014-10-24,7740.38,7767.45,7574.28,7577.08,1.31083978,30.3668626265
2014-10-27,7548.14,7678.42,7487.71,7663.34,1.15025098,27.4227515596
2014-10-28,7677.21,8022.84,7672.41,8022.18,2.31350899,56.520665772
2014-10-29,8018.96,8163.93,8007.46,8097.04,2.91100646,71.8114028356
2014-10-30,8099.84,8190.39,7940.94,7967.43,2.191512,53.5656211083
2014-10-31,8000.02,8037.74,7832.25,7926.79,1.67864528,39.8610655568
2014-11-03,7932.34,8044.47,7928.77,7984.24,1.41106247,35.2482983258
2014-11-04,7985.01,7985.01,7817.99,7898.71,1.55250696,38.431809974800004
