date,open,high,low,close,volume,amount
2014-02-21,5873.42,5937.68,5843.62,5920.29,0.13396408,1.82145606
2014-02-24,5895.84,5895.84,5780.33,5821.18,0.15445897,1.84446539
2014-02-25,5811.83,5841.49,5504.97,5547.32,0.21674202,2.87796102
2014-02-26,5535.34,5535.52,5379.34,5532.96,0.13719794,1.79709212
2014-02-27,5542.5,5850.09,5521.11,5654.56,0.24283743,3.18267042
2014-02-28,5627.15,5705.86,5561.37,5688.81,0.19913309,2.18197325
2014-03-03,5770.9,5948.09,5755.86,5913.44,0.31413998,4.45948081
2014-03-04,5893.4,5992.1,5816.17,5887.55,0.28106527,4.02935722
2014-03-05,5881.17,5886.8,5787.96,5803.9,0.16463814,2.41439059
2014-03-06,5772.51,5817.84,5704.64,5787.07,0.11992444,1.86849199
2014-03-07,5864.76,5949.38,5858.85,5895.39,0.16948599,2.37091679
2014-03-10,5924.62,5924.62,5671.52,5702.25,0.26907784,2.86368058
2014-03-11,5748.49,5785.1,5582.28,5651.59,0.68119028,4.77694256
2014-03-12,5699.89,5757.2,5659.43,5746.47,0.76820509,5.26494591
2014-03-13,5720.76,5777.13,5656.84,5721.45,0.6385108,4.60541263
2014-03-14,5671.8,5671.8,5577.61,5630.05,0.37767826,2.82385329
2014-03-17,5626.42,5842.08,5626.42,5841.69,0.32451474,2.77054
2014-03-18,5899.6,5960.79,5876.54,5932.82,0.4317423,3.61158366
2014-03-19,5961.42,5961.42,5815.48,5904.49,0.72456732,5.59347449
2014-03-20,5862.41,5982.85,5738.03,5739.11,0.63742255,5.23690925
2014-03-21,5622.25,5795.77,5595.94,5756.31,0.43318401,3.802295
2014-03-24,5773.49,5834.32,5736.42,5785.76,0.42645939,3.49932921
2014-03-25,5779.25,5779.25,5692.28,5712.63,0.34225786,2.90604526
2014-03-26,5724.82,5750.53,5686.43,5721.63,0.27525559,2.2506945
2014-03-27,5701.27,5711.25,5580.37,5582.06,0.30590765,2.55352212
2014-03-28,5589.23,5589.23,5404.04,5415.07,0.29557606,2.52893961
2014-03-31,5417.86,5544.93,5406.56,5483.17,0.18402365,1.64428147
2014-04-01,5501.43,5562.45,5456.87,5533.4,0.16558969,1.46899939
2014-04-02,5517.35,5555.75,5482.45,5494.89,0.16658595,1.38123138
2014-04-03,5514.58,5539.81,5480.65,5515.71,0.17304896,1.43858593
2014-04-04,5499.07,5633.42,5496.15,5631.43,0.23181387,2.09560091
2014-04-08,5633.74,5745.22,5597.33,5720.12,0.25296926,2.48746141
2014-04-09,5727.95,5732.02,5675.2,5713.36,0.20433752,1.90221897
2014-04-10,5706.1,5719.99,5662.51,5677.67,0.21280228,2.12337017
2014-04-11,5659.69,5663.32,5609.18,5649.97,0.19075466,1.78429613
2014-04-14,5627.87,5710.06,5627.51,5709.85,0.16102818,1.49505091
