date,open,high,low,close,volume,amount
2014-02-21,2359.62,2378.29,2327.11,2346.58,1.13117814,9.3423274858
2014-02-24,2336.68,2336.68,2286.32,2290.99,1.30573064,12.955628221600001
2014-02-25,2293.8,2312.6,2187.75,2203.56,1.48618454,13.4569149028
2014-02-26,2187.6,2213.41,2163.56,2211.12,0.88699708,7.7577759083
2014-02-27,2218.59,2302.26,2215.56,2254.59,1.41131411,10.9671541856
2014-02-28,2242.77,2265.07,2202.93,2257.12,0.86684572,6.7669773925
2014-03-03,2271.47,2307.34,2271.47,2291.93,1.13190414,8.469915993899999
2014-03-04,2291.58,2323.85,2275.03,2299.1,1.12167173,9.5487719943
2014-03-05,2310.75,2313.45,2273.94,2278.52,1.01228159,9.0915132313
2014-03-06,2276.75,2276.75,2207.13,2227.8,1.05550349,8.856654826
2014-03-07,2231.7,2245.93,2215.93,2221.91,0.8603601,7.1112596447000005
2014-03-10,2199.27,2199.27,2078.32,2088.66,1.47698663,11.7628858094
2014-03-11,2079.97,2110.91,2052.86,2065.98,0.90802861,7.6271610133
2014-03-12,2067.2,2080.21,2023.08,2058.95,0.87360699,6.386682299199999
2014-03-13,2061.07,2089.89,2056.26,2073.41,0.80637731,6.1488558363
2014-03-14,2059.45,2072.75,2021.57,2043.48,0.74880768,5.5844135036
2014-03-17,2056.72,2086.93,2043.87,2086.35,0.8350549,6.2757092103
2014-03-18,2087.37,2100.65,2070.9,2077.87,0.82895812,5.8427671451
2014-03-19,2068.03,2068.73,2030.93,2055.8,1.19876765,7.914131508300001
2014-03-20,2053.88,2062.02,1989.09,1989.12,1.18068636,8.2155863649
2014-03-21,1979.02,2041.8,1951.77,2037.76,1.55501853,10.6059494525
2014-03-24,2041.18,2060.93,2030.25,2057.05,1.26099175,9.3203244337
2014-03-25,2048.99,2079.69,2041.58,2061.88,1.16135334,8.394606312899999
2014-03-26,2061.95,2068.02,2039.06,2042.6,0.7470775,5.368240489
2014-03-27,2046.42,2046.74,2001.18,2012.75,0.81848477,5.5798411975
2014-03-28,2008.36,2017.26,1964.54,1966.86,0.85211784,5.932399692200001
2014-03-31,1970.07,2026.62,1959.88,2011.05,0.86928788,6.5207763210000005
2014-04-01,2000.51,2019.61,1987.93,2010.45,0.77260141,5.5215876827
2014-04-02,2006.98,2009.05,1994.7,2006.39,0.73938991,5.3308155839
2014-04-03,2014.49,2017.12,1990.76,1995.58,0.62248297,4.4518380664
2014-04-04,1993.96,2030.19,1980.2,2026.39,0.7328977,5.839901209400001
2014-04-08,2033.94,2099.01,2031.8,2093.46,1.55047343,11.312661733299999
2014-04-09,2103.09,2105.17,2084.39,2096.59,0.91807372,7.2215435803
2014-04-10,2096.42,2124.32,2083.81,2110.68,1.12779963,7.8607014591999995
2014-04-11,2112.29,2153.7,2107.73,2128.68,1.31078891,11.0449840708
2014-04-14,2123.11,2139.49,2112.69,2127.27,0.72243647,5.6423721462
2014-04-15,2132.68,2137.15,2082.61,2087.53,1.00536275,8.015184426900001
2014-04-16,2083.01,2094.27,2055.16,2067.83,0.9287564,6.7404198003
2014-04-17,2070.63,2083.03,2058.71,2064.42,0.75536264,5.447268449
2014-04-18,2053.11,2071.04,2042.64,2067.73,0.68941507,5.4861271312
2014-04-21,2054.51,2078.18,2028.74,2036.44,0.72147018,5.685625346799999
2014-04-22,2034.69,2043.8,2000.45,2038.96,0.68459565,5.36744537
2014-04-23,2036.84,2077.56,2015.1,2075.37,1.02450459,7.2512195129
2014-04-24,2062.65,2073.23,2030.89,2031.39,0.7863928,5.9279860623000005
2014-04-25,2027.01,2027.01,1984.35,1989.46,0.77274446,5.04138061
2014-04-28,1985.62,1986.32,1946.1,1946.3,0.72618751,4.80970495
2014-04-29,1937.72,1957.31,1926.5,1952.13,0.93332849,5.3256560002999995
2014-04-30,1949.11,1953.14,1934.59,1953.14,0.46371939,2.9317135244
2014-05-05,1950.26,1969.93,1934.96,1967.12,0.44808667,3.2296025841000002
2014-05-06,1960.74,2007.32,1960.74,1989.26,0.66964254,4.6445337438
2014-05-07,1983.83,1996.37,1971.21,1974.07,0.55277839,3.9780656748000003
2014-05-08,1975.12,2004.29,1971.92,1981.18,0.54679523,4.4302043664
2014-05-09,1984.72,1999.77,1976.56,1992.1,0.54999523,4.0295410706
2014-05-12,2007.11,2029.82,1987.24,2021.18,0.92604528,6.0952326524
2014-05-13,2018.38,2029.42,2011.84,2022.4,0.67920245,4.8791403883
2014-05-14,2018.98,2018.98,2001.52,2005.47,0.55264012,3.7247382211
2014-05-15,2004.79,2057.72,1997.82,2010.47,1.2449851,8.8099307426
2014-05-16,2004.79,2013.33,1976.85,2004.89,0.65232925,4.4757595126
2014-05-19,2016.45,2028.32,1988.27,1998.13,0.7531059,5.0683546303
2014-05-20,2007.61,2026.94,1989.49,1994.48,0.97554879,6.9681342542
2014-05-21,1987.77,2001.1,1961.01,1998.52,0.6069368,4.1350706778
2014-05-22,1996.05,2010.79,1982.26,1983.08,0.75707698,4.8417511568
2014-05-23,1977.01,1995.91,1977.01,1993.66,0.51975736,3.9488874116000003
2014-05-26,2001.44,2015.21,1997.27,2015.15,0.61840807,4.976374013
2014-05-27,2014.61,2014.64,1996.0,2001.27,0.59600777,4.4443105455000005
2014-05-28,2000.46,2009.99,1984.98,2007.38,0.82916088,6.1336070809
2014-05-29,2006.78,2007.12,1982.87,1985.36,0.71162894,4.7704043971
2014-05-30,1989.03,2006.72,1975.77,1996.76,0.85399078,6.2065916555
2014-06-03,2001.85,2018.21,1999.19,2002.27,0.77377929,6.1152589127
2014-06-04,2001.08,2001.54,1981.2,1994.21,0.74741853,5.2478734185
