date,open,high,low,close,volume,amount
2021-12-13,7013.78,7066.9,6819.26,6927.3,4.70843427,111.8602531083
2021-12-14,6918.49,7092.43,6842.73,6984.27,4.68814564,100.6437422274
2021-12-15,6989.1,7084.32,6873.88,6945.52,4.44514243,97.9749320107
2021-12-16,6982.11,7190.1,6922.44,7097.99,6.20818875,122.34751726719999
2021-12-17,7084.21,7141.45,6880.89,6950.19,6.74949357,142.1718108439
2021-12-20,6925.07,7045.79,6760.55,6814.69,5.09882288,105.3219650657
2021-12-21,6804.69,6948.12,6716.11,6847.79,3.84085949,81.1023605772
2021-12-22,6849.3,6965.99,6731.29,6856.29,3.80636025,85.7729336215
2021-12-23,6848.73,7081.39,6769.41,6953.01,4.68986531,98.4790720482
2021-12-24,6949.52,7049.77,6835.69,6932.08,4.75866987,84.9509475891
2021-12-27,6912.46,7060.61,6794.76,6912.83,3.46402621,75.9329206992
2021-12-28,6916.7,7056.13,6838.24,6992.55,3.44314047,74.2432918372
2021-12-29,6970.07,7130.9,6900.4,7039.2,4.53646374,94.43413110680001
2021-12-30,7036.35,7272.43,6974.22,7177.65,4.92122974,112.6142159715
2021-12-31,7181.56,7294.06,7078.3,7166.35,4.27293017,90.4193487826
2022-01-04,7161.08,7249.22,6944.19,7068.76,4.12971565,93.6220726942
2022-01-05,7058.46,7126.33,6708.78,6799.62,5.04160179,116.4817097175
2022-01-06,6755.61,6892.01,6658.72,6756.18,3.76263527,84.6696051059
2022-01-07,6766.9,6892.17,6623.24,6675.58,3.65433664,79.8083317268
2022-01-10,6630.41,6765.88,6459.51,6656.29,3.40792263,81.0104899883
2022-01-11,6630.52,6715.78,6416.84,6469.11,3.16955724,82.5292271374
2022-01-12,6470.4,6633.54,6419.25,6575.44,2.99247519,73.0147019998
2022-01-13,6586.51,6637.64,6382.41,6467.31,3.27501061,74.6174089684
2022-01-14,6453.69,6618.78,6372.28,6505.68,3.42619538,77.0632505448
2022-01-17,6487.82,6758.14,6458.33,6681.56,4.21745394,85.06854599520001
2022-01-18,6695.72,6874.83,6566.4,6736.02,4.95406716,102.9257385942
2022-01-19,6671.47,6799.75,6494.9,6579.02,4.1838665,89.10568654469999
2022-01-20,6597.37,6677.76,6382.23,6463.92,4.08936565,93.4159040073
2022-01-21,6404.27,6468.44,6181.45,6333.83,3.28920792,79.4049938828
2022-01-24,6317.53,6491.87,6208.78,6384.26,3.01682941,62.1662333713
2022-01-25,6393.57,6564.47,6230.87,6261.43,3.48852082,72.6161242447
2022-01-26,6258.65,6356.33,6107.93,6220.86,2.42820917,67.2082424566
2022-01-27,6229.43,6357.44,6045.25,6086.34,2.83294903,65.5117132125
2022-01-28,6155.77,6280.55,5976.56,6135.13,2.43827232,62.3540651745
2022-02-07,6234.44,6336.78,6049.84,6116.1,2.79918632,59.149472466499994
2022-02-08,6113.33,6175.94,5913.3,6058.02,2.51985039,56.6730685666
2022-02-09,6054.61,6235.89,5978.38,6198.83,2.84107473,61.4406329455
2022-02-10,6219.11,6305.09,6078.35,6149.19,2.28959277,55.562020193
2022-02-11,6114.7,6179.92,5978.28,6028.78,2.58561685,56.7557966621
2022-02-14,6008.62,6188.32,5936.63,6045.28,2.43871975,56.17237507229999
2022-02-15,6055.91,6197.97,5999.29,6163.08,2.55106636,53.2217285375
2022-02-16,6159.71,6213.63,6031.12,6101.13,2.27120628,48.726775860699995
2022-02-17,6093.57,6172.42,5997.48,6104.44,3.09518137,63.67196938560001
2022-02-18,6077.56,6146.13,6010.57,6092.24,2.37593354,46.967113078400004
2022-02-21,6089.61,6211.31,6004.61,6106.83,3.24755353,63.5891744857
2022-02-22,6113.87,6153.24,5928.46,6009.3,3.38633877,65.70766978479999
2022-02-23,6000.57,6293.17,5977.23,6240.22,3.69670281,86.59296024940001
2022-02-24,6230.66,6421.64,6117.18,6268.53,6.88034553,134.1213084181
2022-02-25,6241.49,6348.67,6158.26,6252.11,4.08356128,83.8653664808
2022-02-28,6283.57,6434.86,6205.73,6318.11,3.40472906,81.40738179979999
2022-03-01,6330.42,6446.94,6256.36,6378.55,3.31676362,77.297039056
2022-03-02,6372.33,6404.72,6248.65,6312.41,2.82227743,63.345776795
2022-03-04,6152.01,6300.03,6056.77,6123.37,3.80146546,73.7339380059
2022-03-07,6121.69,6182.71,5914.99,5987.47,3.01235653,66.19215253729999
2022-03-08,5992.44,6084.29,5728.36,5775.61,3.35334396,70.9366151809
2022-03-09,5786.24,5867.95,5383.46,5667.46,4.04773528,84.6023878194
2022-03-10,5782.96,5925.15,5701.96,5784.23,2.89436873,66.0745692017
2022-03-11,5721.56,5832.53,5565.04,5785.56,2.6858016,57.6381997613
2022-03-14,5730.57,5910.19,5658.01,5728.67,2.66905167,59.425263555
2022-03-15,5695.88,5778.39,5455.75,5491.25,3.01427054,64.4171849803
2022-03-16,5573.26,5697.52,5339.99,5644.66,3.33315827,71.72089160430001
2022-03-17,5677.39,5874.83,5612.98,5725.1,3.12170751,74.1486892605
2022-03-18,5698.07,5750.18,5426.4,5641.94,2.54738456,80.8822211271
2022-03-21,5638.45,5851.58,5563.28,5757.39,4.62732121,86.35892436649999
2022-03-22,5751.89,5816.38,5625.98,5688.92,3.53339743,64.797953201
2022-03-24,5740.73,5778.07,5626.52,5682.94,2.53674915,49.898028718999996
2022-03-25,5684.14,5778.96,5585.21,5608.03,2.3229196,47.7253416706
2022-03-28,5567.95,5627.02,5429.91,5511.79,2.37428383,47.3442579807
2022-03-29,5526.59,5686.97,5457.2,5533.43,2.22828484,49.606818854
2022-03-30,5566.29,5664.32,5501.74,5611.65,2.23796361,47.84371685
2022-04-01,5496.38,5608.5,5436.24,5530.11,2.10832697,43.6098771317
2022-04-06,5513.85,5585.52,5389.41,5493.48,2.30047845,47.6735032488
2022-04-07,5488.81,5592.39,5369.69,5410.41,2.64254328,47.7473654467
2022-04-08,5424.23,5499.37,5297.11,5396.09,2.71222668,49.5543529132
2022-04-11,5396.8,5418.45,5093.2,5132.39,2.64707181,50.6001157712
2022-04-12,5138.67,5296.55,5038.09,5232.87,2.32495872,49.5582947832
2022-04-13,5203.56,5246.67,5049.46,5088.17,2.04681118,39.2431537706
2022-04-15,5073.16,5144.26,4930.37,5060.3,2.4879211,45.9202845017
2022-04-18,5031.57,5253.13,4972.08,5202.03,2.10996519,45.1017040987
2022-04-19,5212.77,5290.96,5129.88,5190.45,2.21740559,39.0231578244
2022-04-20,5195.74,5248.11,5084.33,5124.81,2.16437562,38.1619636594
2022-04-21,5100.25,5183.63,4910.44,4939.71,2.56378321,43.6699825585
2022-04-22,4915.95,4980.07,4767.37,4855.75,2.31339825,42.926273552800005
2022-04-25,4789.33,4811.62,4457.02,4481.92,3.35428915,51.92005369859999
2022-04-26,4477.65,4553.64,4235.25,4273.68,3.1700949,51.41310513810001
2022-04-27,4213.81,4582.01,4163.27,4555.86,3.18815102,53.147434357399995
2022-04-28,4519.55,4674.61,4429.04,4588.49,3.04867463,48.640034299700005
2022-04-29,4627.01,4901.2,4582.4,4867.07,3.89193714,66.902055439
2022-05-06,4936.02,5134.65,4872.53,4996.81,2.55326409,53.8436843535
2022-05-10,5019.22,5228.33,4975.44,5137.67,2.67694659,56.641861758900006
2022-05-11,5144.7,5298.3,5093.29,5150.96,3.24292089,60.756153026599996
2022-05-12,5112.99,5210.84,5047.42,5136.41,2.81569029,43.599527999399996
2022-05-13,5159.0,5210.27,5060.57,5128.59,2.19938747,36.9218163292
2022-05-16,5150.77,5278.54,5078.26,5121.89,2.29614765,40.4384414859
2022-05-17,5121.49,5237.59,5042.15,5195.09,2.09244599,40.8734163179
2022-05-18,5198.77,5295.94,5128.49,5225.42,2.76477104,48.886994279300005
2022-05-19,5156.2,5293.11,5108.87,5265.84,2.39248946,47.474949933400005
2022-05-20,5282.6,5352.82,5167.69,5265.45,2.27129326,44.977245463100004
2022-05-23,5282.57,5321.82,5184.95,5270.9,2.18836488,40.5024838293
2022-05-24,5269.65,5379.44,5063.64,5089.63,3.70675602,61.9871482633
2022-05-25,5080.65,5180.89,5018.53,5131.3,2.12289781,40.1219488027
2022-05-26,5124.58,5407.92,5063.71,5287.71,3.99666452,75.2584064587
2022-05-27,5343.75,5432.11,5230.99,5295.6,4.48192774,73.98682791819999
2022-05-30,5306.5,5395.21,5207.64,5342.47,4.27979468,66.4884548315
2022-05-31,5324.63,5417.2,5239.1,5362.12,4.6503269,73.0225202228
2022-06-01,5348.55,5495.88,5314.15,5424.72,4.49641711,73.243289366
2022-06-02,5401.19,5578.04,5358.2,5544.04,4.08882962,71.0390386169
2022-06-06,5555.55,5716.95,5486.97,5631.85,4.92308142,89.09327991319999
2022-06-07,5629.7,5698.75,5469.32,5601.79,4.26272687,73.5746040965
2022-06-08,5587.62,5718.81,5476.34,5590.81,4.38209157,79.1676230476
2022-06-09,5582.75,5595.87,5367.1,5420.04,3.45955969,66.8913987112
2022-06-10,5395.77,5627.49,5359.73,5584.22,3.53054712,75.80308854329999
2022-06-13,5583.33,5652.71,5417.07,5545.29,3.57135229,75.3851100152
2022-06-14,5494.49,5526.85,5290.71,5446.38,3.44079677,65.7836532956
2022-06-15,5464.47,5599.28,5403.97,5456.36,4.01338974,72.2106105454
2022-06-16,5467.03,5612.59,5424.42,5525.89,2.77153769,56.202750519700004
2022-06-17,5506.42,5643.43,5426.95,5601.51,3.14725149,62.8539142895
