date,open,high,low,close,volume,amount
2021-12-13,2324.3,2445.52,2308.06,2408.4,23.34917066,211.67775559860002
2021-12-14,2398.54,2492.8,2366.04,2423.6,24.09006871,213.9858464116
2021-12-15,2409.14,2489.03,2364.96,2412.05,21.81549919,179.83064547669997
2021-12-16,2414.82,2476.22,2368.78,2420.62,19.89738508,168.6278361078
2021-12-17,2420.35,2505.59,2368.49,2437.41,26.33434206,217.98308777580002
2021-12-20,2415.03,2468.13,2322.44,2340.9,22.3974633,187.1351285202
2021-12-21,2344.72,2433.32,2323.77,2386.62,18.5239054,151.0202561332
2021-12-22,2391.44,2529.13,2362.17,2469.24,26.04343002,218.557759879
2021-12-23,2463.94,2516.86,2407.01,2438.18,21.10658291,164.2913222903
2021-12-24,2454.62,2505.25,2381.97,2423.85,17.20546215,146.00143179100002
2021-12-27,2413.93,2439.86,2326.4,2362.79,14.0549925,120.0121845867
2021-12-28,2371.0,2435.94,2330.6,2370.03,13.89441458,123.678030104
2021-12-29,2365.73,2400.83,2315.69,2348.34,12.71686005,103.9608134533
2021-12-30,2345.18,2513.36,2335.01,2473.7,20.31784889,180.49762419240002
2021-12-31,2488.55,2553.07,2441.43,2506.21,21.11723579,191.6630238837
2022-01-04,2518.37,2615.8,2491.49,2579.01,24.34018264,228.07475052869998
2022-01-05,2570.01,2696.97,2533.84,2638.34,29.54010639,296.46119940169996
2022-01-06,2612.52,2662.62,2528.75,2588.45,24.48898737,238.5554859502
2022-01-07,2592.72,2674.07,2497.93,2517.33,22.28893904,211.54363780900002
2022-01-10,2492.57,2557.26,2425.72,2502.91,15.64062359,148.02443586959998
2022-01-11,2502.2,2551.59,2403.68,2435.19,17.73835828,177.22670364759998
2022-01-12,2437.4,2502.57,2402.54,2467.55,15.26565437,144.9945505666
2022-01-13,2465.44,2501.32,2395.92,2415.07,14.40315187,138.5991201825
2022-01-14,2394.9,2494.62,2367.49,2445.19,15.6282479,145.15359206809998
2022-01-17,2444.97,2530.58,2417.48,2494.54,17.28628516,156.8368008424
2022-01-18,2497.8,2521.82,2401.03,2425.1,17.85895656,157.8414556611
2022-01-19,2465.6,2588.92,2428.68,2494.66,24.28083816,232.6277422657
2022-01-20,2478.18,2508.13,2367.53,2419.74,22.48578562,203.0685607691
2022-01-21,2398.5,2456.22,2309.18,2339.4,16.7914117,153.3871120025
2022-01-24,2299.79,2371.64,2272.19,2335.47,12.13110747,114.9934821277
2022-01-25,2318.21,2336.61,2185.82,2196.65,16.90231492,139.14535996770002
2022-01-26,2209.15,2252.22,2150.26,2187.87,10.73867156,88.9795416356
2022-01-27,2174.3,2185.87,2062.68,2074.28,11.88010341,90.8642840557
2022-01-28,2089.51,2135.9,2043.53,2075.26,10.85152897,83.2394062091
2022-02-07,2100.55,2116.72,2027.64,2070.57,9.13240497,73.6956328718
2022-02-08,2071.8,2117.41,2037.2,2101.44,9.52182618,73.8132894253
2022-02-09,2100.01,2172.69,2079.54,2157.77,11.96987957,91.9584549809
2022-02-10,2157.85,2209.42,2124.83,2180.68,14.10907474,98.7547543571
2022-02-11,2162.9,2197.78,2101.4,2112.82,13.11385424,90.729873239
2022-02-14,2099.85,2149.7,2065.68,2106.89,9.40785791,67.1909684923
2022-02-15,2108.9,2170.11,2085.94,2120.97,9.90720812,69.5440917429
2022-02-16,2132.05,2164.69,2107.8,2134.94,9.2768687,69.773462407
2022-02-17,2123.25,2153.68,2088.48,2111.23,10.24265561,72.2521349855
2022-02-18,2099.2,2147.14,2084.34,2130.61,8.58042738,64.6497252855
2022-02-21,2128.23,2187.52,2091.26,2142.92,11.45232832,94.3747159475
2022-02-22,2117.48,2126.69,2015.71,2040.09,12.18873631,111.1066740016
2022-02-23,2043.72,2094.79,2032.59,2075.33,8.72241744,75.6333691288
2022-02-24,2060.76,2081.51,1934.52,1979.13,17.60164671,129.8422022794
2022-02-25,1994.34,2039.68,1978.93,1996.38,9.52032103,69.5315495528
2022-02-28,1994.75,2011.1,1935.88,1986.75,8.13704847,60.91162233
2022-03-01,1988.37,2024.87,1970.73,2009.11,7.78206456,54.16085661140001
2022-03-02,1994.15,2029.7,1979.37,2009.29,7.04237388,49.99834911399999
2022-03-04,1984.39,2045.15,1960.07,2010.98,12.74152271,87.56300332389999
2022-03-07,1995.04,2021.4,1937.08,1970.29,12.82943057,79.88488607800001
2022-03-08,1959.97,1984.67,1884.21,1899.0,11.74068069,74.7693582016
2022-03-09,1900.64,1924.56,1772.78,1880.48,11.41658579,73.8801654024
2022-03-10,1916.93,1943.72,1880.6,1893.39,9.06091781,62.0240416017
2022-03-11,1857.75,1947.76,1838.24,1930.76,10.25241844,72.3577705497
2022-03-14,1914.58,1950.65,1876.33,1884.21,8.41182093,59.5351111483
2022-03-15,1875.44,1889.26,1767.78,1772.54,10.4922085,68.5388159288
2022-03-16,1801.46,1855.52,1730.34,1840.69,11.36477242,74.2740234777
2022-03-17,1876.5,1969.0,1864.77,1935.18,12.76347608,98.7906060007
2022-03-18,1919.47,1974.07,1898.73,1949.32,9.79409751,80.269001218
2022-03-21,1963.88,2005.24,1926.88,1956.18,9.05345986,70.36382668899999
2022-03-22,1951.7,1995.53,1913.95,1969.09,9.9652021,75.5550760988
2022-03-24,1970.51,1983.85,1921.67,1939.15,7.37556684,57.593868995200005
2022-03-25,1942.26,1989.35,1917.89,1944.76,8.53337407,72.1715646854
2022-03-28,1940.47,2007.59,1922.84,1975.9,10.94673527,90.6904896616
2022-03-29,1981.42,2003.49,1934.1,1952.76,7.8612669,64.0058565497
2022-03-30,1958.42,2004.68,1934.42,1982.48,7.71315898,69.5454403915
2022-04-01,1967.8,2077.28,1943.11,2053.69,14.24978822,118.3421966368
2022-04-06,2046.18,2113.83,2028.58,2064.78,12.76502597,103.1618001001
2022-04-07,2054.31,2102.78,2010.53,2021.6,10.9104758,90.1683900213
2022-04-08,2020.61,2037.86,1937.1,1963.13,10.12041421,84.4239755891
2022-04-11,1954.52,2001.65,1865.46,1911.44,9.59363017,83.3319099724
2022-04-12,2015.62,2053.74,1899.18,1956.78,14.73719405,132.2846675151
2022-04-13,1917.75,1940.96,1849.91,1862.08,11.51997074,93.86463197049999
2022-04-15,1852.78,1874.33,1799.47,1823.69,8.89860411,67.1487697741
2022-04-18,1809.78,1828.42,1753.64,1801.36,6.09503511,47.062380263
2022-04-19,1794.62,1844.69,1780.27,1825.09,6.72383223,51.554852178599994
2022-04-20,1823.33,1873.79,1791.73,1818.29,7.59561176,59.5738843446
2022-04-21,1799.91,1840.59,1744.24,1757.43,8.23279405,59.3257741654
2022-04-22,1744.66,1772.56,1700.7,1733.94,6.50708544,47.075768357600005
2022-04-25,1694.51,1704.78,1581.75,1584.64,8.601421,57.3656317418
2022-04-26,1599.24,1662.98,1561.73,1598.73,8.80494102,65.01344400229999
2022-04-27,1575.74,1649.0,1542.64,1641.01,9.92874643,73.550959764
2022-04-28,1618.19,1646.56,1565.42,1604.29,8.75995236,65.5221945209
2022-04-29,1622.07,1735.29,1607.41,1708.42,10.59668209,85.5899090791
2022-05-06,1660.43,1700.58,1632.63,1665.76,7.75094654,59.4305628097
2022-05-10,1653.37,1692.4,1629.34,1685.84,6.81700639,51.5280082946
2022-05-11,1688.07,1738.87,1670.94,1687.5,8.72933331,69.3310572019
2022-05-12,1671.32,1707.79,1653.83,1687.34,6.30281746,47.4110831087
2022-05-13,1701.33,1720.23,1672.57,1691.82,5.12458712,40.044192422100004
2022-05-16,1699.1,1731.95,1681.06,1711.9,6.50385705,52.3942655127
2022-05-17,1710.03,1731.98,1668.23,1701.56,6.48117793,52.449588303599995
2022-05-18,1709.66,1746.73,1669.16,1688.4,7.74803604,61.8649105608
2022-05-19,1656.23,1699.71,1643.18,1691.33,6.21934381,44.8850951975
2022-05-20,1692.29,1717.64,1676.26,1703.26,6.22805135,45.7563259342
2022-05-23,1725.58,1753.37,1701.11,1724.16,7.76920135,53.0251804463
2022-05-24,1722.44,1734.76,1647.21,1651.14,8.79917305,58.8441518566
2022-05-25,1644.99,1706.88,1634.22,1697.71,7.69575391,55.1581785896
2022-05-26,1693.42,1713.65,1656.63,1698.61,8.29649252,59.019386121000004
2022-05-27,1700.33,1719.35,1662.09,1679.47,7.20482149,51.5363957009
2022-05-30,1680.97,1700.06,1649.62,1679.48,6.60721691,45.0206403589
2022-05-31,1678.08,1724.75,1654.58,1712.04,7.64108483,59.0386623683
2022-06-01,1707.11,1738.95,1685.47,1706.66,6.99541315,54.8042446097
2022-06-02,1697.68,1718.46,1670.63,1708.82,5.99093798,45.8160553534
2022-06-06,1706.27,1752.77,1697.0,1743.28,7.70907984,58.0321534384
2022-06-07,1747.78,1782.09,1717.06,1749.52,7.97315369,62.721308977
2022-06-08,1787.23,1813.93,1721.25,1759.18,10.8760804,83.8534214317
2022-06-09,1749.19,1788.48,1720.29,1742.24,8.53915805,66.18568165939999
2022-06-10,1723.58,1770.56,1712.8,1758.86,7.00072723,55.3500259586
2022-06-13,1740.99,1763.71,1709.97,1740.49,7.40797793,54.374916649300005
2022-06-14,1721.13,1738.53,1668.21,1729.31,7.9416822,56.194459780900004
2022-06-15,1729.79,1778.5,1714.06,1741.47,9.29961106,66.52551729560001
2022-06-16,1741.96,1847.62,1737.45,1818.24,15.88325137,123.49009201790001
2022-06-17,1813.08,1831.46,1759.91,1789.78,11.43611595,99.1155589243
2022-06-20,1787.12,1828.74,1769.79,1806.08,8.59308008,79.5734288012
2022-06-21,1805.67,1852.43,1781.38,1830.11,11.30029136,92.71175759639999
2022-06-22,1828.66,1842.62,1765.67,1772.01,9.34465347,81.9607823521
2022-06-23,1771.62,1801.59,1740.69,1787.47,7.42894569,61.448954846599996
2022-06-24,1788.24,1816.78,1766.4,1786.69,7.11190289,62.5919383042
2022-06-27,1791.42,1845.4,1779.61,1808.07,8.85195002,79.92516940739999
2022-06-28,1804.68,1839.69,1778.64,1824.73,8.73677888,72.92519932270001
2022-06-29,1820.61,1845.17,1786.63,1792.46,8.88199718,71.1624133383
2022-06-30,1795.57,1841.42,1784.69,1813.23,8.81147924,71.0426813924
2022-07-01,1817.7,1831.86,1778.79,1794.74,8.0413653,61.3449481029
