date,open,high,low,close,volume,amount
2021-12-13,2220.44,2361.39,2212.68,2337.7,1.90916136,45.812141862299995
2021-12-14,2337.14,2455.24,2314.48,2368.18,2.18949428,54.5087979133
2021-12-15,2378.17,2452.92,2323.74,2380.78,2.09598544,48.0368269163
2021-12-16,2417.38,2554.81,2378.78,2518.96,2.341929,55.94237003640001
2021-12-17,2508.85,2576.31,2436.79,2468.43,2.70578618,60.822217595299996
2021-12-20,2475.48,2506.68,2342.82,2361.25,1.85953979,42.9515018611
2021-12-21,2365.42,2465.01,2333.09,2418.1,1.92965577,41.0716326143
2021-12-22,2433.47,2598.75,2417.62,2538.9,2.12462975,51.07699792100001
2021-12-23,2527.27,2597.23,2469.9,2516.18,1.82795728,44.690338553100005
2021-12-24,2528.55,2628.49,2501.96,2548.42,1.66257388,43.779360466499995
2021-12-27,2559.32,2582.12,2425.2,2496.44,1.50271061,36.1493748967
2021-12-28,2503.38,2536.36,2431.85,2469.19,1.26779762,29.7078719759
2021-12-29,2450.29,2465.7,2377.07,2407.6,1.08626554,26.81628774
2021-12-30,2410.31,2587.74,2389.83,2569.5,1.56998373,40.599625827
2021-12-31,2582.87,2706.27,2547.66,2637.82,2.04115578,53.1016108582
2022-01-04,2640.81,2777.31,2625.49,2732.5,2.01910671,52.9230207976
2022-01-05,2703.66,2797.6,2613.61,2680.7,2.2760679,61.47863853649999
2022-01-06,2643.59,2695.55,2530.59,2642.57,1.72189952,44.381953402700006
2022-01-07,2631.98,2744.16,2558.37,2587.04,1.64259182,42.598147630999996
2022-01-10,2560.24,2619.91,2470.44,2549.73,1.30684043,32.9190230825
2022-01-11,2553.79,2565.26,2373.97,2411.96,1.45074252,38.9744734734
2022-01-12,2414.6,2446.21,2369.65,2408.11,1.17392599,29.566011429699998
2022-01-13,2407.82,2446.07,2320.56,2333.91,1.27746191,34.2853093761
2022-01-14,2311.95,2368.11,2272.99,2313.28,1.17545933,30.1109263906
2022-01-17,2315.26,2429.8,2293.72,2399.56,1.55033747,37.8970727481
2022-01-18,2398.17,2435.94,2307.61,2336.17,1.69995603,44.6818640475
2022-01-19,2334.24,2395.08,2288.23,2320.38,1.40150148,34.9073805811
2022-01-20,2314.12,2331.07,2206.04,2229.22,1.53636688,38.9651857162
2022-01-21,2192.75,2218.47,2091.54,2116.91,1.85616943,48.0718017506
2022-01-24,2101.66,2167.91,2067.84,2132.35,1.44382418,34.059657367199996
2022-01-25,2123.26,2143.02,2003.56,2011.4,1.58508501,35.1204382574
2022-01-26,2027.81,2057.29,1947.73,1990.91,1.29504217,31.1219524373
2022-01-27,1975.91,2001.45,1901.93,1906.11,1.28608226,28.1813960808
2022-01-28,1900.69,1947.98,1852.16,1888.38,1.24954733,26.8754772185
2022-02-07,1902.45,1919.52,1837.97,1873.08,1.08894377,22.9704672346
2022-02-08,1864.6,1900.32,1830.54,1885.67,0.98570807,19.6959454436
2022-02-09,1887.01,1956.54,1868.16,1942.85,1.32714949,28.0227199337
2022-02-10,1941.74,1989.38,1908.45,1948.93,1.31919933,27.005863022600003
2022-02-11,1933.28,1976.51,1874.32,1907.5,1.57585423,28.414370794299998
2022-02-14,1888.25,1965.29,1860.21,1924.68,1.47236476,26.912302610100003
2022-02-15,1916.46,1963.48,1899.58,1932.21,1.15124612,20.8330715458
2022-02-16,1943.3,1982.33,1918.32,1943.11,1.270901,23.151081744699997
2022-02-17,1928.66,1955.45,1894.23,1915.57,1.18900333,21.6660795796
2022-02-18,1899.17,1937.97,1879.6,1917.15,0.91970196,17.4345008908
2022-02-21,1912.57,1985.97,1896.91,1957.09,1.90349849,33.4645750434
2022-02-22,1926.03,1934.76,1828.35,1856.32,2.01839055,38.1945743555
2022-02-23,1855.74,1916.47,1848.69,1895.26,1.27035582,24.1678515476
2022-02-24,1884.24,1910.28,1776.85,1807.11,1.69660599,31.2591681563
2022-02-25,1828.0,1875.93,1813.19,1829.06,0.98716343,19.0354505724
2022-02-28,1837.11,1856.01,1775.66,1829.77,1.04376954,19.6046444404
2022-03-01,1825.92,1862.59,1815.04,1846.56,0.95390805,17.8116396985
2022-03-02,1836.03,1864.15,1814.57,1850.03,1.01853962,19.121480983599998
2022-03-04,1802.86,1858.38,1780.98,1829.95,1.35618155,26.0888851287
2022-03-07,1807.5,1822.18,1744.16,1765.87,1.17161467,22.536648191999998
2022-03-08,1764.3,1784.3,1679.9,1693.92,1.19420741,21.1283908978
2022-03-09,1696.3,1708.47,1565.9,1645.25,1.22791195,20.9259387369
2022-03-10,1684.39,1714.61,1651.95,1661.52,0.95516703,17.332357884500002
2022-03-11,1620.86,1681.34,1603.69,1670.2,0.85535249,15.6689232384
2022-03-14,1653.49,1675.73,1614.37,1616.96,0.7684453,13.116884411500001
2022-03-15,1602.27,1620.7,1522.59,1528.12,0.91311288,15.1369830593
2022-03-16,1556.88,1615.41,1497.12,1598.82,1.07869847,18.6268396453
2022-03-17,1644.85,1715.33,1628.84,1664.28,1.37689367,24.4781089106
2022-03-18,1654.98,1690.69,1626.7,1665.74,1.15598301,17.9935874537
2022-03-21,1670.03,1709.76,1651.51,1678.58,1.19648821,19.0952807388
2022-03-22,1673.42,1736.69,1645.53,1711.62,1.47099053,24.475767378
2022-03-24,1699.54,1718.52,1657.37,1685.64,1.42402123,22.7145060388
2022-03-25,1684.06,1730.53,1668.57,1685.84,1.27970217,20.753777158
2022-03-28,1693.69,1754.72,1672.42,1727.66,1.64118695,29.1036901343
2022-03-29,1726.99,1747.3,1687.79,1716.94,1.17049253,20.3576723336
2022-03-30,1713.3,1759.75,1692.92,1755.13,1.29743488,22.5090606781
