date,open,high,low,close,volume,amount
2021-12-13,1243.3,1295.58,1236.5,1274.48,4.25869555,48.668734550299995
2021-12-14,1268.6,1328.85,1255.42,1301.98,6.35664445,64.0508193329
2021-12-15,1290.85,1323.93,1273.74,1294.9,5.21344079,52.5129584318
2021-12-16,1292.73,1343.95,1276.81,1321.61,5.32207567,56.3485089042
2021-12-17,1316.03,1338.67,1287.03,1302.18,4.43348415,44.8926468143
2021-12-20,1297.02,1327.92,1275.03,1292.27,3.92421834,39.4077399402
2021-12-21,1291.61,1332.76,1281.96,1323.28,4.36411161,46.138886936000006
2021-12-22,1327.67,1361.97,1309.25,1331.91,4.3352929,47.7335605262
2021-12-23,1319.14,1342.45,1294.81,1306.04,3.91863121,39.5832796017
2021-12-24,1306.12,1328.56,1273.12,1285.71,3.44535977,34.1686516905
2021-12-27,1284.8,1297.67,1247.08,1272.24,2.84250015,27.473489690999997
2021-12-28,1268.95,1288.27,1253.37,1271.12,2.42033781,23.434931253800002
2021-12-29,1267.96,1277.53,1243.25,1253.41,2.37954359,23.022772559899998
2021-12-30,1256.3,1315.73,1251.55,1301.48,4.11750659,37.0440402283
2021-12-31,1311.9,1344.7,1289.31,1322.99,5.54632329,44.1537983129
2022-01-04,1323.8,1395.83,1310.83,1372.27,6.42822882,59.8203526616
2022-01-05,1361.48,1403.4,1336.32,1377.17,5.60844772,58.1425592188
2022-01-06,1369.72,1404.63,1343.56,1366.0,4.66538378,53.3753201478
2022-01-07,1368.38,1430.43,1329.37,1352.57,6.64343242,62.8179102862
2022-01-10,1341.87,1364.01,1304.07,1343.09,4.74370214,50.30500601560001
2022-01-11,1341.15,1368.23,1313.36,1326.76,4.15506766,40.1944041055
2022-01-12,1322.81,1353.44,1304.08,1335.91,3.85038127,39.152846181
2022-01-13,1330.31,1361.41,1311.62,1322.85,3.68729746,38.5194905975
2022-01-14,1314.7,1341.24,1291.45,1307.62,3.68419459,36.7398414829
2022-01-17,1308.48,1350.7,1300.85,1336.89,3.92747231,36.4828614924
2022-01-18,1337.14,1353.62,1287.42,1295.69,4.10130063,37.787490235599996
2022-01-19,1295.44,1347.57,1289.24,1325.52,3.8555283,36.7849929875
2022-01-20,1323.0,1330.53,1266.69,1275.35,3.73746581,34.1926179106
2022-01-21,1271.16,1307.4,1245.14,1260.86,4.0905561,33.0177308051
2022-01-24,1257.11,1279.07,1226.74,1253.57,3.55557411,29.4098845831
2022-01-25,1246.36,1259.83,1186.86,1192.91,3.85636182,31.6122311139
2022-01-26,1201.44,1216.94,1182.95,1198.84,2.71828382,21.081294308900002
2022-01-27,1203.49,1207.89,1152.94,1156.96,3.67594865,23.2196845762
2022-01-28,1164.51,1190.13,1148.31,1168.03,2.43814254,17.6088984065
2022-02-07,1181.35,1198.18,1161.46,1184.29,2.41123815,18.5841724265
2022-02-08,1183.23,1226.65,1173.99,1222.09,3.6095186,24.0779298648
2022-02-09,1223.33,1276.18,1213.67,1265.93,4.89066384,32.6806386705
2022-02-10,1265.77,1294.29,1250.91,1283.91,4.16374308,31.9202615111
2022-02-11,1282.31,1306.52,1250.64,1264.75,4.75022541,32.303639107399995
2022-02-14,1253.51,1276.94,1236.94,1253.26,3.94741567,27.993414760900002
2022-02-15,1257.2,1280.49,1233.08,1256.89,3.86724595,25.667714355300003
2022-02-16,1258.89,1293.01,1247.51,1272.57,6.53333713,35.1833578631
2022-02-17,1266.45,1278.42,1236.79,1244.44,5.30086413,29.8518233626
2022-02-18,1235.67,1261.03,1229.34,1253.51,3.06121415,18.8139582824
2022-02-21,1249.88,1285.93,1243.21,1273.95,3.41688947,23.0661056579
2022-02-22,1265.63,1271.99,1225.88,1237.78,3.52324448,24.775252410900002
2022-02-23,1241.26,1262.54,1233.21,1245.1,2.77447695,19.6451172192
2022-02-24,1239.93,1254.91,1181.11,1202.7,4.30866079,29.9061682006
2022-02-25,1212.22,1232.2,1196.41,1204.62,2.43783545,18.3472760647
2022-02-28,1206.12,1214.49,1176.6,1198.84,2.09135886,15.045408253800002
2022-03-01,1200.96,1218.44,1190.92,1211.82,2.17565884,15.241100700799999
