date,open,high,low,close,volume,amount
2021-12-13,1122.09,1127.36,1118.08,1118.32,8.48652793,35.1815635
2021-12-14,1117.73,1120.84,1110.02,1113.08,7.9345186,32.9133669
2021-12-15,1111.02,1116.85,1109.01,1112.83,6.94118601,27.9269313
2021-12-16,1113.65,1118.31,1110.01,1116.08,7.2849007,29.1253837
2021-12-17,1115.0,1117.8,1112.19,1113.78,6.04740709,23.95757835
2021-12-20,1112.01,1117.01,1110.47,1113.65,6.03606172,24.47173928
2021-12-21,1112.75,1124.07,1110.94,1119.51,8.52576743,34.61227886
2021-12-22,1120.93,1123.94,1115.2,1117.58,7.1463998,28.7279526
2021-12-23,1118.54,1121.83,1115.04,1119.65,5.2033545,21.20762752
2021-12-24,1119.4,1123.95,1115.33,1119.2,5.37742371,22.83340333
2021-12-27,1118.3,1121.55,1115.59,1119.41,4.72061444,19.52225648
2021-12-28,1119.11,1129.38,1116.01,1122.96,8.58635704,34.53755454
2021-12-29,1120.62,1124.17,1115.55,1118.49,5.56835548,22.88846807
2021-12-30,1119.03,1121.28,1114.55,1117.33,6.4839315,26.84663681
2021-12-31,1116.5,1120.81,1114.85,1116.86,4.96105865,21.07552449
2022-01-04,1117.96,1124.78,1114.55,1123.19,8.53034981,35.84998805
2022-01-05,1122.6,1138.46,1120.3,1136.51,16.55553113,68.16792009
2022-01-06,1134.5,1142.32,1130.13,1134.54,10.04126093,43.10520919
2022-01-07,1134.38,1155.16,1132.57,1152.44,15.45843792,64.65026822
2022-01-10,1152.37,1161.12,1145.28,1154.43,10.89788746,47.2046662
2022-01-11,1152.96,1163.71,1148.46,1158.29,9.58372581,42.17941664
2022-01-12,1158.29,1159.81,1143.61,1151.02,10.09182185,42.97432791
2022-01-13,1148.61,1167.1,1147.4,1158.81,10.85226209,45.50009712
2022-01-14,1158.01,1160.0,1136.71,1141.45,11.95809742,50.62292701
2022-01-17,1140.01,1146.88,1131.51,1136.19,8.20574603,35.28976598
2022-01-18,1136.77,1153.63,1133.59,1152.34,11.01486866,47.21113487
2022-01-19,1149.22,1154.99,1144.85,1151.56,7.5394608,32.224854
2022-01-20,1152.2,1165.91,1148.91,1162.2,13.81562173,60.5794416
2022-01-21,1160.01,1163.31,1148.77,1156.03,9.16284994,39.36847997
2022-01-24,1155.64,1160.48,1146.1,1153.85,9.18838017,38.4943456
2022-01-25,1150.13,1156.81,1141.87,1142.99,9.12418276,38.07436869
2022-01-26,1141.98,1153.96,1140.62,1150.6,7.21554785,30.20262213
2022-01-27,1148.35,1154.26,1141.39,1146.54,8.53516727,34.63181559
2022-01-28,1146.96,1156.88,1138.38,1141.56,10.38956938,42.36657194
2022-02-07,1150.83,1169.32,1147.66,1164.53,12.62660467,55.08277196
2022-02-08,1163.94,1192.22,1162.82,1187.53,19.66398541,85.54650647
2022-02-09,1187.71,1198.32,1178.82,1183.49,14.49903016,62.81958924
2022-02-10,1184.49,1195.37,1177.77,1193.59,11.38648757,49.29393511
2022-02-11,1191.41,1203.51,1187.83,1198.17,11.59452666,52.10228671
2022-02-14,1196.52,1198.66,1174.56,1179.67,11.94620099,52.84619653
2022-02-15,1178.57,1185.31,1164.92,1168.0,11.17263493,50.1631483
2022-02-16,1171.76,1181.89,1167.14,1176.38,7.35826086,32.92898994
2022-02-17,1176.73,1185.93,1172.19,1177.27,8.08254661,33.46893117
2022-02-18,1174.74,1187.44,1171.24,1186.51,7.80316498,33.84674094
2022-02-21,1183.78,1185.37,1171.4,1181.43,7.71544102,34.18524709
2022-02-22,1176.92,1180.94,1170.03,1174.94,6.89534216,29.97969255
2022-02-23,1175.64,1177.72,1164.68,1168.67,8.9301473,39.41553391
2022-02-24,1165.61,1169.14,1148.72,1151.02,11.8663839,49.52146053
2022-02-25,1153.49,1159.34,1142.25,1146.26,10.75615995,45.47534409
2022-02-28,1145.69,1150.58,1138.16,1145.85,8.99927028,37.56114199
2022-03-01,1146.89,1160.37,1143.51,1157.06,8.88479888,38.81586176
2022-03-02,1153.39,1164.61,1150.38,1159.22,7.48836963,31.88503219
2022-03-04,1168.14,1170.81,1155.49,1166.57,9.00219643,38.73084246
2022-03-07,1161.17,1167.6,1147.77,1152.33,11.69318592,50.03756079
2022-03-08,1150.44,1156.64,1138.48,1140.88,11.47417726,48.58167592
2022-03-09,1140.83,1148.42,1108.73,1128.1,16.62929589,69.00748045
2022-03-10,1137.39,1141.16,1125.99,1129.1,9.24540496,40.09569453
2022-03-11,1125.55,1143.17,1116.01,1140.52,12.13551673,49.65577865
2022-03-14,1132.76,1147.93,1127.34,1132.49,11.60739434,47.24673254
2022-03-15,1130.12,1133.19,1100.42,1104.59,19.8659156,82.54980817
2022-03-16,1109.27,1127.31,1095.67,1122.54,16.2727653,66.73726531
2022-03-17,1128.86,1131.53,1113.42,1117.45,14.46588636,59.66455512
2022-03-18,1117.38,1142.8,1112.94,1135.34,17.06011937,71.92369834
2022-03-21,1135.68,1141.88,1125.98,1130.31,9.213836,39.23935673
2022-03-22,1130.81,1149.74,1127.81,1146.07,12.10462499,48.08974654
2022-03-24,1138.95,1150.12,1135.3,1144.4,7.06728821,30.56018882
2022-03-25,1143.37,1156.28,1138.17,1148.79,9.3293798,39.94882775
2022-03-28,1146.79,1165.53,1139.5,1162.25,12.41522357,53.50504809
2022-03-29,1160.98,1172.73,1157.6,1171.01,9.51794548,41.5656468
2022-03-30,1173.9,1178.25,1163.92,1174.97,12.19898452,50.09318809
2022-04-01,1184.3,1200.54,1180.66,1196.86,14.04575368,62.68073178
2022-04-06,1192.61,1210.01,1189.06,1206.55,15.74743252,68.44219183
2022-04-07,1203.77,1211.73,1191.2,1199.21,13.7656441,60.17983826
2022-04-08,1199.45,1206.39,1192.47,1203.26,10.16199325,44.17245582
2022-04-11,1202.55,1205.73,1192.54,1195.97,11.4123721,48.56445899
2022-04-12,1196.08,1205.07,1186.76,1198.5,12.59438201,53.65292099
2022-04-13,1197.85,1209.26,1193.74,1198.33,10.24746985,43.2585648
2022-04-15,1192.66,1202.23,1188.25,1194.67,10.51762826,46.1481402
2022-04-18,1190.79,1195.07,1172.65,1176.31,10.92439134,48.07429443
2022-04-19,1176.08,1189.21,1171.58,1186.83,8.90707737,39.12706217
2022-04-20,1186.15,1193.12,1177.58,1183.17,8.10348386,33.46203978
2022-04-21,1181.74,1197.98,1178.48,1185.03,12.63674978,53.71515856
2022-04-22,1182.21,1206.35,1180.84,1202.05,13.65717333,60.81057432
2022-04-25,1194.7,1205.71,1179.55,1179.9,18.16235907,77.87391027
2022-04-26,1181.02,1193.43,1172.85,1181.34,14.59797625,61.36149097
2022-04-27,1179.44,1186.18,1157.66,1168.75,15.50329622,65.48121907
2022-04-28,1167.08,1184.19,1164.43,1181.57,13.4951017,55.61142311
2022-04-29,1181.05,1188.13,1166.53,1179.65,14.79480095,60.93880381
2022-05-06,1172.65,1176.96,1159.39,1163.18,8.99400156,38.38687174
2022-05-10,1158.34,1171.67,1151.48,1166.21,10.90628135,44.29948108
2022-05-11,1165.86,1168.27,1153.88,1157.37,12.31318484,50.99450001
2022-05-12,1155.65,1158.2,1149.06,1151.6,7.46068183,31.45819517
2022-05-13,1154.44,1163.49,1151.67,1161.65,7.29681274,31.08107735
2022-05-16,1162.36,1164.93,1150.67,1159.76,8.68800722,35.75266941
2022-05-17,1160.79,1164.77,1150.42,1155.49,11.04008306,44.70536785
2022-05-18,1155.91,1158.09,1146.36,1150.02,8.23405044,35.68335968
2022-05-19,1145.96,1149.97,1139.48,1147.67,8.50591718,34.90571712
2022-05-20,1149.62,1157.43,1144.31,1153.46,10.73357743,44.23655537
2022-05-23,1153.65,1157.53,1149.38,1152.06,7.81625708,31.83460008
2022-05-24,1152.24,1159.46,1149.74,1155.11,10.16023378,41.48198682
2022-05-25,1154.67,1160.45,1152.3,1156.56,7.73361995,31.6547537
2022-05-26,1156.85,1162.3,1153.16,1160.24,8.34678681,34.20079549
2022-05-27,1161.89,1165.34,1156.89,1162.66,6.71541321,27.67035623
2022-05-30,1163.45,1165.8,1151.69,1154.24,9.86171593,39.26692739
2022-05-31,1152.36,1158.82,1149.27,1154.24,10.52425974,43.31222355
2022-06-01,1154.09,1156.62,1147.6,1151.27,7.90301604,33.04908679
2022-06-02,1150.16,1153.1,1146.5,1149.22,6.91048206,28.37503459
2022-06-06,1149.05,1151.57,1138.58,1141.54,14.28807648,59.38358879
2022-06-07,1142.59,1147.91,1138.64,1145.08,9.20259378,38.49518967
2022-06-08,1147.26,1149.97,1142.79,1147.97,8.93929672,36.20175105
2022-06-09,1147.21,1156.12,1144.2,1154.7,10.61996549,45.13519496
2022-06-10,1152.98,1165.04,1150.04,1163.74,14.40966997,57.44294242
2022-06-13,1159.08,1162.43,1145.19,1151.48,11.47028157,48.30730015
2022-06-14,1149.07,1164.14,1146.43,1163.06,11.34670642,47.09995875
2022-06-15,1163.06,1179.22,1158.83,1167.57,15.53156108,65.19978852
2022-06-16,1169.51,1172.23,1157.6,1159.48,10.85075076,44.94446051
2022-06-17,1159.06,1166.96,1156.41,1163.46,8.9502563,36.5267308
2022-06-20,1163.46,1164.81,1155.45,1156.88,9.11616786,38.56188663
2022-06-21,1158.18,1171.56,1155.24,1168.73,10.92924081,46.10933459
2022-06-22,1168.07,1173.61,1160.97,1162.69,9.19086346,38.30024971
2022-06-23,1165.28,1169.71,1161.8,1166.82,9.37772663,38.59837761
2022-06-24,1167.3,1170.01,1159.03,1162.27,10.12493572,42.06989872
2022-06-27,1162.63,1167.24,1157.98,1161.7,12.53059333,51.86865556
2022-06-28,1162.05,1168.06,1158.35,1165.3,9.32138208,39.96474728
2022-06-29,1164.93,1172.78,1162.58,1171.37,10.74139041,45.04559785
2022-06-30,1169.66,1175.86,1166.9,1172.31,9.5155752,39.54233137
2022-07-01,1172.56,1176.42,1168.68,1172.0,6.6829159,28.18245319
2022-07-04,1173.01,1177.84,1168.35,1173.03,8.60940397,35.90995824
2022-07-05,1174.64,1181.17,1171.88,1177.74,8.59663531,37.01373755
2022-07-06,1178.93,1180.4,1169.59,1173.55,10.94517914,44.26058413
2022-07-07,1175.34,1176.8,1169.9,1171.38,8.11928566,35.20721318
2022-07-08,1165.74,1169.04,1159.77,1165.12,9.58009796,40.68113339
2022-07-11,1165.89,1173.69,1163.0,1169.92,14.53041912,60.03782837
2022-07-12,1132.86,1140.42,1129.66,1131.35,15.05897687,59.54513238
2022-07-13,1131.35,1133.0,1111.73,1113.32,16.75569356,65.60969414
2022-07-14,1110.07,1111.19,1087.06,1093.94,20.62190907,78.28280598
2022-07-15,1071.37,1075.54,1062.62,1062.8,15.64893456,58.30695956
2022-07-18,1065.98,1075.13,1064.34,1074.0,8.94210726,34.31888346
2022-07-19,1073.51,1084.82,1070.33,1081.51,8.70121683,32.37959557
2022-07-20,1084.79,1093.44,1081.85,1091.02,7.37824091,28.37780614
2022-07-21,1092.94,1094.55,1080.4,1081.19,7.34624979,27.54931255
2022-07-22,1082.0,1092.14,1080.13,1088.25,7.23697722,27.0173499
2022-07-25,1088.61,1094.87,1084.89,1093.84,5.37789297,21.30175543
2022-07-26,1093.91,1100.15,1091.61,1095.1,6.83207651,25.59151147
2022-07-27,1095.56,1097.1,1087.92,1089.06,5.46652155,20.50968502
2022-07-28,1090.02,1093.99,1084.28,1087.63,6.46901653,24.28538219
2022-07-29,1089.39,1091.51,1080.73,1083.35,7.11029834,27.00438076
2022-08-01,1081.72,1085.23,1076.44,1078.26,6.66141461,25.17959719
2022-08-02,1075.9,1077.84,1065.95,1070.13,8.98416574,34.30236012
2022-08-03,1070.83,1074.89,1063.13,1063.38,7.59399027,29.11057511
2022-08-04,1066.9,1076.35,1062.5,1073.26,8.8986197,32.36647491
2022-08-05,1075.22,1080.44,1070.1,1078.49,5.71081677,21.68295426
2022-08-08,1078.09,1080.75,1070.64,1072.21,5.7866371,21.23322852
2022-08-09,1072.84,1076.04,1068.67,1070.22,4.21427374,15.93516756
2022-08-10,1071.76,1073.89,1065.98,1068.72,3.75914908,14.28750548
2022-08-11,1071.03,1078.87,1068.09,1076.69,6.25808922,24.00529472
2022-08-12,1075.88,1078.48,1070.08,1075.15,6.29437342,22.80537678
2022-08-15,1073.55,1076.91,1069.24,1070.64,5.60159838,21.41759316
2022-08-16,1070.64,1075.19,1069.0,1069.35,4.4380109,17.16540091
2022-08-17,1071.94,1075.32,1066.64,1073.14,6.9342695,26.00813065
2022-08-18,1072.54,1073.6,1066.06,1067.29,4.96765921,18.69333188
2022-08-19,1067.06,1072.94,1066.06,1069.27,4.78944793,18.10270487
2022-08-22,1067.45,1071.93,1066.45,1068.17,4.90068656,18.59894721
2022-08-23,1068.98,1070.39,1063.49,1063.49,6.82897584,27.64348173
2022-08-24,1064.08,1068.56,1062.44,1063.25,5.88155586,21.91176881
2022-08-25,1065.2,1068.91,1061.84,1068.49,5.33164731,19.97513215
2022-08-26,1068.74,1070.45,1064.54,1068.17,4.34726173,16.57850634
2022-08-29,1066.39,1069.14,1062.26,1065.44,5.52261414,20.39634403
2022-08-30,1065.84,1071.15,1064.3,1068.26,5.35430857,20.25750859
2022-08-31,1068.72,1077.18,1065.96,1075.63,11.44097197,42.96000284
2022-09-01,1073.28,1077.82,1070.63,1072.15,5.25457881,19.90474063
2022-09-02,1073.5,1076.51,1068.85,1070.57,5.62192077,20.98418638
2022-09-05,1070.4,1075.41,1066.97,1074.58,5.7004636,22.11819013
2022-09-06,1075.16,1080.31,1071.46,1075.82,6.53462643,25.65997643
2022-09-07,1076.81,1077.06,1070.71,1072.53,5.43609185,20.20148726
2022-09-08,1074.41,1077.14,1071.7,1074.02,4.98808788,19.14031137
2022-09-09,1076.79,1084.48,1074.02,1081.13,9.06504606,34.88343874
2022-09-13,1083.47,1088.73,1078.38,1083.52,9.2570749,35.44791245
2022-09-14,1079.4,1084.52,1077.67,1079.51,6.55637853,24.09252036
2022-09-15,1082.28,1090.54,1080.28,1086.99,11.03356043,41.72556835
2022-09-16,1086.91,1088.55,1076.13,1076.3,10.60222056,39.45600058
2022-09-19,1077.94,1085.63,1075.28,1084.87,8.18387816,31.01530362
2022-09-20,1086.21,1087.09,1077.76,1080.67,7.18395652,26.40629406
2022-09-21,1080.94,1086.65,1075.53,1082.41,6.6231335,24.70514496
2022-09-22,1080.98,1086.88,1077.09,1084.48,7.3138388,28.53631062
2022-09-23,1083.45,1092.55,1081.57,1090.02,11.19327308,42.02618764
2022-09-26,1088.48,1091.95,1076.37,1076.79,10.05510357,37.6640142
2022-09-27,1077.03,1080.86,1070.37,1073.75,6.95325394,26.1472254
2022-09-28,1074.4,1082.72,1070.13,1079.72,7.85463625,29.98330692
2022-09-29,1081.7,1083.67,1070.44,1070.97,7.09353484,26.51793026
2022-09-30,1073.92,1081.87,1071.2,1078.71,7.55327659,28.05084373
2022-10-10,1073.3,1080.38,1069.02,1074.35,14.437608,52.61777502
2022-10-11,1075.25,1079.41,1069.6,1073.29,9.78332724,35.96254059
2022-10-12,1073.1,1078.95,1068.28,1075.85,9.1108984,34.18175601
2022-10-13,1073.87,1076.35,1066.82,1070.24,8.37631053,32.39677434
2022-10-14,1071.49,1075.7,1067.91,1069.93,10.3356255,37.65224873
2022-10-17,1069.18,1073.72,1065.79,1069.07,7.09759916,27.61649918
2022-10-18,1071.15,1073.57,1066.8,1068.88,6.32665849,23.56881687
2022-10-19,1067.24,1070.82,1065.89,1066.14,5.71718824,21.50713844
2022-10-20,1066.28,1070.31,1064.21,1067.89,6.81533391,25.74362982
2022-10-21,1067.65,1073.48,1065.28,1069.99,8.30567858,29.89519816
2022-10-24,1069.75,1072.51,1062.77,1064.76,13.80340739,51.89371085
2022-10-25,1064.28,1067.66,1059.19,1062.58,9.28923769,34.10522385
2022-10-26,1063.07,1064.62,1051.54,1052.98,14.21731497,52.22506939
