date,open,high,low,close,volume,amount
2021-12-13,5065.55,5136.13,4996.21,5005.61,8.65698413,109.3975800472
2021-12-14,4992.74,5004.5,4876.52,4902.27,7.94038526,113.7776064899
2021-12-15,4887.07,4917.09,4862.45,4889.6,4.37649296,67.8522651032
2021-12-16,4891.69,4936.39,4870.8,4926.97,4.11598485,61.0455602604
2021-12-17,4922.19,4948.88,4891.2,4901.06,4.01202287,60.82147977979999
2021-12-20,4893.52,4939.03,4872.15,4898.1,4.12308356,60.4024718681
2021-12-21,4892.54,4945.12,4875.31,4907.88,5.88681088,66.522611065
2021-12-22,4916.61,4926.04,4844.87,4859.45,3.97698912,60.62608470520001
2021-12-23,4871.8,4891.77,4828.83,4865.44,4.70752134,74.46374793470001
2021-12-24,4870.96,4873.34,4829.91,4835.89,3.1937226,47.43126734770001
2021-12-27,4835.66,4850.1,4782.33,4803.07,4.00296636,73.8880122219
2021-12-28,4805.74,4846.28,4793.18,4825.07,4.63573854,78.2105495551
2021-12-29,4830.75,4833.55,4716.13,4722.44,5.10224884,112.9099168486
2021-12-30,4734.26,4794.14,4719.65,4765.57,4.5778027,84.2517298846
2021-12-31,4770.74,4792.54,4738.16,4761.68,4.86809615,72.5730980355
2022-01-04,4763.64,4782.78,4690.26,4762.98,6.17574119,87.9788152394
2022-01-05,4766.53,4909.08,4759.84,4864.66,9.75975076,143.4916066535
2022-01-06,4858.0,4892.67,4804.11,4815.84,6.02825376,89.86463680600001
2022-01-07,4822.3,4904.63,4808.14,4892.05,7.70887559,96.98642130280001
2022-01-10,4922.16,4965.6,4867.34,4916.01,6.6519665,86.8027001647
2022-01-11,4947.74,5022.49,4906.1,4991.59,8.51458594,123.5191500528
2022-01-12,4997.77,5014.72,4920.91,4968.61,7.09146946,99.0741176325
2022-01-13,4970.63,5021.16,4923.56,4951.85,6.74633785,78.0809927687
2022-01-14,4951.84,4956.13,4816.58,4827.35,8.92316171,117.64898472530001
2022-01-17,4843.82,4887.1,4796.18,4835.37,4.61132422,70.3580976359
2022-01-18,4841.39,4934.29,4814.18,4915.01,6.49135968,91.1318411709
2022-01-19,4931.45,4981.88,4900.71,4954.51,6.09045347,88.974663152
2022-01-20,4959.74,5130.9,4953.64,5093.64,11.29409351,183.56112691580003
2022-01-21,5088.82,5122.31,5046.63,5086.27,6.32759231,102.8740063869
2022-01-24,5091.9,5124.86,5021.62,5089.55,5.36805501,85.6749272301
2022-01-25,5068.83,5080.73,4975.62,4985.86,6.38602178,86.7779494542
2022-01-26,5008.71,5040.11,4949.42,4982.24,4.34741187,62.9668251737
2022-01-27,4971.5,4998.11,4907.29,4949.4,5.47786598,78.7704702433
2022-01-28,4973.22,4989.56,4838.56,4846.89,6.50374874,98.35939999620001
2022-02-07,4929.5,5041.29,4909.62,5026.76,7.21431464,111.7938879184
2022-02-08,5034.21,5121.26,5003.9,5098.27,8.66071201,106.44749536489999
2022-02-09,5109.0,5149.08,5059.47,5087.33,6.27703336,84.777765075
2022-02-10,5093.38,5136.94,5038.48,5120.69,5.29163921,65.3239763579
2022-02-11,5132.35,5218.51,5114.02,5188.13,7.26995439,107.98866114229999
2022-02-14,5191.29,5195.45,5032.27,5052.11,6.41600119,90.92978234430001
2022-02-15,5031.38,5073.0,4935.55,4975.08,6.21859501,94.8134491718
2022-02-16,4997.39,5067.46,4976.42,5035.22,4.15521438,59.4793044221
2022-02-17,5043.88,5113.58,5019.64,5054.11,4.50759391,70.4103225859
2022-02-18,5041.59,5133.29,5035.72,5130.18,4.71487718,65.0319174968
2022-02-21,5109.86,5121.33,5030.53,5099.16,4.40091931,58.7578614312
2022-02-22,5066.0,5105.06,5024.98,5079.81,4.95953892,73.7891523187
2022-02-23,5092.42,5094.57,5005.93,5029.12,5.2208395,70.9934938514
2022-02-24,5016.2,5033.74,4944.16,4961.28,6.95049437,86.67977231100001
2022-02-25,4969.61,5007.29,4914.7,4941.45,5.04292133,71.1226477948
2022-02-28,4926.96,4950.23,4866.31,4930.95,4.81088981,62.1200757055
2022-03-01,4937.49,4983.64,4890.5,4964.12,4.47833101,63.9855468521
2022-03-02,4923.03,4971.8,4900.14,4918.98,3.56206888,51.5734246491
2022-03-04,4909.94,4922.42,4837.95,4861.13,5.01952631,71.5184813271
2022-03-07,4814.93,4842.92,4710.33,4731.52,5.99282134,101.8891960177
2022-03-08,4709.08,4737.93,4587.65,4609.12,7.08519344,98.486260624
2022-03-09,4624.08,4646.58,4387.98,4518.61,9.0750873,111.4864434423
2022-03-10,4609.93,4643.64,4543.85,4567.35,6.29073361,89.5433989422
2022-03-11,4542.85,4607.48,4438.0,4584.18,6.14764945,84.3116841466
2022-03-14,4514.16,4576.48,4428.38,4432.9,5.73105187,90.5962286546
2022-03-15,4398.83,4401.37,4163.94,4181.46,10.24920109,131.4909731805
2022-03-16,4240.44,4425.08,4177.0,4397.54,9.25131993,125.1708567084
2022-03-17,4502.7,4553.67,4423.43,4485.45,7.9691909,123.43000738459999
2022-03-18,4476.18,4638.51,4438.8,4623.29,7.62419519,109.3296670902
2022-03-21,4596.85,4616.33,4502.12,4525.23,5.63934478,84.5473674412
2022-03-22,4535.91,4644.65,4521.18,4618.84,5.88184987,78.9630912385
2022-03-24,4543.51,4599.98,4514.9,4577.82,4.44500243,62.21458768310001
2022-03-25,4580.84,4631.58,4531.5,4566.4,5.19877264,63.8315873716
2022-03-28,4532.3,4605.6,4475.95,4570.99,6.62667411,64.0611396493
2022-03-29,4576.22,4602.6,4536.19,4554.54,4.75994593,49.0305439324
2022-03-30,4572.97,4653.84,4554.75,4645.33,7.34853184,81.6377952864
2022-04-01,4676.99,4797.23,4655.84,4778.29,7.91601442,95.1603089602
2022-04-06,4731.19,4892.21,4725.27,4854.76,10.22128279,122.67983280840001
2022-04-07,4848.33,4888.34,4772.3,4794.32,7.64969994,88.98636107780001
2022-04-08,4788.77,4845.95,4770.98,4838.75,5.5208376,66.55721035479999
2022-04-11,4810.33,4823.63,4703.54,4743.25,6.24292037,79.0200032878
2022-04-12,4751.25,4801.56,4667.65,4737.12,5.95247419,77.53288162529999
2022-04-13,4730.48,4784.19,4697.27,4735.05,4.6320111,63.1491567298
2022-04-15,4731.64,4861.34,4715.23,4836.3,5.5479845,78.3773466033
2022-04-18,4771.22,4778.82,4585.39,4630.09,7.57215479,158.2940725285
2022-04-19,4569.92,4614.26,4502.15,4567.16,6.62309435,148.02518456209998
2022-04-20,4555.79,4583.42,4491.03,4511.02,5.19393497,91.5159806798
2022-04-21,4489.02,4585.28,4452.64,4500.48,6.06714003,92.0344855104
2022-04-22,4456.52,4621.11,4440.31,4584.15,5.77583803,93.78230825950001
2022-04-25,4449.61,4503.0,4291.31,4301.54,10.08912002,169.3828162843
2022-04-26,4311.45,4362.17,4228.66,4286.48,6.96424042,104.5508305619
2022-04-27,4262.97,4358.01,4241.47,4312.37,7.67417517,115.53442244
2022-04-28,4307.85,4446.01,4287.64,4408.31,7.32800057,113.52908861809999
2022-04-29,4384.29,4443.31,4279.86,4388.34,9.03826598,129.27965391840002
2022-05-06,4294.43,4316.92,4231.09,4237.6,5.25919212,71.4965335377
2022-05-10,4112.17,4208.08,4052.9,4193.68,6.16662888,87.7901318623
2022-05-11,4187.06,4237.35,4149.1,4192.68,5.48913796,76.8497106107
2022-05-12,4160.55,4186.4,4126.06,4150.08,3.95838369,52.927038832200004
2022-05-13,4179.37,4241.0,4165.5,4202.24,4.80218613,67.4835646809
2022-05-16,4203.62,4210.83,4124.04,4159.16,4.81579577,66.54561923060001
2022-05-17,4185.9,4269.63,4164.39,4254.99,4.86917681,83.2965099075
2022-05-18,4281.12,4290.42,4199.95,4240.0,4.27304687,67.73431136949999
2022-05-19,4190.98,4229.01,4168.88,4209.29,3.98573182,51.078149705200005
2022-05-20,4248.59,4349.95,4242.02,4331.64,5.7167261,97.93902809309999
2022-05-23,4338.89,4349.55,4285.47,4302.29,4.09747075,58.5666974068
2022-05-24,4314.0,4329.01,4237.57,4242.95,4.46804489,61.960113193299996
2022-05-25,4251.7,4271.99,4223.79,4245.6,3.33917792,44.21134451020001
2022-05-26,4260.58,4267.52,4192.3,4228.57,4.18088714,58.2611662304
2022-05-27,4255.59,4303.05,4236.36,4272.38,4.18781218,57.90654718930001
2022-05-30,4299.95,4303.64,4227.04,4244.11,3.95999301,51.6498843859
2022-05-31,4245.48,4295.19,4224.46,4283.53,4.62894569,62.889527119899995
2022-06-01,4285.6,4288.29,4245.04,4271.94,3.77801227,48.7496440904
2022-06-02,4248.75,4260.93,4203.41,4224.75,4.49598017,58.0374765279
2022-06-06,4214.76,4240.22,4151.73,4227.26,6.06326422,86.02014538479999
2022-06-07,4216.88,4278.24,4199.58,4262.43,5.57386397,73.8015709671
2022-06-08,4261.1,4276.71,4224.2,4268.59,5.0283136,66.4397071482
2022-06-09,4274.17,4367.46,4263.15,4345.08,7.28178188,104.2627434688
2022-06-10,4318.3,4358.43,4284.47,4346.91,7.28905857,92.2311275911
2022-06-13,4309.85,4317.84,4210.82,4234.53,6.95098305,96.32028914909999
2022-06-14,4202.58,4310.66,4193.44,4303.85,6.45394172,73.2614340199
2022-06-15,4301.87,4488.73,4293.36,4416.8,13.79337813,174.4038316577
2022-06-16,4383.87,4397.02,4297.2,4302.44,7.221733,86.59945630770001
2022-06-17,4283.35,4327.93,4251.08,4301.52,5.78305606,69.9661767767
2022-06-20,4301.49,4315.59,4247.94,4272.15,5.20300304,68.4534718697
2022-06-21,4274.44,4351.34,4251.47,4319.27,5.23861978,66.968921197
2022-06-22,4321.43,4325.92,4243.95,4245.1,4.75614746,65.9316023473
2022-06-23,4250.01,4309.02,4244.7,4302.77,4.78310936,59.6186847864
2022-06-24,4291.07,4315.84,4241.79,4280.03,4.97520502,65.6260906609
2022-06-27,4286.78,4360.9,4271.82,4340.81,5.79378068,85.1445573204
2022-06-28,4336.48,4373.49,4315.11,4356.09,4.96364515,60.815230534099996
2022-06-29,4339.82,4396.32,4321.12,4347.04,5.71328012,72.86841178479999
2022-06-30,4344.79,4452.37,4329.65,4417.62,5.88690427,87.9607352173
2022-07-01,4427.38,4438.2,4363.76,4379.43,3.76199208,59.4260483095
2022-07-04,4373.44,4384.67,4324.53,4351.04,4.15920902,55.933366221099995
2022-07-05,4370.53,4409.36,4326.84,4348.04,4.47051621,63.0675028812
2022-07-06,4341.86,4354.86,4240.66,4261.22,4.89756242,74.0762683777
2022-07-07,4259.11,4286.81,4230.68,4243.02,3.28979107,48.237267496899996
2022-07-08,4271.87,4282.12,4227.38,4257.04,2.85408601,44.5323106774
2022-07-11,4242.45,4269.34,4215.97,4235.25,3.76186186,45.131960470500005
2022-07-12,4232.04,4285.99,4216.82,4239.71,4.47424041,56.9517617661
2022-07-13,4224.56,4240.01,4105.67,4121.67,8.07595125,129.1765681284
2022-07-14,4071.19,4074.88,3950.09,4001.18,9.67851926,166.8363345413
2022-07-15,3949.03,3994.78,3893.75,3897.04,6.89937193,107.1094453603
2022-07-18,3917.02,3974.43,3903.98,3955.78,4.81538575,70.755685192
2022-07-19,3948.65,3975.25,3919.26,3958.58,3.80332849,50.7774043824
2022-07-20,3976.59,3992.49,3948.12,3963.73,3.4750377,46.2412349876
2022-07-21,3929.67,3942.82,3881.99,3889.02,5.27318314,70.3099947823
2022-07-22,3890.96,3929.91,3865.43,3899.31,3.79361917,52.051100024899995
2022-07-25,3889.83,3926.91,3869.14,3912.88,2.67127629,36.351538003
2022-07-26,3912.05,3958.92,3905.49,3955.51,3.76706138,50.019589573100006
2022-07-27,3955.33,3964.87,3918.45,3934.63,3.2721299,43.5911974274
2022-07-28,3936.85,3963.61,3917.16,3927.71,3.4509766,46.9597670166
2022-07-29,3934.36,3954.25,3868.13,3877.5,4.01816832,51.7645259072
2022-08-01,3868.86,3872.62,3821.77,3827.69,3.64701737,52.47864889
2022-08-02,3799.04,3805.49,3722.17,3776.5,5.70651973,68.44506989119999
2022-08-03,3768.77,3814.97,3710.55,3719.94,4.28478645,60.9016778571
2022-08-04,3740.01,3776.07,3725.51,3767.84,3.07969702,41.4862333002
2022-08-05,3774.85,3821.29,3750.84,3816.6,3.30237812,39.585760811
2022-08-08,3809.71,3837.55,3770.1,3786.36,2.61872944,36.965580638
2022-08-09,3791.34,3795.25,3753.67,3765.89,2.40866271,32.4970453055
2022-08-10,3767.53,3781.99,3726.61,3736.72,2.45756333,35.0130824077
2022-08-11,3761.16,3843.81,3740.33,3837.47,4.69415571,64.4634859511
2022-08-12,3821.54,3851.12,3807.92,3842.12,2.84504342,36.025719864
2022-08-15,3823.47,3845.89,3770.51,3784.16,3.68224151,46.892421502299996
2022-08-16,3787.85,3826.59,3777.33,3791.24,2.89848448,36.0346967272
2022-08-17,3801.12,3850.04,3768.74,3841.83,4.00224573,50.8284480536
2022-08-18,3835.78,3842.35,3772.89,3795.26,3.36702217,46.076521426999996
2022-08-19,3780.07,3855.86,3774.12,3818.38,4.7241066,59.455232811
2022-08-22,3798.32,3846.89,3787.48,3806.09,3.48536905,46.248559176899995
2022-08-23,3801.53,3806.84,3754.38,3764.71,3.33388267,42.340540224499996
2022-08-24,3765.59,3805.47,3745.66,3752.1,4.0760275,51.7387107713
