date,open,high,low,close,volume,amount
2021-12-13,906.26,916.51,894.58,896.18,4.38193306,41.9124336271
2021-12-14,893.45,898.38,883.94,888.1,3.88090982,35.4736490557
2021-12-15,887.38,892.93,882.94,888.61,2.74708202,25.076161268299998
2021-12-16,887.8,899.73,885.67,896.22,2.78776811,28.4717862425
2021-12-17,896.21,899.79,888.39,893.0,3.5158363,30.6426929977
2021-12-20,890.07,899.2,884.27,891.25,4.06802186,32.9877960883
2021-12-21,890.57,900.39,885.09,894.51,4.89814373,36.7029605605
2021-12-22,895.92,897.52,884.85,886.59,3.11114585,25.9374202262
2021-12-23,888.06,892.25,881.82,887.2,2.59132721,24.6793600289
2021-12-24,887.95,890.18,881.38,885.77,2.40941174,20.4015717218
2021-12-27,887.5,889.44,873.75,879.2,2.67798047,26.277221803499998
2021-12-28,880.31,888.04,876.72,883.62,2.62541085,24.0407280112
2021-12-29,883.82,885.77,875.32,879.21,2.49440177,22.7560174696
2021-12-30,878.13,888.01,876.52,884.73,2.65019657,25.3068466256
2021-12-31,886.49,888.35,879.32,885.3,2.6428847,23.527324270100003
2022-01-04,884.09,891.51,877.14,886.99,4.6728142,37.156740527800004
2022-01-05,887.19,907.56,885.22,901.2,6.44696913,56.6189522584
2022-01-06,898.8,905.68,894.72,899.21,3.95613395,34.9425759329
2022-01-07,897.85,917.24,896.99,912.77,6.4287381,52.317223554399995
2022-01-10,914.5,921.95,899.39,914.8,5.86556591,59.1120832909
2022-01-11,913.86,930.48,907.36,922.86,7.27106365,66.5337697004
2022-01-12,925.06,935.58,915.89,926.95,6.51106646,56.097600508999996
2022-01-13,924.81,940.5,915.43,924.32,6.48643281,54.5841281138
2022-01-14,922.47,924.08,898.53,902.81,6.16293945,51.273008283500005
2022-01-17,901.37,911.46,894.5,902.94,3.90346502,36.0832197365
2022-01-18,906.79,934.03,904.67,932.54,5.59873007,57.673710308800004
2022-01-19,929.47,946.35,926.18,940.3,5.32792769,55.084915822
2022-01-20,940.68,963.89,937.51,956.17,8.71798027,76.3316954053
2022-01-21,953.02,958.2,939.6,947.37,6.02199331,51.786729361800006
2022-01-24,944.81,952.24,931.74,942.7,5.65929232,48.814051640699994
2022-01-25,938.37,947.89,924.2,930.38,8.04537525,63.0999522543
2022-01-26,930.84,939.82,921.18,932.08,6.67328373,52.72890351189999
2022-01-27,929.82,943.98,922.26,932.38,6.64342185,51.5009070899
2022-01-28,932.59,937.18,916.47,918.34,6.83968141,51.5542853133
2022-02-07,927.53,951.26,925.06,945.67,7.6195455,65.48529464949999
2022-02-08,943.72,965.0,935.86,953.35,9.47331032,73.7193135241
2022-02-09,954.26,962.56,939.74,944.49,10.19182605,79.85175153670001
2022-02-10,943.49,955.36,936.72,953.99,7.29071068,57.116843955600004
2022-02-11,952.17,977.38,950.54,968.5,10.75264724,92.29257194520001
2022-02-14,966.52,970.19,941.63,945.2,8.71020332,68.496485553
2022-02-15,943.23,951.41,928.29,934.62,6.57211089,54.613848981000004
2022-02-16,937.08,949.81,934.36,941.51,4.81839213,41.2363641379
2022-02-17,943.79,953.06,936.88,945.37,5.42653858,46.4221086987
2022-02-18,942.46,959.49,938.11,955.53,5.43660671,44.5433492444
2022-02-21,951.89,958.17,941.27,952.74,4.83140437,39.6708237181
2022-02-22,945.84,953.07,937.72,944.56,4.62432953,38.0085754197
2022-02-23,944.41,948.53,931.6,936.89,5.05742855,43.072401151
2022-02-24,934.43,938.0,917.14,922.7,6.49068769,50.5523427061
2022-02-25,925.11,929.28,910.25,916.46,4.74069148,43.4546395558
2022-02-28,914.76,922.81,905.49,917.11,4.34087295,37.105505089299996
2022-03-01,918.83,934.34,911.21,929.43,5.84455332,54.8382890375
2022-03-02,924.37,935.54,921.97,928.28,4.67488422,42.9912206568
2022-03-04,941.76,946.28,926.38,936.8,5.05281608,42.655048585
2022-03-07,931.95,938.07,916.22,920.36,5.12328333,46.369439059099996
2022-03-08,918.94,924.79,895.84,899.15,6.17127125,49.9901796718
2022-03-09,902.73,908.14,862.32,886.05,9.56369638,70.43561784069999
2022-03-10,899.18,904.84,885.72,891.38,6.6514755,50.7194824962
2022-03-11,886.83,900.48,868.78,896.04,6.98943786,57.095529311499995
2022-03-14,885.31,896.38,867.34,869.38,5.36822002,45.86983883640001
2022-03-15,863.8,867.07,824.71,828.23,9.03813855,73.6252270041
2022-03-16,836.15,867.22,817.24,858.57,9.69049466,79.8914986234
2022-03-17,866.01,878.97,857.15,865.63,8.03330852,64.0307678596
2022-03-18,863.64,888.24,855.38,876.87,8.34532358,69.8904056871
2022-03-21,879.35,885.49,863.17,871.14,6.26670001,50.631453615
2022-03-22,869.58,894.46,865.34,887.05,7.84221078,61.707332498199996
2022-03-24,884.22,900.34,878.9,892.74,4.92551428,41.0463918893
2022-03-25,892.77,901.32,882.18,888.8,4.00887063,33.3410227344
2022-03-28,883.68,898.73,869.84,888.74,5.95080052,44.6307846102
2022-03-29,888.48,902.77,883.3,896.5,4.84658649,38.5069640964
2022-03-30,898.27,909.34,889.78,906.15,6.11536439,47.517038241
2022-04-01,916.68,950.0,915.15,947.58,10.87590763,83.6442188908
2022-04-06,940.8,972.83,938.1,965.12,12.41430912,90.65869264290001
2022-04-07,963.93,975.88,947.76,953.62,11.59035632,87.3732931727
2022-04-08,955.97,968.72,945.75,964.41,9.49211018,74.20310587600001
2022-04-11,960.27,963.64,937.83,950.73,7.0458042,57.56829580229999
2022-04-12,946.51,967.57,933.22,953.05,8.79894976,70.76906763310001
2022-04-13,950.11,967.58,944.81,952.47,6.94719904,55.7197813078
2022-04-15,938.9,968.05,933.93,962.18,7.40000698,63.0958066685
2022-04-18,951.59,963.36,936.52,947.89,7.26914447,61.2263813894
2022-04-19,945.34,957.37,926.76,950.1,5.70022938,52.421574345799996
2022-04-20,950.13,956.18,931.85,935.44,5.31090447,46.979757802399995
