date,open,high,low,close,volume,amount
2021-12-13,647.23,651.53,643.12,644.88,2.46173011,14.456641277000001
2021-12-14,643.99,645.39,638.29,640.41,1.94623459,11.1871764099
2021-12-15,639.01,643.07,637.57,639.77,1.56252711,8.8626441007
2021-12-16,640.32,643.84,638.33,642.34,1.59824836,8.9703444508
2021-12-17,642.21,644.1,638.55,640.1,1.65061628,9.6025638088
2021-12-20,638.24,640.83,634.16,635.94,1.85784864,10.6058628876
2021-12-21,635.44,653.95,634.69,650.29,4.1272481,20.1641040286
2021-12-22,652.08,653.56,642.89,644.02,3.44082051,15.779806866500001
2021-12-23,644.06,647.93,640.4,642.33,2.11161268,10.2543979001
2021-12-24,642.52,645.13,638.49,640.7,2.07718115,10.343392355399999
2021-12-27,640.92,643.37,635.23,637.46,2.07346684,10.1551786526
2021-12-28,637.35,640.36,634.16,637.98,1.59866077,8.040469697
2021-12-29,637.58,639.86,634.09,637.02,1.58225486,8.168895535299999
2021-12-30,636.72,641.52,635.71,638.08,1.76270567,8.873695917200001
2021-12-31,638.27,643.75,635.97,641.15,2.0441936,9.7463240649
2022-01-04,640.62,646.94,638.74,645.64,2.64284894,13.5756780966
2022-01-05,646.1,653.39,643.67,649.15,3.67627809,19.7979005971
2022-01-06,647.17,651.8,644.08,646.91,2.53154706,13.7323217691
2022-01-07,647.26,661.5,645.95,656.03,4.22547319,21.771239120300002
2022-01-10,658.44,668.78,653.4,660.28,3.84865523,21.1542361989
2022-01-11,660.89,673.17,658.23,667.19,3.99695888,21.9342304896
2022-01-12,669.89,675.66,663.95,671.39,3.66211304,20.7765047473
2022-01-13,670.86,688.26,668.62,678.13,4.39289718,25.7247679941
2022-01-14,677.44,679.73,660.78,665.41,3.76375998,21.3060917791
2022-01-17,665.53,672.5,659.36,663.61,2.42231313,13.378572755999999
2022-01-18,664.21,677.62,661.75,674.55,3.43973384,19.142088398800002
2022-01-19,673.58,685.67,671.11,678.82,3.53238547,18.377086463399998
2022-01-20,679.08,693.14,674.45,682.76,5.11403139,28.2525360771
2022-01-21,679.18,683.54,672.06,679.34,2.99788348,16.7330509833
2022-01-24,676.81,685.44,668.68,678.9,2.94699095,16.7612746165
2022-01-25,677.5,680.81,662.31,663.52,2.98050736,16.1530080595
2022-01-26,664.33,671.06,660.53,666.96,2.0751754,11.0766860127
2022-01-27,665.41,675.93,659.37,664.61,3.04099026,16.3912435873
2022-01-28,666.51,669.38,655.28,657.32,2.51203117,13.245045208599999
2022-02-07,663.66,677.13,660.83,673.82,2.97953323,15.8333972666
2022-02-08,673.35,690.99,670.85,687.88,4.49485857,24.003821321599997
2022-02-09,688.15,693.82,681.58,684.65,3.54367688,19.016895298599998
2022-02-10,683.87,692.13,679.6,690.13,2.68517361,14.340704713900001
2022-02-11,688.3,699.64,685.62,691.17,3.6810614,20.2364794301
2022-02-14,689.65,691.0,674.48,677.68,3.19324229,17.3449805977
2022-02-15,677.9,686.69,670.08,675.17,2.27259339,12.654351294100001
2022-02-16,677.54,687.27,675.57,680.7,1.77411411,9.6366456689
2022-02-17,681.33,686.64,674.43,678.22,1.82427313,9.890103846
2022-02-18,675.46,691.1,673.62,689.59,2.31629896,13.0762140362
2022-02-21,688.0,691.69,680.64,686.74,1.92222768,10.5559374254
2022-02-22,684.76,688.92,675.93,681.8,1.96705031,10.9125276152
2022-02-23,682.58,683.37,671.48,675.88,2.13254884,11.8768996802
2022-02-24,674.54,677.07,658.68,664.54,3.21026441,16.5463797309
2022-02-25,666.03,671.06,659.0,661.84,2.00961353,10.097526422
2022-02-28,661.17,665.88,651.82,661.99,2.03865082,10.777670945899999
2022-03-01,663.3,672.48,660.58,670.01,2.13157124,11.437490267200001
2022-03-02,667.26,678.36,664.98,672.34,1.87599194,10.037172396499999
2022-03-04,678.14,679.71,668.49,673.04,1.81212366,9.4946903845
2022-03-07,670.48,676.52,666.06,667.9,1.94912897,10.381378599
2022-03-08,666.41,669.65,648.27,650.11,2.50184483,12.7157003069
2022-03-09,651.52,657.22,618.67,636.51,3.55377686,18.0851067766
2022-03-10,647.37,654.74,641.1,646.8,2.36387447,13.065545656500001
2022-03-11,642.25,654.51,629.1,648.23,2.51235003,13.0394420542
2022-03-14,641.63,649.46,634.55,635.25,1.95016912,9.9880929027
2022-03-15,633.07,635.39,605.91,613.24,3.42588234,17.1660714126
2022-03-16,615.46,627.8,598.0,621.63,3.46123318,17.3252157606
2022-03-17,625.83,631.18,618.23,623.6,2.70246732,13.9837561107
2022-03-18,621.87,638.56,619.51,634.55,2.679183,13.5750705683
2022-03-21,634.19,636.1,621.94,626.42,2.18317368,11.0188189036
2022-03-22,623.77,637.89,622.21,633.31,2.11287089,10.5312591773
2022-03-24,630.89,639.87,626.77,632.16,1.70473432,8.3916302779
2022-03-25,631.6,640.68,628.83,633.41,1.58465001,7.623298945399999
2022-03-28,630.4,648.2,624.72,641.82,2.81547679,12.6120093676
2022-03-29,643.74,648.95,636.25,641.86,2.02696006,10.0919533721
2022-03-30,643.29,652.1,638.93,649.53,2.48879024,12.6028440766
2022-04-01,661.97,691.18,660.81,689.06,6.34812382,33.4638888298
2022-04-06,684.05,713.01,679.77,706.8,7.72741864,42.2738627202
2022-04-07,703.77,714.68,689.15,692.31,5.97778915,32.6491717696
2022-04-08,690.19,701.11,678.66,694.91,4.50486941,23.93219545
2022-04-11,689.47,694.16,673.81,678.24,3.67368854,19.5491822147
2022-04-12,678.4,690.04,668.14,684.17,3.37818588,18.326806513399998
2022-04-13,681.09,691.81,675.84,680.11,2.71923781,15.0361055447
2022-04-15,679.08,701.9,676.89,696.56,3.82015401,22.2693373532
2022-04-18,687.23,691.47,672.69,679.81,3.30851837,18.7166024102
2022-04-19,679.61,689.2,671.13,686.39,2.41445649,13.2503249997
2022-04-20,686.05,690.28,667.78,671.51,2.36453928,12.602950878800002
2022-04-21,668.15,678.63,658.28,661.39,2.72728277,14.272455784000002
2022-04-22,660.41,679.85,658.1,673.02,2.82056649,15.6637908726
2022-04-25,667.62,678.5,645.87,647.9,4.16279263,22.062512930300002
2022-04-26,649.29,658.72,631.63,634.21,3.49374294,18.0993690842
2022-04-27,629.04,643.12,622.07,638.51,3.04117847,14.997490485
2022-04-28,637.17,652.67,630.91,644.76,2.89501703,14.7430504227
2022-04-29,648.08,657.45,636.32,651.73,3.52632314,17.6997498956
2022-05-06,653.11,660.57,642.92,648.52,3.07534612,15.131365604
2022-05-10,635.19,649.54,627.18,646.18,3.05086583,15.074502244200001
2022-05-11,644.41,651.72,636.62,639.01,2.9256781,14.235271255399999
2022-05-12,636.01,645.42,631.49,638.3,2.29158728,10.7199830534
2022-05-13,638.11,649.97,636.92,644.23,2.32900906,11.1763105298
2022-05-16,646.29,649.1,634.45,643.08,2.43910446,11.9444768473
2022-05-17,642.16,646.99,633.2,640.52,2.14717538,10.3304214001
2022-05-18,641.54,644.19,631.36,634.7,2.18612607,11.285480261400002
2022-05-19,629.54,634.99,625.36,631.96,1.98246319,9.5868965215
2022-05-20,631.87,638.56,628.67,635.54,2.39282301,11.717350180799999
2022-05-23,635.56,638.23,628.39,632.49,2.37375787,11.4928052324
2022-05-24,633.2,635.73,619.74,619.99,2.80949103,13.030469745
2022-05-25,620.14,628.29,617.97,626.88,2.22084885,10.3215053435
2022-05-26,626.91,634.69,623.59,632.58,2.25606521,10.735558736
2022-05-27,632.97,636.01,626.39,630.55,1.79100867,8.5938443701
2022-05-30,631.27,638.04,626.88,631.94,2.43995662,11.8362294486
