date,open,high,low,close,volume,amount
2014-02-21,996.59,1004.5,981.64,999.53,0.62731325,4.2140221149
2014-02-24,995.24,995.24,975.63,991.51,0.63345519,4.342318777
2014-02-25,987.45,1011.09,951.21,955.41,0.8663821,5.1943842214
2014-02-26,950.85,967.25,943.32,961.63,0.45444529,2.6144831254
2014-02-27,962.08,983.89,954.77,955.95,0.54482379,3.0952299879000003
2014-02-28,955.79,965.49,941.73,964.1,0.45544136,2.5204495847
2014-03-03,964.8,986.79,964.09,986.46,0.58565678,3.4805711269999997
2014-03-04,982.05,990.71,976.01,989.73,0.68239111,3.8132082227999997
2014-03-05,991.14,999.04,982.78,987.71,0.62045326,3.4940516474
2014-03-06,986.26,987.21,960.25,971.0,0.49549342,3.0524945695
2014-03-07,971.82,976.76,962.56,965.89,0.44660034,2.6184865446
2014-03-10,962.01,962.01,925.07,929.8,0.54652163,3.2265522331
2014-03-11,928.14,933.47,918.36,928.3,0.33098327,1.8301056703
2014-03-12,925.72,933.5,914.31,931.81,0.28755219,1.6298804965
2014-03-13,932.28,945.09,931.45,942.61,0.25514154,1.4639706302000002
2014-03-14,939.67,947.23,934.42,947.23,0.27128545,1.5464782909
2014-03-17,945.34,964.23,942.98,962.6,0.32324582,1.879233723
2014-03-18,964.58,972.8,961.96,968.3,0.35481902,2.2379495596
2014-03-19,966.72,969.03,955.94,963.34,0.42840595,3.2782164312
2014-03-20,957.78,968.15,938.99,938.99,0.40207066,2.7332641879
2014-03-21,936.16,962.96,933.41,960.46,0.38301852,2.6027067594999997
2014-03-24,958.54,971.93,958.54,968.6,0.39846752,2.6074649416
2014-03-25,969.47,979.83,966.75,979.83,0.46488645,3.0587698008
2014-03-26,979.7,1005.4,979.4,999.58,0.82758303,4.865181705
2014-03-27,996.41,1006.57,991.58,991.58,0.69780224,4.7590831137
2014-03-28,986.67,996.5,967.32,971.62,0.83311587,5.914072471
2014-03-31,969.95,971.96,942.85,950.21,0.42919589,3.1457653511
2014-04-01,946.67,967.63,944.32,965.73,0.37529957,2.4297560484000003
2014-04-02,963.24,972.66,960.2,961.2,0.41494777,2.5365542397
2014-04-03,965.65,969.34,956.18,963.47,0.30245046,1.8777874400999999
2014-04-04,956.72,985.75,956.43,985.17,0.4140344,2.559445573
2014-04-08,982.96,999.82,979.02,995.18,0.40345218,2.5275754129
2014-04-09,995.27,1001.8,990.71,994.85,0.38834758,2.4520310144
2014-04-10,1001.17,1007.87,998.58,999.8,0.39800177,2.6617888058
2014-04-11,1001.99,1029.53,997.77,1021.84,0.7999624,5.6172602023
2014-04-14,1026.11,1029.6,1009.45,1018.03,0.78683929,4.6568494589
2014-04-15,1013.61,1017.36,1005.08,1008.29,0.66367709,4.5691252694
2014-04-16,1006.88,1041.77,1005.14,1035.43,0.64894923,4.3899102901
2014-04-17,1043.33,1045.39,1030.38,1032.31,0.90801024,5.4712002538
2014-04-18,1024.07,1034.25,1018.72,1034.25,0.73645031,5.5483171615
2014-04-21,1026.14,1043.19,1020.42,1031.57,0.82864536,6.2104741932000005
2014-04-22,1029.24,1042.49,1024.28,1035.57,0.87062889,6.0825281007
2014-04-23,1032.69,1033.86,1012.92,1027.36,0.63601327,4.5011998809
2014-04-24,1024.28,1042.4,1022.4,1032.67,1.14935011,6.6520793092999995
2014-04-25,1025.85,1031.26,1003.04,1009.99,0.91805835,5.4565256271
2014-04-28,1005.5,1005.8,953.43,957.36,0.82423307,4.6696818901
2014-04-29,953.47,973.47,945.49,973.41,0.64889814,3.4711679824
2014-04-30,972.7,1002.2,967.31,996.7,0.73877517,4.0047241725
2014-05-05,991.42,1005.51,990.16,1004.35,0.60140137,3.4357691286
2014-05-06,1004.66,1010.83,994.92,1003.64,0.54108064,3.1396928509
2014-05-07,997.39,1002.41,973.21,973.32,0.57098582,3.2923976036
2014-05-08,965.41,984.31,964.35,971.57,0.43566763,2.4825725644
2014-05-09,969.58,971.64,943.85,950.64,0.54247146,2.8932078903
2014-05-12,961.22,974.16,953.76,972.88,0.39820755,2.3082822119
2014-05-13,970.26,973.22,962.11,970.99,0.33996613,2.0035122462
2014-05-14,972.93,979.08,968.61,971.57,0.31106677,1.8332800058
2014-05-15,968.66,970.8,954.72,958.14,0.45775507,3.1967437328
2014-05-16,951.24,956.89,940.21,951.51,0.34814435,2.4922114665
2014-05-19,953.01,954.21,941.83,953.16,0.3358342,2.0507427342
2014-05-20,954.07,972.07,950.78,964.71,0.49953355,2.734728317
2014-05-21,957.82,969.59,951.21,968.69,0.45379873,2.5483481605000002
2014-05-22,963.73,982.3,960.75,967.78,0.60718111,3.782879603
2014-05-23,962.13,971.64,958.53,971.03,0.3287614,2.2800742363
2014-05-26,971.73,980.14,970.44,978.05,0.36009026,2.3867167527
2014-05-27,976.69,979.04,964.38,964.83,0.39082134,2.4411391537
2014-05-28,961.41,973.82,957.71,973.82,0.32044563,1.9939426922999999
2014-05-29,972.24,978.25,963.81,964.02,0.37180727,2.4845857333000003
2014-05-30,964.21,989.47,963.12,984.53,0.60811729,3.4908616737
2014-06-03,990.68,993.69,980.92,986.32,0.87168123,4.760268993
2014-06-04,983.85,983.85,971.19,980.25,0.8950541,5.1133404868
2014-06-05,977.3,991.71,975.78,991.43,0.60813178,3.8140057757
2014-06-06,990.01,1007.14,984.1,998.37,1.00087414,5.650458989500001
2014-06-09,993.08,1002.61,991.51,996.73,0.75562732,4.2096497263
2014-06-10,994.52,1024.75,993.74,1024.63,1.17103301,6.8574040511000005
2014-06-11,1019.75,1023.81,1012.54,1021.6,0.78623377,4.700996984200001
2014-06-12,1016.35,1027.28,1011.95,1012.58,0.82858913,5.1059218983
2014-06-13,1011.92,1023.03,1005.57,1021.21,0.69979048,4.2442830996
2014-06-16,1017.71,1023.76,1014.19,1019.07,0.57683516,3.4427836907
2014-06-17,1017.1,1028.96,1008.46,1011.45,0.85874827,5.0073755755
2014-06-18,1010.46,1010.6,981.35,986.95,0.84613372,4.6398936672
2014-06-19,984.08,987.81,953.46,959.52,0.48283968,2.7454613725
2014-06-20,947.09,956.52,943.16,955.44,0.62797781,3.1510965268
2014-06-23,956.08,960.23,949.08,956.38,0.47419306,2.5261231716
2014-06-24,955.08,963.64,953.3,963.59,0.42192504,2.3027309883
2014-06-25,961.55,962.08,949.56,955.31,0.4195002,2.3467907718000003
2014-06-26,954.12,978.87,953.23,977.77,0.67214171,3.9148177311000003
2014-06-27,976.69,1002.22,976.69,995.98,0.947823,5.649344762999999
2014-06-30,998.03,1014.11,994.52,1011.39,0.9351809,5.457586804
2014-07-01,1008.83,1038.9,1006.27,1033.12,1.05859139,6.154514610800001
2014-07-02,1032.91,1065.82,1024.86,1065.82,1.34329459,8.1606821091
2014-07-03,1064.78,1074.27,1061.54,1070.31,1.16782231,7.9259689494000005
2014-07-04,1070.04,1105.82,1061.92,1083.71,1.20993599,7.9286980832000005
2014-07-07,1081.97,1097.14,1076.06,1097.14,0.90620046,6.394714105299999
2014-07-08,1092.51,1106.17,1088.21,1105.76,0.92491807,6.758359210399999
2014-07-09,1098.02,1126.57,1093.32,1094.42,1.0685316,7.7320043961
2014-07-10,1086.47,1100.71,1076.35,1080.77,0.62369486,4.3702459786
2014-07-11,1080.31,1112.02,1074.5,1102.82,0.67208486,4.5362804957
2014-07-14,1103.22,1136.65,1103.22,1133.08,0.69210916,5.3544494851
2014-07-15,1123.02,1158.74,1118.89,1157.52,1.16601818,8.1590317353
2014-07-16,1150.47,1157.4,1122.87,1126.47,0.79815205,5.3521962654
2014-07-17,1125.64,1125.64,1091.69,1100.04,0.6322917,4.3508399535
2014-07-18,1092.45,1139.36,1092.45,1131.56,0.76424449,6.6129779783
2014-07-21,1123.1,1140.24,1120.43,1135.69,0.59356399,4.636490956
2014-07-22,1130.55,1161.59,1126.46,1153.48,0.65870192,5.3918042409
2014-07-23,1149.61,1164.37,1143.06,1147.57,0.8319802,5.886793694700001
2014-07-24,1148.79,1150.63,1118.14,1143.92,0.57740826,4.1528284056
2014-07-25,1142.68,1152.56,1137.41,1146.06,0.39673697,2.8548348271
2014-07-28,1150.6,1157.76,1145.34,1157.76,0.62716037,4.4563357977999996
2014-07-29,1155.04,1174.93,1146.33,1162.46,0.70299496,5.2814155912
2014-07-30,1155.34,1198.5,1155.34,1185.72,0.76981033,5.8138181217
2014-07-31,1179.56,1203.07,1178.92,1194.34,0.59197751,4.8629937438
2014-08-01,1190.19,1196.98,1167.74,1171.81,0.6227962,4.4414789838
2014-08-04,1170.17,1194.83,1170.17,1192.42,0.55127689,3.9001946971
2014-08-05,1192.72,1195.04,1173.87,1186.67,0.53169565,4.0274344207
2014-08-06,1181.71,1191.55,1172.66,1187.67,0.52131669,4.2704476354
2014-08-07,1186.52,1191.04,1174.14,1176.11,0.50084277,3.5082136037000002
2014-08-08,1171.91,1193.87,1171.91,1187.81,0.46393286,3.2115231512999998
2014-08-11,1188.68,1220.22,1186.45,1214.22,0.53499659,4.0987283484
2014-08-12,1216.97,1244.52,1211.03,1234.07,1.14851377,8.130222527599999
2014-08-13,1224.29,1231.58,1201.78,1216.33,0.78076004,5.9632447537
2014-08-14,1213.82,1225.05,1203.56,1203.56,0.56557292,4.3781977771
2014-08-15,1201.28,1213.93,1199.53,1213.93,0.5045912,3.7218971967
2014-08-18,1216.27,1230.81,1210.36,1230.81,0.71992088,5.6123393127
2014-08-19,1227.37,1249.23,1222.11,1248.49,0.67555312,5.7630058957
2014-08-20,1244.77,1246.81,1234.23,1238.97,0.48242266,3.7751671375
2014-08-21,1238.79,1239.49,1210.51,1228.76,0.60113588,4.8405486842
2014-08-22,1223.78,1254.61,1221.38,1250.73,0.538324,4.567543803
2014-08-25,1273.7,1279.07,1248.78,1262.32,0.62509145,6.0004516315
2014-08-26,1251.8,1287.17,1243.79,1250.18,0.61824305,5.6897634957
2014-08-27,1244.45,1281.28,1243.18,1274.35,0.62911238,6.41953899
2014-08-28,1277.1,1285.15,1262.0,1271.52,0.80378305,6.6778840351
2014-08-29,1263.56,1285.36,1263.56,1281.92,0.67051735,5.2607831869
2014-09-01,1291.81,1308.68,1283.78,1299.21,0.75577105,6.2631837316
2014-09-02,1299.28,1323.06,1287.69,1317.53,1.04052759,8.5511518277
2014-09-03,1317.68,1334.56,1311.73,1331.37,0.93007354,8.0119847312
2014-09-04,1339.99,1363.99,1333.48,1351.72,0.90057898,7.7369034505
2014-09-05,1360.88,1364.4,1344.6,1356.89,1.27030577,11.1200058724
2014-09-09,1355.24,1373.82,1343.96,1372.97,1.10472391,9.326368063099999
2014-09-10,1365.48,1386.03,1354.78,1380.97,0.8218565,7.357274403
2014-09-11,1377.29,1396.38,1348.75,1355.86,0.98465864,8.9933914781
2014-09-12,1356.6,1399.48,1349.94,1398.08,1.00637406,8.5779980523
2014-09-15,1405.39,1471.41,1398.08,1462.33,1.11061425,10.5224570103
2014-09-16,1473.57,1487.71,1396.52,1396.96,1.39362297,12.883400628399999
2014-09-17,1393.91,1437.7,1378.57,1437.7,0.9209493,8.5702600479
2014-09-18,1432.6,1487.2,1428.85,1470.94,0.80386686,7.6750217187
2014-09-19,1447.82,1494.59,1447.82,1485.2,1.30745435,11.608020570699999
2014-09-22,1472.95,1472.95,1441.46,1466.7,1.15340456,10.2426694261
2014-09-23,1460.74,1495.31,1456.76,1493.59,0.99483716,8.8761252902
2014-09-24,1482.15,1525.33,1480.35,1522.94,1.15833864,10.6708168102
2014-09-25,1529.03,1545.99,1520.8,1525.87,1.06083243,9.8305601931
