date,open,high,low,close,volume,amount
2014-02-21,998.74,1007.45,963.96,981.87,1.29567397,33.1728563553
2014-02-24,980.69,1007.24,963.61,991.79,1.33781741,34.6679728727
2014-02-25,992.07,1033.42,951.25,964.69,2.24505013,57.6104122971
2014-02-26,955.92,962.68,891.37,922.95,1.69923724,42.6649789813
2014-02-27,923.82,943.48,855.42,871.57,1.69081986,44.2042805521
2014-02-28,866.73,891.18,834.13,881.93,1.35129452,34.0769806403
2014-03-03,874.78,914.47,865.89,905.31,0.99458023,23.5774815565
2014-03-04,901.57,918.4,876.54,901.84,0.98999643,22.404806355799998
2014-03-05,901.51,919.31,883.32,893.08,0.91435938,19.4447446585
2014-03-06,896.2,920.08,876.04,906.13,0.9387097,23.0447293768
2014-03-07,913.94,934.86,892.92,909.71,1.40453754,34.351609804
2014-03-10,886.71,898.34,846.61,861.04,1.28471038,29.672605238400003
2014-03-11,851.4,878.8,837.64,859.6,0.72723723,17.4827482284
2014-03-12,858.29,887.49,845.44,872.22,0.76532984,17.269488733299998
2014-03-13,873.69,897.67,860.45,889.32,0.67316683,17.369173293499998
2014-03-14,886.5,917.02,875.91,898.34,0.81074341,21.6658569535
2014-03-17,897.63,925.57,892.21,916.44,0.87800235,21.3512367664
2014-03-18,919.87,939.81,898.98,923.09,1.17531627,28.5273127044
2014-03-19,916.27,927.96,886.85,900.82,0.90389668,21.4033841175
2014-03-20,897.1,907.91,844.24,854.48,1.21861939,27.7351702472
2014-03-21,844.01,876.2,818.92,866.15,1.21746795,25.5087196818
2014-03-24,854.85,881.16,833.7,862.06,0.85693657,17.9927049262
2014-03-25,851.38,885.45,834.89,868.76,0.68170092,14.4600356767
2014-03-26,860.02,896.97,846.11,885.73,0.90979146,18.8786988139
2014-03-27,874.03,892.73,837.58,857.74,0.87639699,18.148424145499998
2014-03-28,846.13,868.58,803.83,836.74,0.96122786,18.9414800448
2014-03-31,833.45,846.79,803.13,818.13,0.67958717,14.9051043074
2014-04-01,811.99,832.98,804.22,826.19,0.58571362,12.213363691600001
2014-04-02,826.05,832.91,793.09,812.54,0.73786583,16.0324657014
2014-04-03,805.74,827.18,796.05,811.69,0.67014615,13.1758326078
2014-04-04,808.89,836.11,800.56,832.14,0.97387684,18.8801939863
2014-04-08,823.54,844.55,814.15,838.19,1.01609239,18.7569305783
2014-04-09,845.24,872.12,839.51,855.15,1.52018904,24.6573681371
2014-04-10,859.1,881.78,849.64,869.04,1.18890647,23.858791899899998
2014-04-11,864.99,880.14,849.09,868.31,1.06524425,20.8432685173
2014-04-14,870.34,889.82,860.71,876.52,1.08719069,26.035807832800003
2014-04-15,874.31,886.4,858.37,865.96,0.93710248,20.9339079955
2014-04-16,863.43,881.11,854.55,873.37,0.77848911,17.1261254641
2014-04-17,876.47,892.23,865.73,876.5,1.07478611,19.5346001144
2014-04-18,877.09,893.71,866.56,878.92,0.77495988,16.0495108213
2014-04-21,873.0,890.32,856.61,868.92,1.3861524,22.7950567377
2014-04-22,864.38,884.57,842.63,866.21,1.75429654,27.5403218827
2014-04-23,863.05,872.37,837.36,846.26,1.24131397,21.4445384274
2014-04-24,846.78,866.39,827.53,848.64,1.31367004,21.3916009524
2014-04-25,844.83,858.04,821.34,835.77,1.0006429,16.2377174224
2014-04-28,826.24,839.98,796.59,807.89,1.17435316,18.9793387637
2014-04-29,808.32,824.29,793.15,815.29,0.94851927,14.0037204179
2014-04-30,815.14,840.01,807.42,824.69,0.93332395,16.2369746693
2014-05-05,822.53,841.45,806.84,830.33,1.07853004,18.5894771559
2014-05-06,829.69,856.01,817.94,842.97,1.31401841,24.0239835554
2014-05-07,837.31,845.64,813.67,823.39,1.01944859,18.6779164041
2014-05-08,819.98,839.75,810.11,823.59,0.88005566,15.844022876099999
