date,open,high,low,close,volume,amount
2021-12-13,1951.76,1973.24,1938.35,1952.28,2.12091479,9.667573499400001
2021-12-14,1947.72,1961.91,1927.67,1947.34,1.86535513,8.958510562999999
2021-12-15,1946.21,1970.52,1938.08,1955.26,2.28938264,10.381452103700001
2021-12-16,1969.45,2013.27,1956.29,2000.23,3.52532659,15.6002197753
2021-12-17,2012.54,2087.49,1997.79,2027.28,5.48478568,25.443486563
2021-12-20,2016.57,2068.68,1997.34,2036.96,4.88950396,22.0011957534
2021-12-21,2038.04,2082.09,2020.64,2063.49,4.78842719,19.5565822897
2021-12-22,2095.5,2170.68,2069.59,2083.12,6.25458248,27.450911475999998
2021-12-23,2081.33,2135.69,2059.34,2107.05,6.1051121,27.792222757399998
2021-12-24,2109.99,2148.01,2048.14,2080.36,6.1905993,30.2059063717
2021-12-27,2083.04,2121.38,2052.23,2086.28,4.37608256,22.1948309243
2021-12-28,2101.17,2139.27,2055.26,2104.4,4.28134601,23.6154270811
2021-12-29,2098.74,2123.03,2062.98,2094.97,4.18822512,21.673166540700002
2021-12-30,2103.38,2162.82,2081.85,2116.64,4.87007108,27.007553376799997
2021-12-31,2120.96,2162.81,2077.51,2127.48,6.10088572,31.9494477622
2022-01-04,2121.03,2176.14,2093.85,2143.06,6.12848394,28.9375318573
2022-01-05,2139.59,2182.79,2105.82,2133.04,5.04163804,25.3662855939
2022-01-06,2119.56,2164.13,2103.63,2139.23,3.91816753,19.3323904993
2022-01-07,2153.92,2236.09,2131.93,2178.88,6.87128558,35.1784508973
2022-01-10,2158.73,2188.86,2108.43,2144.24,4.62359337,23.4687656659
2022-01-11,2141.39,2159.48,2088.65,2101.79,3.88138919,18.6757801461
2022-01-12,2139.31,2182.47,2121.28,2141.67,4.39364505,22.063197160599998
2022-01-13,2151.43,2199.49,2126.19,2139.72,4.66000186,22.451068269
2022-01-14,2127.63,2138.81,2059.34,2073.82,4.76815664,21.1156056508
2022-01-17,2082.46,2139.36,2074.57,2118.75,3.38532816,17.4743510878
2022-01-18,2133.22,2160.32,2085.63,2122.38,3.58394725,18.982383693
2022-01-19,2140.06,2163.4,2091.45,2110.67,3.026163,15.9157518616
2022-01-20,2087.05,2104.62,2040.43,2057.24,3.15800192,16.5869633151
2022-01-21,2036.68,2058.88,1987.92,2009.41,2.85088781,13.444012109800001
2022-01-24,1995.01,2043.42,1957.41,2027.69,2.18108168,11.9941696364
2022-01-25,2011.87,2019.73,1926.97,1937.19,2.75911929,12.2876036449
2022-01-26,1949.0,1998.18,1933.87,1979.24,2.02479627,10.0627306444
2022-01-27,1986.22,2010.12,1936.69,1942.06,2.28767954,11.294116676
2022-01-28,1953.13,1986.61,1910.94,1943.15,2.33658616,10.5589855512
2022-02-07,2022.74,2140.16,2010.29,2099.03,6.23306331,29.424101391100002
2022-02-08,2092.02,2161.52,2055.57,2150.61,7.04352674,36.0446684291
2022-02-09,2120.45,2178.8,2100.81,2158.98,5.85676642,31.147378025100004
