date,open,high,low,close,volume,amount
2021-12-13,2362.24,2403.19,2310.86,2358.9,1.315775,21.506200989899998
2021-12-14,2357.71,2422.48,2323.65,2390.88,1.25534452,20.7585471849
2021-12-15,2392.3,2454.64,2355.47,2403.04,1.61264472,23.5467918476
2021-12-16,2405.53,2479.0,2367.09,2440.66,1.74810265,26.8203446706
2021-12-17,2426.62,2480.69,2364.42,2418.92,1.85266493,26.0034377453
2021-12-20,2421.94,2491.52,2357.53,2408.45,1.82920617,23.554269683
2021-12-21,2401.68,2463.41,2360.27,2424.91,1.42340406,19.5121465108
2021-12-22,2427.22,2470.38,2383.14,2429.61,1.30821091,17.8158243583
2021-12-23,2432.26,2477.43,2390.54,2427.39,1.37505541,17.662811235899998
2021-12-24,2431.91,2460.96,2333.61,2356.04,1.45542191,19.033381185
2021-12-27,2354.51,2435.2,2306.13,2371.69,1.3629166,18.4628345955
2021-12-28,2382.59,2435.03,2335.02,2378.12,1.08078797,16.2152173759
2021-12-29,2367.46,2461.02,2338.94,2403.64,1.396662,20.8034032779
2021-12-30,2407.81,2457.48,2369.67,2406.85,1.09130712,16.6860605511
2021-12-31,2412.76,2465.48,2367.03,2422.71,1.4058142,19.5729770796
2022-01-04,2428.33,2465.99,2353.7,2399.24,1.32462978,18.9479760964
2022-01-05,2404.62,2427.5,2292.21,2320.68,1.46617815,19.820158571
2022-01-06,2310.2,2420.63,2287.09,2376.46,1.68231145,19.556910859600002
2022-01-07,2372.41,2404.76,2306.94,2332.75,1.64795626,17.355880191500002
2022-01-10,2330.0,2376.98,2268.4,2338.64,1.25066801,15.3809510607
2022-01-11,2333.15,2373.51,2289.29,2308.12,1.25184103,15.413416955999999
2022-01-12,2327.18,2391.17,2299.56,2357.09,1.67010156,19.0653704633
2022-01-13,2355.63,2371.62,2285.33,2298.62,1.13285585,14.5044838935
2022-01-14,2291.57,2332.4,2242.6,2278.28,1.0860489,13.804876119000001
2022-01-17,2287.67,2327.88,2246.51,2294.05,1.09912534,13.349640369400001
2022-01-18,2296.03,2348.8,2244.61,2287.65,1.1849686,13.63928213
2022-01-19,2283.61,2332.7,2219.59,2273.75,1.08243455,12.794488156300002
2022-01-20,2294.02,2310.09,2197.44,2209.92,1.85299477,20.617662345
2022-01-21,2193.56,2234.49,2134.55,2166.26,1.46840382,16.2567484533
2022-01-24,2154.05,2210.8,2110.5,2173.48,1.02769707,13.8182587079
2022-01-25,2165.03,2200.5,2076.83,2082.61,1.12906744,13.498920275
2022-01-26,2088.26,2128.78,2059.15,2099.97,0.71067929,8.6880438295
2022-01-27,2107.03,2123.19,2034.08,2041.83,0.74821163,8.7583655137
2022-01-28,2059.08,2099.15,2015.7,2063.73,0.7073775,8.1770643101
2022-02-07,2102.24,2164.93,2068.93,2104.88,0.77031859,9.6586813115
2022-02-08,2107.02,2143.33,2066.86,2117.61,0.70618185,9.1521526261
2022-02-09,2116.05,2183.35,2095.86,2164.94,0.75525367,10.072902382999999
2022-02-10,2175.39,2224.83,2136.54,2158.13,1.00170835,12.0705730568
2022-02-11,2147.73,2188.44,2103.25,2134.14,0.87756808,12.7953731487
2022-02-14,2119.72,2146.47,2067.48,2091.45,0.67549032,10.4305731799
