date,open,high,low,close,volume,amount
2021-12-13,3275.31,3309.39,3237.77,3261.82,2.558639,22.8353981634
2021-12-14,3243.17,3256.52,3193.44,3223.29,2.21044673,17.319118755599998
2021-12-15,3218.07,3263.78,3173.99,3206.24,2.48036349,17.1866934575
2021-12-16,3199.34,3240.5,3169.55,3216.11,2.08754093,16.700794084600002
2021-12-17,3205.88,3227.13,3170.65,3196.88,1.79069278,15.758454320899999
2021-12-20,3169.51,3205.06,3148.84,3173.85,2.12173418,14.314807376500001
2021-12-21,3178.11,3243.06,3160.17,3221.2,2.15756953,16.023777146900002
2021-12-22,3245.17,3280.31,3206.97,3215.65,2.12967543,17.6495643133
2021-12-23,3218.83,3259.5,3189.54,3208.53,1.67100187,13.9412404315
2021-12-24,3206.8,3246.14,3174.92,3220.34,1.85570653,15.0963298186
2021-12-27,3215.84,3313.81,3203.29,3292.02,3.03577795,29.3543864811
2021-12-28,3298.55,3317.02,3238.34,3276.82,2.48831014,19.9627184011
2021-12-29,3271.26,3419.48,3258.12,3360.46,5.44113219,46.8843731405
2021-12-30,3345.0,3415.23,3314.73,3371.37,3.07014039,29.845615487699998
2021-12-31,3371.13,3427.82,3331.79,3387.42,2.75921622,22.451992210100002
2022-01-04,3404.09,3504.99,3361.26,3474.03,4.17937428,39.1434061104
2022-01-05,3455.95,3551.58,3430.96,3493.12,4.56111202,47.4330058399
2022-01-06,3488.91,3515.22,3405.59,3446.65,2.80987427,28.0083592495
2022-01-07,3444.09,3517.15,3424.22,3475.46,2.68882487,27.036614163600003
2022-01-10,3438.72,3529.1,3398.61,3499.82,3.14270851,29.41660895
2022-01-11,3495.27,3559.78,3458.98,3487.74,3.13229442,29.4764336104
2022-01-12,3488.68,3550.05,3461.11,3489.49,2.07789652,19.8089644278
2022-01-13,3484.94,3529.48,3434.6,3456.37,2.16677697,20.6233045789
2022-01-14,3453.3,3476.57,3382.33,3413.79,2.26228118,21.012896161300002
2022-01-17,3412.55,3440.21,3364.04,3403.29,1.91736501,18.5570858769
2022-01-18,3407.48,3507.17,3368.0,3478.17,2.87737926,24.5647727806
2022-01-19,3458.36,3524.91,3426.47,3486.25,2.25235368,22.4636975412
2022-01-20,3486.97,3590.71,3460.29,3531.8,3.05717061,31.9765754756
2022-01-21,3578.36,3696.38,3533.27,3575.09,4.83957271,62.707191333199994
2022-01-24,3563.23,3615.36,3509.91,3552.51,3.07597739,37.4309555906
2022-01-25,3539.76,3674.37,3516.72,3578.49,3.99863066,44.951638861000006
2022-01-26,3578.11,3635.0,3511.36,3541.81,2.58971621,29.9064747969
2022-01-27,3522.97,3597.5,3479.08,3505.98,2.92513408,28.800366369099997
2022-01-28,3513.04,3623.45,3428.17,3548.83,4.01836565,32.7459997585
2022-02-07,3570.35,3635.24,3487.44,3598.89,3.12441358,33.7755746449
2022-02-08,3595.17,3710.18,3575.96,3688.43,3.63182553,40.013565143899996
2022-02-09,3687.0,3771.98,3646.2,3734.03,3.36052157,41.5859826075
2022-02-10,3723.72,3906.96,3703.31,3846.8,5.36261984,56.3001369211
2022-02-11,3862.61,3936.27,3777.19,3825.54,6.55889889,51.7199709109
2022-02-14,3823.24,3880.18,3696.69,3772.16,4.88734812,42.5782155698
2022-02-15,3769.01,3778.61,3622.84,3690.97,4.18130436,45.138225611
2022-02-16,3702.32,3784.49,3647.7,3717.75,2.991887,29.5499111192
2022-02-17,3715.67,3724.09,3598.81,3642.39,3.05550917,31.742369423699998
2022-02-18,3630.8,3750.22,3607.7,3721.62,3.01678154,30.1709566338
2022-02-21,3700.46,3744.85,3630.07,3713.64,2.62086354,24.0371188331
2022-02-22,3672.39,3699.38,3601.5,3631.96,2.61268121,25.450241452100002
2022-02-23,3633.66,3673.13,3554.99,3586.43,2.9503241,29.7941653908
2022-02-24,3566.13,3592.42,3460.33,3510.22,3.67184172,33.1597814246
2022-02-25,3531.29,3568.92,3486.72,3527.93,2.27142918,21.676338891700002
2022-02-28,3507.27,3525.48,3438.72,3488.96,2.59901832,23.0529928223
2022-03-01,3483.62,3604.64,3474.32,3565.14,2.5998887,26.926083832199996
2022-03-02,3535.19,3586.43,3502.33,3560.97,1.81573031,19.1874577429
2022-03-04,3662.37,3697.47,3608.11,3636.19,2.32664962,23.9258727822
2022-03-07,3610.0,3611.4,3364.32,3388.42,4.99420111,50.345409790299996
2022-03-08,3363.41,3457.87,3303.08,3317.69,3.41470899,32.6666295214
2022-03-09,3326.55,3359.71,3145.41,3279.84,3.55832195,31.014280952399996
2022-03-10,3351.69,3398.72,3301.68,3334.52,2.24122493,21.664433891599998
2022-03-11,3286.96,3420.21,3214.95,3382.04,3.11461476,32.3714069619
2022-03-14,3280.69,3312.43,3170.38,3175.35,3.06891924,35.3796774052
2022-03-15,3163.97,3202.53,3044.32,3059.97,3.90342827,34.5384725371
2022-03-16,3140.75,3298.03,3121.25,3285.82,4.99008465,46.30171437
2022-03-17,3334.8,3422.0,3262.8,3347.78,4.09395085,42.3847656526
2022-03-18,3316.62,3444.34,3297.86,3406.13,3.01629936,29.6789374425
2022-03-21,3373.48,3447.32,3336.31,3414.05,2.70304817,25.5850116385
2022-03-22,3289.06,3427.83,3267.3,3365.13,5.87563307,47.4219625546
