date,open,high,low,close,volume,amount
2021-12-13,2976.37,3009.31,2924.14,2938.56,9.16952023,78.3375502167
2021-12-14,2912.57,2934.22,2846.37,2860.68,9.66386998,86.3191057036
2021-12-15,2859.01,2923.99,2834.3,2879.19,8.01237217,63.6928182367
2021-12-16,2884.64,2933.22,2862.94,2906.18,6.93495829,49.2475774308
2021-12-17,2907.6,2954.37,2884.13,2912.93,7.58369328,59.455911700200005
2021-12-20,2922.96,2974.53,2892.11,2923.21,8.62644659,69.159930403
2021-12-21,2930.45,2992.94,2902.27,2962.56,11.2698979,63.173025028299996
2021-12-22,2978.39,2990.1,2888.95,2909.21,8.19478557,57.5542383187
2021-12-23,2913.78,2948.08,2883.04,2914.21,6.69518675,49.1258044776
2021-12-24,2913.28,2920.18,2839.59,2868.13,6.22672034,43.742510733100005
2021-12-27,2861.38,2908.02,2845.13,2885.87,4.63076745,35.0062532557
2021-12-28,2895.59,2961.23,2868.77,2941.54,6.26916,66.1431173649
2021-12-29,2945.16,2985.06,2917.38,2938.17,5.95565975,52.7158261269
2021-12-30,2932.08,2951.04,2865.68,2895.51,6.35580478,59.7229297524
2021-12-31,2903.2,2919.31,2873.38,2898.41,4.96874967,39.254785414699995
2022-01-04,2936.02,3019.73,2923.67,2994.71,10.90743949,90.2057150209
2022-01-05,2993.14,3088.4,2950.5,3001.78,13.1877547,93.771850146
2022-01-06,2980.36,3031.85,2928.37,2961.72,8.90076157,69.6994904176
2022-01-07,2961.53,3030.39,2940.07,2981.69,8.66642982,58.492077763299996
2022-01-10,2977.4,3006.92,2900.17,2954.25,7.36567388,59.2369181478
2022-01-11,2946.78,3005.28,2917.55,2944.59,6.71407563,52.2412614426
2022-01-12,2956.29,2983.34,2909.13,2952.73,6.02055032,43.8971068921
2022-01-13,2952.89,2992.08,2927.68,2940.16,5.60591461,40.9250821055
2022-01-14,2932.44,2966.03,2861.14,2900.93,8.14212721,54.12311151270001
2022-01-17,2884.4,2900.18,2826.61,2849.98,6.35938177,53.443725782
2022-01-18,2843.36,2918.63,2810.37,2902.28,6.25906578,53.9578302311
2022-01-19,2896.95,2928.75,2853.31,2876.21,5.25303831,38.591507854
2022-01-20,2862.61,2902.7,2835.16,2855.93,5.68446084,37.781806238899996
2022-01-21,2856.78,2874.95,2768.35,2795.25,6.24309476,50.3592060971
2022-01-24,2754.12,2809.43,2714.33,2765.66,6.08099506,40.2968492704
2022-01-25,2736.43,2814.07,2684.5,2702.45,7.78258753,54.3238584325
2022-01-26,2719.07,2783.82,2701.49,2740.88,5.3916052,37.872830184
2022-01-27,2736.76,2788.84,2698.49,2709.74,5.921032,40.2829298938
2022-01-28,2739.61,2765.82,2658.77,2698.63,5.76312688,39.6869053615
2022-02-07,2730.2,2806.1,2714.95,2790.81,8.27874587,46.415453212799996
2022-02-08,2793.33,2882.45,2772.09,2875.17,11.33958707,61.1211718395
2022-02-09,2893.87,2918.34,2850.28,2877.64,8.3101608,47.1372220412
2022-02-10,2892.02,2928.73,2862.78,2901.53,8.01013753,49.804817209899994
2022-02-11,2894.78,2943.3,2859.96,2888.11,7.64350312,54.6846562283
2022-02-14,2878.15,2890.3,2785.93,2803.06,7.7039087,55.4568380396
2022-02-15,2799.95,2823.4,2759.3,2784.92,5.33161832,33.6472836062
2022-02-16,2798.05,2867.12,2787.38,2838.0,5.74779679,44.761831021300004
2022-02-17,2842.46,2857.37,2804.43,2821.67,4.89141504,33.703298685300005
2022-02-18,2803.28,2877.76,2791.75,2871.13,5.81483609,36.279116489
2022-02-21,2856.43,2882.38,2821.15,2865.03,5.22822472,34.4715078691
2022-02-22,2840.22,2851.98,2784.45,2808.47,5.87075196,43.389027111000004
2022-02-23,2816.25,2865.0,2799.4,2832.89,6.26841318,41.1993862466
2022-02-24,2818.59,2865.26,2745.09,2773.26,9.31254373,60.7615741682
