date,open,high,low,close,volume,amount
2021-12-13,2148.11,2172.96,2118.04,2145.49,1.42229692,10.0839368251
2021-12-14,2133.34,2160.39,2120.04,2143.64,1.13665063,8.0420523781
2021-12-15,2139.0,2196.82,2128.15,2163.29,1.47072981,10.757353260699999
2021-12-16,2142.13,2244.73,2121.76,2200.98,2.56259383,18.633503764100002
2021-12-17,2197.69,2211.56,2143.33,2156.69,2.01291152,12.7546934973
2021-12-20,2132.06,2156.65,2084.57,2097.24,1.84723458,11.4514175231
2021-12-21,2103.06,2171.4,2093.55,2160.19,2.13423524,13.7572755751
2021-12-22,2174.12,2239.58,2162.38,2186.22,1.81582036,13.367530031800001
2021-12-23,2192.7,2211.38,2132.92,2142.12,1.98242883,12.610278563
2021-12-24,2153.45,2193.34,2132.59,2167.22,2.02492144,12.7284754668
2021-12-27,2159.33,2215.72,2141.78,2194.84,1.65088182,12.2385500162
2021-12-28,2192.86,2236.46,2176.05,2206.68,1.95451534,13.458149279
2021-12-29,2204.05,2245.0,2175.87,2223.01,1.89533179,14.6997141569
2021-12-30,2220.77,2284.17,2202.08,2249.5,2.14466669,17.201929255699998
2021-12-31,2241.87,2271.47,2223.59,2249.76,1.82276909,13.642990591199998
2022-01-04,2242.82,2382.62,2229.1,2366.69,3.36736362,29.8911263936
2022-01-05,2366.74,2440.36,2335.72,2381.51,4.09857688,33.7507124355
2022-01-06,2374.56,2424.92,2331.05,2386.87,3.82003962,30.8389932846
2022-01-07,2361.37,2411.92,2320.88,2331.89,3.27042461,26.3794171798
2022-01-10,2302.88,2364.91,2252.68,2349.09,2.44453647,20.4512733493
2022-01-11,2351.92,2382.45,2315.84,2327.93,2.40038889,18.8931639451
2022-01-12,2334.61,2458.76,2307.71,2418.95,4.2200874,35.0558450146
2022-01-13,2402.98,2462.09,2379.3,2407.09,3.35843993,26.762074703299998
2022-01-14,2391.22,2434.27,2319.73,2337.42,3.06796038,24.709069982600003
2022-01-17,2330.03,2381.44,2302.58,2362.05,2.45632631,19.0344261617
2022-01-18,2354.4,2396.61,2301.84,2347.04,2.45668054,19.5704492006
2022-01-19,2333.21,2439.35,2322.6,2409.19,2.85209741,24.305283110500003
2022-01-20,2403.92,2465.4,2364.81,2408.74,2.78505618,24.4814487959
2022-01-21,2501.15,2554.43,2430.83,2458.27,5.12363106,46.4952675839
2022-01-24,2421.73,2569.95,2382.68,2495.47,5.15525252,45.9048287353
2022-01-25,2456.53,2564.48,2408.47,2461.88,5.76569544,48.40882723359999
2022-01-26,2464.14,2508.67,2355.74,2390.65,4.6456909,41.6757603672
2022-01-27,2358.19,2385.15,2257.09,2266.92,3.19789831,24.6318842498
2022-01-28,2258.98,2449.16,2235.34,2403.26,4.93888779,40.5852837279
2022-02-07,2410.71,2454.4,2301.84,2406.1,4.38063755,37.4231833423
2022-02-08,2410.12,2587.69,2394.95,2534.61,5.71616591,51.9586607585
2022-02-09,2527.67,2606.42,2491.09,2573.45,5.41539996,50.375808232
2022-02-10,2558.98,2755.26,2535.48,2707.66,6.98915669,69.2720535233
2022-02-11,2679.85,2872.65,2651.27,2723.55,7.95255493,81.9532747441
2022-02-14,2757.16,2908.88,2662.97,2762.97,8.50170667,88.3566407312
2022-02-15,2688.72,2712.57,2577.54,2631.37,6.21488914,61.8998807209
2022-02-16,2617.2,2701.19,2589.01,2657.59,5.63402341,56.318774060699994
2022-02-17,2631.97,2646.78,2517.81,2552.52,5.14391235,50.5914270503
2022-02-18,2531.62,2603.88,2515.11,2569.06,3.43346229,32.9397141173
