date,open,high,low,close,volume,amount
2021-12-13,2745.56,2823.66,2714.5,2760.31,3.71173086,35.474767581900004
2021-12-14,2726.16,2820.36,2701.86,2772.46,4.95279698,42.2243532203
2021-12-15,2767.57,2813.32,2705.32,2729.39,4.29038011,32.625810897
2021-12-16,2728.66,2775.81,2694.38,2738.27,3.46281498,27.4772900475
2021-12-17,2700.02,2733.17,2634.97,2658.73,4.33272912,34.2458065867
2021-12-20,2637.96,2691.73,2577.5,2606.68,4.6180379,31.8944292203
2021-12-21,2595.71,2679.34,2577.76,2658.26,4.81817029,31.1007639624
2021-12-22,2651.02,2702.92,2619.67,2666.06,5.10821474,31.0705543446
2021-12-23,2657.61,2681.97,2598.84,2624.42,4.04389228,26.7594302274
2021-12-24,2635.8,2674.26,2579.42,2601.86,3.27268695,22.3152028877
2021-12-27,2615.27,2667.44,2566.69,2641.38,4.0667255,26.8908756969
2021-12-28,2636.94,2744.79,2616.56,2691.64,4.7491863,37.0684883587
2021-12-29,2680.63,2745.33,2631.97,2682.27,4.34668935,30.8150992311
2021-12-30,2677.42,2759.69,2659.03,2733.81,2.73705734,22.0366165442
2021-12-31,2756.23,2818.59,2725.76,2776.1,2.22070996,19.7086602276
2022-01-04,2787.37,2856.17,2729.72,2828.64,4.16516799,33.732870254
2022-01-05,2847.99,2896.22,2781.78,2847.23,7.44855635,54.9481638519
2022-01-06,2816.73,2852.18,2756.72,2795.64,4.25786242,27.2369613198
2022-01-07,2779.86,2861.31,2724.41,2748.59,5.89663751,43.8250503982
2022-01-10,2738.38,2776.71,2667.65,2743.92,3.9194712,29.7061801935
2022-01-11,2737.8,2791.14,2679.95,2702.76,4.00179061,29.2156892175
2022-01-12,2705.7,2767.93,2664.12,2735.5,4.29887795,31.6532768591
2022-01-13,2734.04,2792.61,2688.93,2720.88,5.03485432,35.2931632222
2022-01-14,2709.07,2746.54,2638.94,2650.1,4.26604865,31.289625749000002
2022-01-17,2644.08,2751.43,2606.35,2723.06,4.24945116,32.8250926932
2022-01-18,2758.9,2808.15,2663.71,2700.15,6.65011323,56.5879082401
2022-01-19,2695.34,2772.24,2663.75,2731.13,4.50945169,36.659908039099996
2022-01-20,2718.19,2768.55,2631.79,2651.73,5.14327921,40.6632406269
2022-01-21,2642.13,2685.66,2566.13,2585.36,3.97633902,29.1002412192
2022-01-24,2562.76,2615.16,2524.58,2569.65,3.17405824,22.435198100999997
2022-01-25,2552.75,2582.63,2453.55,2466.33,3.21177161,20.6652763199
2022-01-26,2475.13,2530.39,2430.1,2477.78,2.68996931,18.4426147732
2022-01-27,2476.82,2529.88,2392.21,2421.29,2.73520617,19.7778335416
2022-01-28,2443.52,2565.9,2415.24,2509.21,2.77275461,19.917816861400002
2022-02-07,2503.67,2569.57,2449.66,2502.96,2.40655723,16.9071119232
2022-02-08,2494.94,2578.6,2432.71,2554.24,3.18207177,22.8973329747
2022-02-09,2554.13,2618.14,2521.03,2596.77,3.11833768,21.681605578499997
2022-02-10,2597.98,2630.38,2548.21,2594.43,2.67641828,19.2788824997
2022-02-11,2586.24,2640.63,2540.23,2574.7,2.96618936,20.7957374954
2022-02-14,2569.27,2656.08,2538.68,2600.07,3.32915636,24.305838624299998
2022-02-15,2614.43,2728.06,2555.98,2674.55,5.81126727,37.6677405777
2022-02-16,2690.72,2827.64,2656.78,2759.97,6.88007912,49.444477506800006
2022-02-17,2774.92,2835.42,2688.33,2738.64,5.88227853,44.9811008702
2022-02-18,2713.32,2768.8,2654.94,2726.53,4.3638323,31.167319204600002
2022-02-21,2726.6,2894.49,2690.11,2857.74,6.93442608,47.4487912076
2022-02-22,2844.28,2898.79,2756.03,2829.55,6.09646492,43.0052221498
2022-02-23,2826.45,2968.27,2786.63,2894.7,8.98342334,62.6850415768
2022-02-24,2873.63,2901.46,2710.55,2765.62,7.77351555,54.976358405
2022-02-25,2765.3,2827.76,2716.25,2744.2,5.10156608,35.843516942600004
2022-02-28,2738.3,2780.35,2653.87,2726.79,3.9028098,27.127855508499998
2022-03-01,2730.24,2818.27,2682.2,2763.24,4.833293,35.331025790700004
2022-03-02,2739.87,2816.48,2699.0,2771.35,4.21236408,31.5480218135
2022-03-04,2721.74,2826.95,2690.28,2770.44,5.81213095,45.5048595333
2022-03-07,2731.2,2800.03,2659.38,2726.53,5.99383508,46.367279343199996
2022-03-08,2724.5,2761.52,2576.25,2590.67,6.49121169,49.6268265842
2022-03-09,2585.39,2624.3,2397.94,2499.22,5.44268412,38.155733243
2022-03-10,2544.58,2608.72,2470.95,2500.61,4.69114741,33.3967130758
2022-03-11,2456.1,2515.18,2383.46,2496.29,3.72945158,26.1669830298
2022-03-14,2484.97,2531.47,2412.83,2421.29,3.63724911,24.242246134699997
2022-03-15,2403.1,2446.24,2265.53,2287.72,4.20426456,26.0770184885
