date,open,high,low,close,volume,amount
2021-12-13,1018.44,1043.09,1011.1,1033.73,2.04556852,15.810389203900002
2021-12-14,1033.42,1073.49,1027.68,1060.66,3.44352812,23.4320055916
2021-12-15,1062.96,1076.49,1053.04,1063.7,2.65640398,17.0523365491
2021-12-16,1067.35,1102.65,1062.35,1093.7,3.441322,21.5409090823
2021-12-17,1105.74,1118.98,1083.17,1092.98,4.22982638,21.6503153635
2021-12-20,1096.57,1110.94,1075.18,1082.65,4.33109812,24.6215350209
2021-12-21,1084.04,1115.18,1078.94,1106.38,4.99661512,27.097786253699997
2021-12-22,1111.79,1140.14,1099.36,1115.33,5.11948046,32.3452111607
2021-12-23,1110.75,1144.77,1095.49,1110.34,5.93315599,33.515031167
2021-12-24,1107.06,1137.2,1090.68,1110.99,4.60426121,26.051000989400002
2021-12-27,1109.51,1134.7,1077.58,1106.68,5.36874954,35.907965127
2021-12-28,1102.69,1109.98,1080.98,1087.65,3.71631546,21.8586249908
2021-12-29,1086.46,1089.48,1065.64,1068.15,3.21440161,19.0841327898
2021-12-30,1069.41,1135.43,1067.32,1126.24,4.93441031,34.4010509766
2021-12-31,1126.12,1184.69,1111.17,1170.26,6.41935473,43.446314342600004
2022-01-04,1176.7,1230.97,1156.2,1215.7,5.98788247,43.7107486122
2022-01-05,1217.75,1249.21,1193.93,1218.74,5.41516689,39.0777552943
2022-01-06,1220.54,1240.29,1185.22,1201.96,6.00381887,43.343488155100005
2022-01-07,1202.56,1268.94,1191.63,1206.98,8.26355441,51.6562325815
2022-01-10,1190.79,1235.2,1170.26,1213.75,6.61082176,43.0802274105
2022-01-11,1212.02,1251.3,1184.61,1213.63,9.11834793,57.3477551671
2022-01-12,1200.64,1248.07,1181.93,1224.39,9.06060604,56.245015802299996
2022-01-13,1232.1,1252.42,1202.22,1212.14,7.38045197,58.7119309909
2022-01-14,1201.41,1226.27,1178.06,1187.8,5.96355689,45.5189703561
2022-01-17,1190.8,1246.89,1187.05,1237.21,7.58380643,53.076599119899996
2022-01-18,1250.25,1330.75,1227.43,1265.2,12.78284052,87.85455561280001
2022-01-19,1259.09,1308.25,1229.62,1280.49,9.21375098,68.6693644161
2022-01-20,1290.91,1314.15,1237.52,1265.13,10.76465991,86.6396788965
2022-01-21,1261.11,1298.81,1227.03,1236.72,12.23726004,82.5214364577
2022-01-24,1227.71,1249.89,1183.93,1200.58,12.37076953,69.3401214375
2022-01-25,1191.24,1200.8,1111.44,1114.22,9.07392397,51.1299500812
2022-01-26,1113.98,1129.86,1088.35,1101.97,8.89844865,42.3697623369
2022-01-27,1105.3,1112.42,1064.0,1066.62,7.66271782,35.355289158400005
2022-01-28,1079.71,1104.58,1063.54,1082.29,6.26326835,32.0577252008
2022-02-07,1094.05,1106.07,1070.5,1080.97,5.43367853,30.011075834099998
2022-02-08,1080.76,1118.32,1068.54,1108.98,7.5415659,35.6023793892
2022-02-09,1108.31,1185.18,1099.52,1179.2,9.68090432,52.746934553
2022-02-10,1177.46,1202.12,1154.57,1186.49,9.94997326,54.3370046392
2022-02-11,1177.47,1200.64,1141.87,1154.5,8.89112005,53.6135234915
2022-02-14,1148.45,1183.13,1136.32,1155.2,6.988035,42.2032594788
2022-02-15,1156.26,1176.7,1134.38,1146.74,5.73937327,33.9115418891
2022-02-16,1153.92,1169.96,1139.77,1156.79,5.22253265,31.049078134600002
2022-02-17,1151.44,1158.09,1115.3,1122.97,5.40393063,31.573639343299998
2022-02-18,1123.86,1159.17,1121.33,1146.75,4.80471536,25.441096344699996
2022-02-21,1152.31,1201.2,1147.66,1184.37,6.80763753,36.1691849447
2022-02-22,1180.22,1188.02,1141.73,1153.91,6.07481076,33.1196992286
2022-02-23,1175.56,1248.51,1174.73,1226.69,8.67449,46.8194903568
2022-02-24,1229.75,1235.66,1147.4,1166.53,12.79928665,77.4608330489
2022-02-25,1172.4,1190.06,1142.75,1147.4,6.86204433,44.488840707200005
2022-02-28,1139.88,1146.05,1105.48,1129.28,5.49335577,32.8355429728
2022-03-01,1130.26,1179.98,1122.38,1166.54,7.00562888,42.655727314699995
2022-03-02,1151.91,1182.17,1143.71,1166.02,5.91638155,35.3051196823
2022-03-04,1153.33,1163.74,1124.6,1139.07,5.8405187,35.3666788111
2022-03-07,1132.62,1146.26,1111.09,1121.13,4.09640468,24.7315911865
2022-03-08,1120.83,1133.23,1081.16,1086.19,4.63256214,27.872915960100002
2022-03-09,1084.19,1106.45,1023.43,1077.43,5.22408281,29.4075853069
2022-03-10,1095.03,1108.72,1072.33,1078.43,3.97277925,23.5027259107
2022-03-11,1062.2,1099.26,1043.72,1093.57,3.87112906,22.1149628117
2022-03-14,1082.25,1099.15,1060.37,1062.12,3.29861321,18.854267718800003
2022-03-15,1057.17,1066.6,1001.98,1006.08,4.08229605,21.9283577537
2022-03-16,1018.16,1044.85,993.07,1039.03,4.01280139,21.4420815983
2022-03-17,1048.26,1074.27,1040.17,1055.93,4.57647143,26.4981806658
2022-03-18,1048.9,1079.28,1043.41,1071.07,3.21584444,18.3041456121
2022-03-21,1072.48,1084.1,1051.76,1067.67,3.31588679,19.051015000499998
2022-03-22,1062.31,1094.05,1052.46,1085.56,4.2972518,24.854104074699997
2022-03-24,1071.95,1077.74,1050.68,1057.49,3.75261044,22.9194849233
2022-03-25,1059.22,1090.09,1052.6,1068.23,4.02341403,25.402033689099998
2022-03-28,1066.28,1109.69,1058.1,1095.36,5.49279572,34.5864630677
2022-03-29,1101.31,1111.7,1073.97,1081.32,6.27360211,48.310069794300006
2022-03-30,1082.02,1101.81,1066.87,1096.41,4.92676985,36.3229232994
2022-04-01,1092.56,1134.04,1081.58,1126.59,6.7824755,46.9518491345
2022-04-06,1122.07,1156.07,1114.37,1138.27,6.87426311,50.475703806700004
2022-04-07,1132.48,1163.76,1105.44,1117.91,6.4940469,46.2914083436
2022-04-08,1116.77,1126.25,1080.4,1091.91,5.77756859,40.4848635284
2022-04-11,1087.62,1112.45,1062.6,1084.53,5.4751728,37.4209875936
2022-04-12,1089.42,1117.98,1071.36,1109.88,5.65735463,39.1829964942
2022-04-13,1101.55,1105.48,1067.08,1072.3,4.52515503,30.1471076173
2022-04-15,1098.09,1109.78,1063.06,1077.3,5.67375246,35.1001329957
